NpcName	Level	Reputation	Exp	Money	TaskID1	TaskValue1	TaskID2	TaskValue2	TaskID3	TaskValue3	EventType	说明
拓拔弘	85	0	0	0	2031	22	-1	-1	-1	-1	1	
守墓人	85	0	0	0	2031	25	-1	-1	-1	-1	1	
守墓将军	85	0	0	0	2031	27	-1	-1	-1	-1	1	
司马鸣风	85	0	0	0	2031	28	-1	-1	-1	-1	1	
拓拔弘	85	0	0	0	2031	29	-1	-1	-1	-1	1	
车轮霸王	85	0	0	0	2031	30	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	31	-1	-1	-1	-1	0	
欧阳画	85	0	0	0	2031	33	-1	-1	-1	-1	1	
刘三	85	0	0	0	2031	34	-1	-1	-1	-1	1	
刘三	85	0	0	0	2031	35	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	37	-1	-1	-1	-1	1	
孙方仁	85	0	0	0	2031	38	-1	-1	-1	-1	1	
孙方仁	85	0	0	0	2031	39	-1	-1	-1	-1	1	
孙方仁	85	0	0	0	2031	40	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	42	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	44	-1	-1	-1	-1	1	
唐芊芊	85	0	0	0	2031	45	-1	-1	-1	-1	1	
药室看守人	85	0	0	0	2031	47	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	48	-1	-1	-1	-1	1	
孙方仁	85	0	0	0	2031	49	-1	-1	-1	-1	1	
孙方仁	85	0	0	0	2031	50	-1	-1	-1	-1	1	
车轮霸王	85	0	0	0	2031	51	-1	-1	-1	-1	1	
唐葫芦	85	0	0	0	2031	54	-1	-1	-1	-1	1	
车轮霸王	85	0	0	0	2031	56	-1	-1	-1	-1	1	
拓拔弘	85	0	0	0	2031	57	-1	-1	-1	-1	1	
拓拔弘	85	0	0	0	2031	59	-1	-1	-1	-1	1	
车轮霸王	85	0	0	0	2031	60	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	61	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2031	62	-1	-1	-1	-1	1	
白天成	85	0	0	0	2031	64	-1	-1	-1	-1	1	
白天成	85	0	0	0	2031	65	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	67	-1	-1	-1	-1	1	
昆仑弟子	80	0	0	0	2032	1	-1	-1	-1	-1	1	
叶子秋	80	0	0	0	2032	2	-1	-1	-1	-1	1	
昆仑弟子	80	0	0	0	2032	3	-1	-1	-1	-1	1	
昆仑弟子	80	0	0	0	2032	5	-1	-1	-1	-1	1	
叶子秋	80	0	0	0	2032	6	-1	-1	-1	-1	1	
昆仑弟子	80	0	0	0	2032	7	-1	-1	-1	-1	1	
昆仑弟子	80	0	0	0	2032	9	-1	-1	-1	-1	1	
叶子秋	80	0	0	0	2032	10	-1	-1	-1	-1	1	
欧阳画	80	0	0	0	2032	11	-1	-1	-1	-1	1	
叶老	80	0	0	0	2032	12	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2032	13	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2032	15	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2032	16	-1	-1	-1	-1	1	
昆仑弟子	85	0	0	0	2032	17	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2032	18	-1	-1	-1	-1	1	
叶子秋	85	0	0	0	2032	20	-1	-1	-1	-1	1	
欧阳画	85	0	0	0	2031	68	-1	-1	-1	-1	0	
寇准	85	0	0	0	2031	69	-1	-1	-1	-1	1	
店小二	85	0	0	0	2031	70	-1	-1	-1	-1	1	
寇准	85	0	0	0	2031	72	-1	-1	-1	-1	1	
寇准	85	0	0	0	2031	73	-1	-1	-1	-1	1	
寇准	85	0	0	0	2031	74	-1	-1	-1	-1	1	
