装备名称	大类型	副类型	详细类别	在界面上显示的小图（标准男）	在界面上显示的大图（标准男）	在界面上显示的小图（魁梧男）	在界面上显示的大图（魁梧男）	在界面上显示的小图（性感女）	在界面上显示的大图（性感女）	在界面上显示的小图（娇小女）	在界面上显示的大图（娇小女）	装备在身上的时候，使用的显示类型名字（标准男）	装备在身上的时候，使用的显示类型名字（魁梧男）	装备在身上的时候，使用的显示类型名字（性感女）	装备在身上的时候，使用的显示类型名字（娇小女）	装备在身上的时候，使用的显示类型名字（武器）	
宋虎威将军中级扇	0	13	32259	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr					翠烟扇18	
宋虎威将军中级笛	0	12	32260	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr					翠烟笛18	
宋虎威将军中级匕首	0	14	32261	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr					唐匕首18	
宋虎威将军中级剑	0	2	32262	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr					剑尊剑18	
宋虎威将军高级刀	0	3	32263	\image\item\weapon\少林刀虎威高级a1.spr	\image\item\weapon\少林刀虎威高级a0.spr	\image\item\weapon\少林刀虎威高级a1.spr	\image\item\weapon\少林刀虎威高级a0.spr	\image\item\weapon\少林刀虎威高级a1.spr	\image\item\weapon\少林刀虎威高级a0.spr	\image\item\weapon\少林刀虎威高级a1.spr	\image\item\weapon\少林刀虎威高级a0.spr					少林刀19	
宋虎威将军高级杖	0	8	32264	\image\item\weapon\少林杖虎威高级a1.spr	\image\item\weapon\少林杖虎威高级a0.spr	\image\item\weapon\少林杖虎威高级a1.spr	\image\item\weapon\少林杖虎威高级a0.spr	\image\item\weapon\少林杖虎威高级a1.spr	\image\item\weapon\少林杖虎威高级a0.spr	\image\item\weapon\少林杖虎威高级a1.spr	\image\item\weapon\少林杖虎威高级a0.spr					少林禅19	
宋虎威将军高级手	0	0	32265	\image\item\weapon\少林手虎威高级a1.spr	\image\item\weapon\少林手虎威高级a0.spr	\image\item\weapon\少林手虎威高级a1.spr	\image\item\weapon\少林手虎威高级a0.spr	\image\item\weapon\少林手虎威高级a1.spr	\image\item\weapon\少林手虎威高级a0.spr	\image\item\weapon\少林手虎威高级a1.spr	\image\item\weapon\少林手虎威高级a0.spr						
宋虎威将军高级针	0	1	32266	\image\item\weapon\唐门针虎威高级a1.spr	\image\item\weapon\唐门针虎威高级a0.spr	\image\item\weapon\唐门针虎威高级a1.spr	\image\item\weapon\唐门针虎威高级a0.spr	\image\item\weapon\唐门针虎威高级a1.spr	\image\item\weapon\唐门针虎威高级a0.spr	\image\item\weapon\唐门针虎威高级a1.spr	\image\item\weapon\唐门针虎威高级a0.spr						
宋虎威将军高级剑	0	2	32267	\image\item\weapon\峨眉剑虎威高级a1.spr	\image\item\weapon\峨眉剑虎威高级a0.spr	\image\item\weapon\峨眉剑虎威高级a1.spr	\image\item\weapon\峨眉剑虎威高级a0.spr	\image\item\weapon\峨眉剑虎威高级a1.spr	\image\item\weapon\峨眉剑虎威高级a0.spr	\image\item\weapon\峨眉剑虎威高级a1.spr	\image\item\weapon\峨眉剑虎威高级a0.spr					峨眉剑19	
宋虎威将军高级琴	0	10	32268	\image\item\weapon\峨眉琴虎威高级a1.spr	\image\item\weapon\峨眉琴虎威高级a0.spr	\image\item\weapon\峨眉琴虎威高级a1.spr	\image\item\weapon\峨眉琴虎威高级a0.spr	\image\item\weapon\峨眉琴虎威高级a1.spr	\image\item\weapon\峨眉琴虎威高级a0.spr	\image\item\weapon\峨眉琴虎威高级a1.spr	\image\item\weapon\峨眉琴虎威高级a0.spr					峨眉琴19	
宋虎威将军高级手	0	0	32269	\image\item\weapon\丐帮手虎威高级a1.spr	\image\item\weapon\丐帮手虎威高级a0.spr	\image\item\weapon\丐帮手虎威高级a1.spr	\image\item\weapon\丐帮手虎威高级a0.spr	\image\item\weapon\丐帮手虎威高级a1.spr	\image\item\weapon\丐帮手虎威高级a0.spr	\image\item\weapon\丐帮手虎威高级a1.spr	\image\item\weapon\丐帮手虎威高级a0.spr						
宋虎威将军高级棍	0	5	32270	\image\item\weapon\丐帮棍虎威高级a1.spr	\image\item\weapon\丐帮棍虎威高级a0.spr	\image\item\weapon\丐帮棍虎威高级a1.spr	\image\item\weapon\丐帮棍虎威高级a0.spr	\image\item\weapon\丐帮棍虎威高级a1.spr	\image\item\weapon\丐帮棍虎威高级a0.spr	\image\item\weapon\丐帮棍虎威高级a1.spr	\image\item\weapon\丐帮棍虎威高级a0.spr					丐帮棍19	
宋虎威将军高级剑	0	2	32271	\image\item\weapon\武当剑虎威高级a1.spr	\image\item\weapon\武当剑虎威高级a0.spr	\image\item\weapon\武当剑虎威高级a1.spr	\image\item\weapon\武当剑虎威高级a0.spr	\image\item\weapon\武当剑虎威高级a1.spr	\image\item\weapon\武当剑虎威高级a0.spr	\image\item\weapon\武当剑虎威高级a1.spr	\image\item\weapon\武当剑虎威高级a0.spr					武当剑19	
宋虎威将军高级笔	0	9	32272	\image\item\weapon\武当笔虎威高级a1.spr	\image\item\weapon\武当笔虎威高级a0.spr	\image\item\weapon\武当笔虎威高级a1.spr	\image\item\weapon\武当笔虎威高级a0.spr	\image\item\weapon\武当笔虎威高级a1.spr	\image\item\weapon\武当笔虎威高级a0.spr	\image\item\weapon\武当笔虎威高级a1.spr	\image\item\weapon\武当笔虎威高级a0.spr					武当笔19	
宋虎威将军高级枪	0	6	32273	\image\item\weapon\杨门枪虎威高级a1.spr	\image\item\weapon\杨门枪虎威高级a0.spr	\image\item\weapon\杨门枪虎威高级a1.spr	\image\item\weapon\杨门枪虎威高级a0.spr	\image\item\weapon\杨门枪虎威高级a1.spr	\image\item\weapon\杨门枪虎威高级a0.spr	\image\item\weapon\杨门枪虎威高级a1.spr	\image\item\weapon\杨门枪虎威高级a0.spr					杨门枪19	
宋虎威将军高级弓	0	4	32274	\image\item\weapon\杨门弓虎威高级a1.spr	\image\item\weapon\杨门弓虎威高级a0.spr	\image\item\weapon\杨门弓虎威高级a1.spr	\image\item\weapon\杨门弓虎威高级a0.spr	\image\item\weapon\杨门弓虎威高级a1.spr	\image\item\weapon\杨门弓虎威高级a0.spr	\image\item\weapon\杨门弓虎威高级a1.spr	\image\item\weapon\杨门弓虎威高级a0.spr					杨门弓19	
宋虎威将军高级双刀	0	7	32275	\image\item\weapon\五毒双刀虎威高级a1.spr	\image\item\weapon\五毒双刀虎威高级a0.spr	\image\item\weapon\五毒双刀虎威高级a1.spr	\image\item\weapon\五毒双刀虎威高级a0.spr	\image\item\weapon\五毒双刀虎威高级a1.spr	\image\item\weapon\五毒双刀虎威高级a0.spr	\image\item\weapon\五毒双刀虎威高级a1.spr	\image\item\weapon\五毒双刀虎威高级a0.spr					五毒刀19	
宋虎威将军高级爪	0	11	32276	\image\item\weapon\五毒爪虎威高级a1.spr	\image\item\weapon\五毒爪虎威高级a0.spr	\image\item\weapon\五毒爪虎威高级a1.spr	\image\item\weapon\五毒爪虎威高级a0.spr	\image\item\weapon\五毒爪虎威高级a1.spr	\image\item\weapon\五毒爪虎威高级a0.spr	\image\item\weapon\五毒爪虎威高级a1.spr	\image\item\weapon\五毒爪虎威高级a0.spr					五毒爪19	
宋虎威将军高级剑	0	2	32277	\image\item\weapon\昆仑天师剑虎威高级a1.spr	\image\item\weapon\昆仑天师剑虎威高级a0.spr	\image\item\weapon\昆仑天师剑虎威高级a1.spr	\image\item\weapon\昆仑天师剑虎威高级a0.spr	\image\item\weapon\昆仑天师剑虎威高级a1.spr	\image\item\weapon\昆仑天师剑虎威高级a0.spr	\image\item\weapon\昆仑天师剑虎威高级a1.spr	\image\item\weapon\昆仑天师剑虎威高级a0.spr					昆仑剑19	
宋虎威将军高级刀	0	3	32278	\image\item\weapon\明教刀虎威高级a1.spr	\image\item\weapon\明教刀虎威高级a0.spr	\image\item\weapon\明教刀虎威高级a1.spr	\image\item\weapon\明教刀虎威高级a0.spr	\image\item\weapon\明教刀虎威高级a1.spr	\image\item\weapon\明教刀虎威高级a0.spr	\image\item\weapon\明教刀虎威高级a1.spr	\image\item\weapon\明教刀虎威高级a0.spr					明教刀19	
宋虎威将军高级笔	0	9	32279	\image\item\weapon\明教笔虎威高级a1.spr	\image\item\weapon\明教笔虎威高级a0.spr	\image\item\weapon\明教笔虎威高级a1.spr	\image\item\weapon\明教笔虎威高级a0.spr	\image\item\weapon\明教笔虎威高级a1.spr	\image\item\weapon\明教笔虎威高级a0.spr	\image\item\weapon\明教笔虎威高级a1.spr	\image\item\weapon\明教笔虎威高级a0.spr					明教笔19	
宋虎威将军高级爪	0	11	32280	\image\item\weapon\明教爪虎威高级a1.spr	\image\item\weapon\明教爪虎威高级a0.spr	\image\item\weapon\明教爪虎威高级a1.spr	\image\item\weapon\明教爪虎威高级a0.spr	\image\item\weapon\明教爪虎威高级a1.spr	\image\item\weapon\明教爪虎威高级a0.spr	\image\item\weapon\明教爪虎威高级a1.spr	\image\item\weapon\明教爪虎威高级a0.spr					明教爪19	
宋虎威将军高级扇	0	13	32281	\image\item\weapon\翠烟扇虎威高级a1.spr	\image\item\weapon\翠烟扇虎威高级a0.spr	\image\item\weapon\翠烟扇虎威高级a1.spr	\image\item\weapon\翠烟扇虎威高级a0.spr	\image\item\weapon\翠烟扇虎威高级a1.spr	\image\item\weapon\翠烟扇虎威高级a0.spr	\image\item\weapon\翠烟扇虎威高级a1.spr	\image\item\weapon\翠烟扇虎威高级a0.spr					翠烟扇19	
宋虎威将军高级笛	0	12	32282	\image\item\weapon\翠烟笛虎威高级a1.spr	\image\item\weapon\翠烟笛虎威高级a0.spr	\image\item\weapon\翠烟笛虎威高级a1.spr	\image\item\weapon\翠烟笛虎威高级a0.spr	\image\item\weapon\翠烟笛虎威高级a1.spr	\image\item\weapon\翠烟笛虎威高级a0.spr	\image\item\weapon\翠烟笛虎威高级a1.spr	\image\item\weapon\翠烟笛虎威高级a0.spr					翠烟笛19	
宋虎威将军高级匕首	0	14	32283	\image\item\weapon\唐门匕首虎威高级a1.spr	\image\item\weapon\唐门匕首虎威高级a0.spr	\image\item\weapon\唐门匕首虎威高级a1.spr	\image\item\weapon\唐门匕首虎威高级a0.spr	\image\item\weapon\唐门匕首虎威高级a1.spr	\image\item\weapon\唐门匕首虎威高级a0.spr	\image\item\weapon\唐门匕首虎威高级a1.spr	\image\item\weapon\唐门匕首虎威高级a0.spr					唐匕首19	
宋虎威将军高级剑	0	2	32284	\image\item\weapon\昆仑剑尊剑虎威高级a1.spr	\image\item\weapon\昆仑剑尊剑虎威高级a0.spr	\image\item\weapon\昆仑剑尊剑虎威高级a1.spr	\image\item\weapon\昆仑剑尊剑虎威高级a0.spr	\image\item\weapon\昆仑剑尊剑虎威高级a1.spr	\image\item\weapon\昆仑剑尊剑虎威高级a0.spr	\image\item\weapon\昆仑剑尊剑虎威高级a1.spr	\image\item\weapon\昆仑剑尊剑虎威高级a0.spr					剑尊剑19	
宋虎威元帅初级刀	0	3	32285	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr					少林刀18	
宋虎威元帅初级杖	0	8	32286	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr					少林禅18	
宋虎威元帅初级手	0	0	32287	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr						
宋虎威元帅初级针	0	1	32288	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr						
宋虎威元帅初级剑	0	2	32289	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr					峨眉剑18	
宋虎威元帅初级琴	0	10	32290	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr					峨眉琴18	
宋虎威元帅初级手	0	0	32291	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr						
宋虎威元帅初级棍	0	5	32292	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr					丐帮棍18	
宋虎威元帅初级剑	0	2	32293	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr					武当剑18	
宋虎威元帅初级笔	0	9	32294	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr					武当笔18	
宋虎威元帅初级枪	0	6	32295	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr					杨门枪18	
宋虎威元帅初级弓	0	4	32296	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr					杨门弓18	
宋虎威元帅初级双刀	0	7	32297	\image\item\weapon\五毒双刀虎威初级a1.spr	\image\item\weapon\五毒双刀虎威初级a0.spr	\image\item\weapon\五毒双刀虎威初级a1.spr	\image\item\weapon\五毒双刀虎威初级a0.spr	\image\item\weapon\五毒双刀虎威初级a1.spr	\image\item\weapon\五毒双刀虎威初级a0.spr	\image\item\weapon\五毒双刀虎威初级a1.spr	\image\item\weapon\五毒双刀虎威初级a0.spr					五毒刀18	
宋虎威元帅初级爪	0	11	32298	\image\item\weapon\五毒爪虎威初级a1.spr	\image\item\weapon\五毒爪虎威初级a0.spr	\image\item\weapon\五毒爪虎威初级a1.spr	\image\item\weapon\五毒爪虎威初级a0.spr	\image\item\weapon\五毒爪虎威初级a1.spr	\image\item\weapon\五毒爪虎威初级a0.spr	\image\item\weapon\五毒爪虎威初级a1.spr	\image\item\weapon\五毒爪虎威初级a0.spr					五毒爪18	
宋虎威元帅初级剑	0	2	32299	\image\item\weapon\昆仑天师剑虎威初级a1.spr	\image\item\weapon\昆仑天师剑虎威初级a0.spr	\image\item\weapon\昆仑天师剑虎威初级a1.spr	\image\item\weapon\昆仑天师剑虎威初级a0.spr	\image\item\weapon\昆仑天师剑虎威初级a1.spr	\image\item\weapon\昆仑天师剑虎威初级a0.spr	\image\item\weapon\昆仑天师剑虎威初级a1.spr	\image\item\weapon\昆仑天师剑虎威初级a0.spr					昆仑剑18	
宋虎威元帅初级刀	0	3	32300	\image\item\weapon\明教刀虎威初级a1.spr	\image\item\weapon\明教刀虎威初级a0.spr	\image\item\weapon\明教刀虎威初级a1.spr	\image\item\weapon\明教刀虎威初级a0.spr	\image\item\weapon\明教刀虎威初级a1.spr	\image\item\weapon\明教刀虎威初级a0.spr	\image\item\weapon\明教刀虎威初级a1.spr	\image\item\weapon\明教刀虎威初级a0.spr					明教刀18	
宋虎威元帅初级笔	0	9	32301	\image\item\weapon\明教笔虎威初级a1.spr	\image\item\weapon\明教笔虎威初级a0.spr	\image\item\weapon\明教笔虎威初级a1.spr	\image\item\weapon\明教笔虎威初级a0.spr	\image\item\weapon\明教笔虎威初级a1.spr	\image\item\weapon\明教笔虎威初级a0.spr	\image\item\weapon\明教笔虎威初级a1.spr	\image\item\weapon\明教笔虎威初级a0.spr					明教笔18	
宋虎威元帅初级爪	0	11	32302	\image\item\weapon\明教爪虎威初级a1.spr	\image\item\weapon\明教爪虎威初级a0.spr	\image\item\weapon\明教爪虎威初级a1.spr	\image\item\weapon\明教爪虎威初级a0.spr	\image\item\weapon\明教爪虎威初级a1.spr	\image\item\weapon\明教爪虎威初级a0.spr	\image\item\weapon\明教爪虎威初级a1.spr	\image\item\weapon\明教爪虎威初级a0.spr					明教爪18	
宋虎威元帅初级扇	0	13	32303	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr	\image\item\weapon\翠烟扇虎威初级a1.spr	\image\item\weapon\翠烟扇虎威初级a0.spr					翠烟扇18	
宋虎威元帅初级笛	0	12	32304	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr	\image\item\weapon\翠烟笛虎威初级a1.spr	\image\item\weapon\翠烟笛虎威初级a0.spr					翠烟笛18	
宋虎威元帅初级匕首	0	14	32305	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr	\image\item\weapon\唐门匕首虎威初级a1.spr	\image\item\weapon\唐门匕首虎威初级a0.spr					唐匕首18	
宋虎威元帅初级剑	0	2	32306	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr	\image\item\weapon\昆仑剑尊剑虎威初级a1.spr	\image\item\weapon\昆仑剑尊剑虎威初级a0.spr					剑尊剑18	
宋虎威元帅中级刀	0	3	32307	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr	\image\item\weapon\少林刀虎威初级a1.spr	\image\item\weapon\少林刀虎威初级a0.spr					少林刀18	
宋虎威元帅中级杖	0	8	32308	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr	\image\item\weapon\少林杖虎威初级a1.spr	\image\item\weapon\少林杖虎威初级a0.spr					少林禅18	
宋虎威元帅中级手	0	0	32309	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr	\image\item\weapon\少林手虎威初级a1.spr	\image\item\weapon\少林手虎威初级a0.spr						
宋虎威元帅中级针	0	1	32310	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr	\image\item\weapon\唐门针虎威初级a1.spr	\image\item\weapon\唐门针虎威初级a0.spr						
宋虎威元帅中级剑	0	2	32311	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr	\image\item\weapon\峨眉剑虎威初级a1.spr	\image\item\weapon\峨眉剑虎威初级a0.spr					峨眉剑18	
宋虎威元帅中级琴	0	10	32312	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr	\image\item\weapon\峨眉琴虎威初级a1.spr	\image\item\weapon\峨眉琴虎威初级a0.spr					峨眉琴18	
宋虎威元帅中级手	0	0	32313	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr	\image\item\weapon\丐帮手虎威初级a1.spr	\image\item\weapon\丐帮手虎威初级a0.spr						
宋虎威元帅中级棍	0	5	32314	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr	\image\item\weapon\丐帮棍虎威初级a1.spr	\image\item\weapon\丐帮棍虎威初级a0.spr					丐帮棍18	
宋虎威元帅中级剑	0	2	32315	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr	\image\item\weapon\武当剑虎威初级a1.spr	\image\item\weapon\武当剑虎威初级a0.spr					武当剑18	
宋虎威元帅中级笔	0	9	32316	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr	\image\item\weapon\武当笔虎威初级a1.spr	\image\item\weapon\武当笔虎威初级a0.spr					武当笔18	
宋虎威元帅中级枪	0	6	32317	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr	\image\item\weapon\杨门枪虎威初级a1.spr	\image\item\weapon\杨门枪虎威初级a0.spr					杨门枪18	
宋虎威元帅中级弓	0	4	32318	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr	\image\item\weapon\杨门弓虎威初级a1.spr	\image\item\weapon\杨门弓虎威初级a0.spr					杨门弓18	
