ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey	
32622	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30394;1	1	2	12		1	31651			
32623	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30398;1	1	2	14		1	31651			
32624	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30402;1	1	2	15		1	31651			
32625	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30406;1	1	2	17		1	31651			
32626	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30410;1	1	2	18		1	31651			
32627	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30414;1	1	2	20		1	31651			
32628	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30418;1	1	2	21		1	31651			
32629	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30422;1	1	2	23		1	31651			
32630	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30504;1	1	2	2		1	31679			
32631	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30506;1	1	2	3		1	31679			
32632	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30508;1	1	2	4		1	31679			
32633	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30510;1	1	2	6		1	31679			
32634	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30518;1	1	2	11		1	31679			
32635	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30522;1	1	2	12		1	31679			
32636	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30526;1	1	2	14		1	31679			
32637	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30530;1	1	2	15		1	31679			
32638	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30534;1	1	2	17		1	31679			
32639	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30538;1	1	2	18		1	31679			
32640	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30542;1	1	2	20		1	31679			
32641	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30546;1	1	2	21		1	31679			
32642	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30550;1	1	2	23		1	31679			
32643	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30383;1	2	3	6		1	31652			
32644	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30385;1	2	3	8		1	31652			
32645	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30387;1	2	3	9		1	31652			
32646	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30391;1	2	3	11		1	31652			
32647	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30395;1	2	3	12		1	31652			
32648	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30399;1	2	3	14		1	31652			
32649	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30403;1	2	3	15		1	31652			
32650	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30407;1	2	3	17		1	31652			
32651	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30411;1	2	3	18		1	31652			
32652	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30415;1	2	3	20		1	31652			
32653	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30419;1	2	3	21		1	31652			
32654	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30435;1	2	3	29		1	31652			
32655	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30437;1	2	3	30		1	31652			
32656	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30511;1	2	3	6		1	31680			
32657	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30513;1	2	3	8		1	31680			
32658	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30515;1	2	3	9		1	31680			
32659	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30519;1	2	3	11		1	31680			
32660	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30523;1	2	3	12		1	31680			
32661	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30527;1	2	3	14		1	31680			
32662	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30531;1	2	3	15		1	31680			
32663	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30535;1	2	3	17		1	31680			
32664	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30539;1	2	3	18		1	31680			
32665	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30543;1	2	3	20		1	31680			
32666	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30547;1	2	3	21		1	31680			
32667	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30563;1	2	3	29		1	31680			
32668	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30565;1	2	3	30		1	31680			
32669	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30384;1	2	4	6		1	31653			
32670	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30386;1	2	4	8		1	31653			
32671	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30388;1	2	4	9		1	31653			
32672	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30392;1	2	4	11		1	31653			
32673	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30396;1	2	4	12		1	31653			
32674	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30400;1	2	4	14		1	31653			
32675	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30404;1	2	4	15		1	31653			
32676	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30408;1	2	4	17		1	31653			
32677	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30412;1	2	4	18		1	31653			
32678	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30416;1	2	4	20		1	31653			
32679	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30420;1	2	4	21		1	31653			
32680	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30436;1	2	4	29		1	31653			
32681	Tèng_Háa Phông Nguyªn So¸i Kh«i	0;103;30438;1	2	4	30		1	31653			
32682	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30512;1	2	4	6		1	31681			
32683	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30514;1	2	4	8		1	31681			
32684	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30516;1	2	4	9		1	31681			
32685	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30520;1	2	4	11		1	31681			
32686	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30524;1	2	4	12		1	31681			
32687	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30528;1	2	4	14		1	31681			
32688	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30532;1	2	4	15		1	31681			
32689	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30536;1	2	4	17		1	31681			
32690	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30540;1	2	4	18		1	31681			
32691	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30544;1	2	4	20		1	31681			
32692	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30548;1	2	4	21		1	31681			
32693	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30564;1	2	4	29		1	31681			
32694	Liªu_Háa Phông Nguyªn So¸i Kh«i	0;103;30566;1	2	4	30		1	31681			
32695	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30311;1	1	1	2		1	31606			
32696	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30313;1	1	1	3		1	31606			
32697	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30315;1	1	1	4		1	31606			
32698	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30317;1	1	1	6		1	31606			
32699	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30325;1	1	1	11		1	31606			
32700	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30329;1	1	1	12		1	31606			
32701	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30333;1	1	1	14		1	31606			
32702	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30337;1	1	1	15		1	31606			
32703	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30341;1	1	1	17		1	31606			
32704	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30345;1	1	1	18		1	31606			
32705	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30349;1	1	1	20		1	31606			
32706	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30353;1	1	1	21		1	31606			
32707	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30357;1	1	1	23		1	31606			
32708	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30439;1	1	1	2		1	31630			
32709	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30441;1	1	1	3		1	31630			
32710	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30443;1	1	1	4		1	31630			
32711	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30445;1	1	1	6		1	31630			
32712	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30453;1	1	1	11		1	31630			
32713	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30457;1	1	1	12		1	31630			
32714	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30461;1	1	1	14		1	31630			
32715	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30465;1	1	1	15		1	31630			
32716	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30469;1	1	1	17		1	31630			
32717	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30473;1	1	1	18		1	31630			
32718	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30477;1	1	1	20		1	31630			
32719	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30481;1	1	1	21		1	31630			
32720	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30485;1	1	1	23		1	31630			
32721	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30312;1	1	2	2		1	31607			
32722	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30314;1	1	2	3		1	31607			
32723	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30316;1	1	2	4		1	31607			
32724	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30318;1	1	2	6		1	31607			
32725	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30326;1	1	2	11		1	31607			
32726	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30330;1	1	2	12		1	31607			
32727	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30334;1	1	2	14		1	31607			
32728	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30338;1	1	2	15		1	31607			
32729	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30342;1	1	2	17		1	31607			
32730	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30346;1	1	2	18		1	31607			
32731	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30350;1	1	2	20		1	31607			
32732	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30354;1	1	2	21		1	31607			
32733	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30358;1	1	2	23		1	31607			
32734	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30440;1	1	2	2		1	31631			
32735	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30442;1	1	2	3		1	31631			
32736	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30444;1	1	2	4		1	31631			
32737	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30446;1	1	2	6		1	31631			
32738	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30454;1	1	2	11		1	31631			
32739	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30458;1	1	2	12		1	31631			
32740	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30462;1	1	2	14		1	31631			
32741	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30466;1	1	2	15		1	31631			
32742	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30470;1	1	2	17		1	31631			
32743	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30474;1	1	2	18		1	31631			
32744	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30478;1	1	2	20		1	31631			
32745	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30482;1	1	2	21		1	31631			
32746	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30486;1	1	2	23		1	31631			
32747	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30319;1	2	3	6		1	31608			
32748	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30321;1	2	3	8		1	31608			
32749	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30323;1	2	3	9		1	31608			
32750	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30327;1	2	3	11		1	31608			
32751	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30331;1	2	3	12		1	31608			
32752	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30335;1	2	3	14		1	31608			
32753	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30339;1	2	3	15		1	31608			
32754	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30343;1	2	3	17		1	31608			
32755	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30347;1	2	3	18		1	31608			
32756	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30351;1	2	3	20		1	31608			
32757	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30355;1	2	3	21		1	31608			
32758	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30371;1	2	3	29		1	31608			
32759	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30373;1	2	3	30		1	31608			
32760	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30447;1	2	3	6		1	31632			
32761	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30449;1	2	3	8		1	31632			
32762	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30451;1	2	3	9		1	31632			
32763	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30455;1	2	3	11		1	31632			
32764	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30459;1	2	3	12		1	31632			
32765	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30463;1	2	3	14		1	31632			
32766	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30467;1	2	3	15		1	31632			
32767	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30471;1	2	3	17		1	31632			
32768	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30475;1	2	3	18		1	31632			
32769	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30479;1	2	3	20		1	31632			
32770	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30483;1	2	3	21		1	31632			
32771	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30499;1	2	3	29		1	31632			
32772	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30501;1	2	3	30		1	31632			
32773	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30320;1	2	4	6		1	31609			
32774	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30322;1	2	4	8		1	31609			
32775	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30324;1	2	4	9		1	31609			
32776	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30328;1	2	4	11		1	31609			
32777	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30332;1	2	4	12		1	31609			
32778	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30336;1	2	4	14		1	31609			
32779	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30340;1	2	4	15		1	31609			
32780	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30344;1	2	4	17		1	31609			
32781	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30348;1	2	4	18		1	31609			
32782	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30352;1	2	4	20		1	31609			
32783	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30356;1	2	4	21		1	31609			
32784	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30372;1	2	4	29		1	31609			
32785	Tèng_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30374;1	2	4	30		1	31609			
32786	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30448;1	2	4	6		1	31633			
32787	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30450;1	2	4	8		1	31633			
32788	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30452;1	2	4	9		1	31633			
32789	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30456;1	2	4	11		1	31633			
32790	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30460;1	2	4	12		1	31633			
32791	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30464;1	2	4	14		1	31633			
32792	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30468;1	2	4	15		1	31633			
32793	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30472;1	2	4	17		1	31633			
32794	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30476;1	2	4	18		1	31633			
32795	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30480;1	2	4	20		1	31633			
32796	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30484;1	2	4	21		1	31633			
32797	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30500;1	2	4	29		1	31633			
32798	Liªu_Háa Phông T­íng Qu©n ChiÕn Bµo	0;100;30502;1	2	4	30		1	31633			
32799	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30375;1	1	1	2		1	31654			
32800	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30377;1	1	1	3		1	31654			
32801	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30379;1	1	1	4		1	31654			
32802	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30381;1	1	1	6		1	31654			
32803	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30389;1	1	1	11		1	31654			
32804	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30393;1	1	1	12		1	31654			
32805	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30397;1	1	1	14		1	31654			
32806	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30401;1	1	1	15		1	31654			
32807	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30405;1	1	1	17		1	31654			
32808	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30409;1	1	1	18		1	31654			
32809	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30413;1	1	1	20		1	31654			
32810	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30417;1	1	1	21		1	31654			
32811	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30421;1	1	1	23		1	31654			
32812	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30503;1	1	1	2		1	31682			
32813	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30505;1	1	1	3		1	31682			
32814	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30507;1	1	1	4		1	31682			
32815	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30509;1	1	1	6		1	31682			
32816	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30517;1	1	1	11		1	31682			
32817	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30521;1	1	1	12		1	31682			
32818	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30525;1	1	1	14		1	31682			
32819	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30529;1	1	1	15		1	31682			
32820	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30533;1	1	1	17		1	31682			
32821	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30537;1	1	1	18		1	31682			
32822	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30541;1	1	1	20		1	31682			
32823	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30545;1	1	1	21		1	31682			
32824	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30549;1	1	1	23		1	31682			
32825	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30376;1	1	2	2		1	31655			
32826	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30378;1	1	2	3		1	31655			
32827	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30380;1	1	2	4		1	31655			
32828	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30382;1	1	2	6		1	31655			
32829	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30390;1	1	2	11		1	31655			
32830	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30394;1	1	2	12		1	31655			
32831	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30398;1	1	2	14		1	31655			
32832	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30402;1	1	2	15		1	31655			
32833	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30406;1	1	2	17		1	31655			
32834	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30410;1	1	2	18		1	31655			
32835	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30414;1	1	2	20		1	31655			
32836	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30418;1	1	2	21		1	31655			
32837	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30422;1	1	2	23		1	31655			
32838	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30504;1	1	2	2		1	31683			
32839	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30506;1	1	2	3		1	31683			
32840	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30508;1	1	2	4		1	31683			
32841	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30510;1	1	2	6		1	31683			
32842	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30518;1	1	2	11		1	31683			
32843	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30522;1	1	2	12		1	31683			
32844	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30526;1	1	2	14		1	31683			
32845	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30530;1	1	2	15		1	31683			
32846	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30534;1	1	2	17		1	31683			
32847	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30538;1	1	2	18		1	31683			
32848	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30542;1	1	2	20		1	31683			
32849	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30546;1	1	2	21		1	31683			
32850	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30550;1	1	2	23		1	31683			
32851	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30383;1	2	3	6		1	31656			
32852	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30385;1	2	3	8		1	31656			
32853	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30387;1	2	3	9		1	31656			
32854	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30391;1	2	3	11		1	31656			
32855	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30395;1	2	3	12		1	31656			
32856	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30399;1	2	3	14		1	31656			
32857	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30403;1	2	3	15		1	31656			
32858	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30407;1	2	3	17		1	31656			
32859	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30411;1	2	3	18		1	31656			
32860	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30415;1	2	3	20		1	31656			
32861	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30419;1	2	3	21		1	31656			
32862	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30435;1	2	3	29		1	31656			
32863	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30437;1	2	3	30		1	31656			
32864	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30511;1	2	3	6		1	31684			
32865	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30513;1	2	3	8		1	31684			
32866	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30515;1	2	3	9		1	31684			
32867	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30519;1	2	3	11		1	31684			
32868	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30523;1	2	3	12		1	31684			
32869	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30527;1	2	3	14		1	31684			
32870	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30531;1	2	3	15		1	31684			
32871	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30535;1	2	3	17		1	31684			
32872	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30539;1	2	3	18		1	31684			
32873	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30543;1	2	3	20		1	31684			
32874	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30547;1	2	3	21		1	31684			
32875	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30563;1	2	3	29		1	31684			
32876	Liªu_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30565;1	2	3	30		1	31684			
32877	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30384;1	2	4	6		1	31657			
32878	Tèng_Háa Phông Nguyªn So¸i ChiÕn Bµo	0;100;30386;1	2	4	8		1	31657			
