Condition_ID	Type	Value_1	Value_2	Value_3	Value_4	Value_5	Value_6	Remark		
30308	Killer	§Çu lÜnh S¬n tÆc	1				Tiªu diÖt %d/1 §Çu LÜnh S¬n TÆc			
30309	Killer	T©y H¹ T­íng LÜnh	1				Tiªu diÖt %d/1 T©y H¹ T­íng LÜnh			
30310	Killer	Xi Háa Yªu N÷	1				Tiªu diÖt %d/1 Xi Háa Yªu N÷			
30311	Killer	Ngù §éc ¢m C¬	1				Tiªu diÖt %d/1 Ngù §éc ¢m C¬			
30312	Killer	Xi Háa ¸c t¨ng	1				Tiªu diÖt %d/1 Xi Háa ¸c T¨ng			
30313	Killer	Xi Háa §¹i tr­ëng l·o	1				Tiªu diÖt %d/1 Xi Háa §¹i Tr­ëng L·o			
30314	Killer	A Tu La	1				Tiªu diÖt %d/1 A Tu La			
30315	Killer	Ma H« La Giµ	1				Tiªu diÖt %d/1 Ma H« La Giµ			
30316	Killer	§oµn Thõa ¢n	1				Tiªu diÖt %d/1 §oµn Thõa ¢n			
30317	Killer	Xu©n ThËp Tam n­¬ng	1				Tiªu diÖt %d/1 Xu©n ThËp Tam N­¬ng			
30318	Killer	Di Tu §¹i h¸n	1				Tiªu diÖt %d/1 CÇu Tu §¹i H¸n			
30319	Lv	10								
30320	Reborn	5	3							
30321	Killer	Xi Háa §ao Kh¸ch	20				Tiªu diÖt %d/20 Xi Háa §ao Kh¸ch			
30322	Item	2	1	30714	1	LÖnh bµi Xi Háa gi¸o	NhËn ®­îc %d/1 LÖnh Bµi Xi Háa Gi¸o			
30323	Item	2	1	30716	1	Chu«ng BiÕn Th©n	Cã ®­îc Chu«ng BiÕn Th©n			
30324	Item	2	1	30715	1	Thuèc Gi¶i	NhËn ®­îc %d/1 Thuèc gi¶i			
30325	Reborn	6	3							
30326	Killer	H¾c Y Tr¸ng SÜ	10				Tiªu diÖt %d/10 H¾c Y Tr¸ng SÜ			
30327	Item	2	1	30722	1	Thiªn Hoa T¸n	NhËn ®­îc %d/1 Thiªn Hoa T¸n			
30328	Killer	§µo Hoa §¶o Chñ Hoµng Long	1				Tiªu diÖt %d/1 §µo Hoa §¶o Chñ Hoµng Long			
30329	Killer	T©y Vùc Th­¬ng Lang B¸ V­¬ng	1				Tiªu diÖt %d/1 T©y Vùc Th­¬ng Lang B¸ V­¬ng			
30330	Killer	Ngäc S¬n Chi Linh Thiªn Cöu	1				Tiªu diÖt %d/1 Ngäc S¬n Chi Linh Thiªn Cöu			
30331	Killer	U Tr¹ch Chi ¶nh Minh Vâ	1				Tiªu diÖt %d/1 U Tr¹ch Chi ¶nh Minh Vâ			
30332	Item	2	1	30669	200	M¶nh MËt TÞch	Thu thËp %d/200 M¶nh MËt TÞch			
30333	Item	2	0	1083	2	Th¸i DÞch Hçn Nguyªn C«ng phæ	Thu thËp %d/2 Th¸i DÞch Hçn Nguyªn C«ng Phæ			
30334	Item	2	1	30345	2	ChuyÓn Sinh §¬n 	Thu thËp %d/2 ChuyÓn Sinh §¬n			
30335	Killer	L«i KiÕp Thó	1				Tiªu diÖt %d/1 L«i KiÕp Thó			
30336	Killer	Ng« ViÖt L·o Tæ	1				Tiªu diÖt %d/1 Ng« ViÖt L·o Tæ			
30337	Meridian	3	3							
30338	Exp	2000000000					Tiªu hao %d/2000000000 EXP			
30339	Killer	Trïng Qu¸i V­¬ng	199				Tiªu diÖt %d/199 Trïng Qu¸i V­¬ng			
30340	Killer	Kh«i Lçi §éc nh©n	30				Tiªu diÖt %d/30 Kh«i Lçi §éc Nh©n			
30341	Lv	90	6							
30342	Lv	90	7							
30343	Killer	KÎ ®µo mé	100				Tiªu diÖt %d/100 §¹o Mé Nh©n			
30344	Item	2	0	30073	6		Thu thËp %d/6 Hµn Tinh ThiÕt			
30345	Killer	§«ng TrÊn mé T­íng qu©n	1				Tiªu diÖt %d 1 §«ng TrÊn Mé T­íng Qu©n 			
30346	Item	2	0	30074	6		Thu thËp %d/6 Thiªn Ma Tµ Tinh			
30347	Item	2	0	30075	100		Thu thËp %d/100 HuyÕt Hån			
30348	Money	10000000					Tiªu hao 1000 vµng			
30349	Tv	3282	1	1			Tiªu diÖt 1 T­íng qu©n phe ®Þch			
30350	Tv	3283	40	1			Tiªu diÖt 40 ng­êi ch¬i phe ®Þch			
30351	Killer	CÇm Tiªn Tö	100				Tiªu diÖt %d/100 CÇm Tiªn Tö			
30352	Killer	KiÕm tiªn Tö	100				Tiªu diÖt %d/100 KiÕm Tiªn Tö			
30353	Item	2	0	30077	6		Thu thËp %d/6 Ma KiÕm Tinh Ph¸ch			
30354	Tv	3282	1	1			Tiªu diÖt 1 Hoang Háa L­u Kim			
30355	Tv	3282	1	1			Tiªu diÖt 1 Nguyªn so¸i phe ®Þch			
30356	Tv	3283	100	1			Tiªu diÖt 100 ng­êi ch¬i phe ®Þch			
30357	Item	2	0	30078	1		Thu thËp %d/1 Phong Linh Ch©u			
30358	Item	2	0	30079	1		Thu thËp %d/1 Háa Linh Ch©u			
30359	Item	2	0	30080	1		Thu thËp %d/1 L«i Linh Ch©u			
30360	Item	2	0	30081	1		Thu thËp %d/1 §iÖn Linh Ch©u			
30361	JunGong	800000								
30362	Tv	3282	1	1			N©ng cÊp vò khÝ háa phông cÊp 2 			
30363	Item	2	0	30072	1		Mang theo Hoang Háa L­u Kim			
30364	TaskID	294	1							
30365	Tv	3286	1	1						
30366	Tv	3286	3	1						
30367	Tv	3286	2	1						
30368	Item	2	97	25	1	Th­ cña tr­ëng l·o	Mang theo Th­ cña tr­ëng l·o			
30369	Item	2	97	27	1	Ngäc béi thÇn bÝ	Mang theo Ngäc béi thÇn bÝ			
30370	Killer	H¾c y nh©n 1	1				§¸nh b¹i H¾c y nh©n 1			
30371	Killer	H¾c y nh©n 2	1				§¸nh b¹i H¾c y nh©n 2			
30372	Killer	H¾c y nh©n 3	1				§¸nh b¹i H¾c y nh©n 3			
30373	Killer	H¾c y nh©n 4	1				§¸nh b¹i H¾c y nh©n 4			
30374	Killer	Cæ Xµ	1				§¸nh b¹i Nh·n KÝnh Xµ			
30375	Item	2	97	28	1	Cæ Xµ §éc	§¸nh b¹i Cæ Xµ, nhËn ®­îc Cæ Xµ §éc			
30376	Killer	Hßa Kh¶ Cam	1				§¸nh b¹i Hßa Kh¶ Cam			
30378	Killer	ThiÕu L©m ®¹i ®Ö tö	1				§¸nh b¹i ThiÕu L©m ®¹i ®Ö tö			
30379	Killer	Vâ §ang ®¹i s­ huynh	1				§¸nh b¹i Vâ §ang ®¹i s­ huynh			
30380	Killer	Vâ §ang tiÓu s­ ®Ö	1				§¸nh b¹i V©n V« Nhai			
30381	Tv	3286	0	6			Gia nhËp mét thÕ lùc ®Ó cïng chèng l¹i Thiªn ¢m Gi¸o			
30382	Killer	ThÇn §µn Gi¸o Chóng	50				§· ®¸nh b¹i %d/50 ThÇn §µn Gi¸o Chóng			
30383	Killer	ThÇn §µn Thèng LÜnh	1				§¸nh b¹i ThÇn §µn Thèng LÜnh			
30384	Killer	NguyÖt §µn ThuËt SÜ	50				§· ®¸nh b¹i %d/50 NguyÖt §µn ThuËt SÜ			
30385	Item	2	97	29	1	Kh¨n tay t¬ t»m	NhËn ®­îc %d/1 Kh¨n tay t¬ t»m			
30386	Lv	90	7							
30387	Killer	Bé téc ph¶n lo¹n	100				§¸nh b¹i %d/100 Bé Téc Ph¶n Lo¹n			
30388	Item	2	1	30848	10	BÝch Ngäc Linh Lung	Thu thËp %d/10 BÝch Ngäc Linh Lung			
30389	Item	2	1	30849	10	Tiªn Ngäc Linh Hoµn	Thu thËp %d/10 Tiªn Ngäc Linh Hoµn			
30390	Killer	Hoµng Téc Ph¶n Qu©n	100				§¸nh b¹i %d/100 Ph¶n Qu©n Hoµng Téc			
30391	Item	2	1	30850	9	Kim Hoa	Thu thËp %d/9 Kim Hoa			
30392	Killer	Thiªn ¢m Gi¸o MËt th¸m	100				§¸nh b¹i %d/100 Thiªn ¢m MËt Th¸m			
30393	Killer	S¸t thñ Thiªn ¢m Gi¸o	100				§¸nh b¹i %d/100 Thiªn ¢m S¸t Thñ			
30394	Item	2	1	30851	6	Néi C«ng T©m Kinh	Thu thËp %d/6 Néi C«ng T©m Kinh			
30395	Item	2	1	30852	5	Tæ YÕn B¹ch TuyÕt	Thu thËp %d/5 Tæ YÕn B¹ch TuyÕt			
30396	Item	2	1	30853	1	Th­ ChÊp NhËn	Mang theo Th­ ChÊp NhËn			
30397	Tv	3353	3	1			§· hoµn thµnh %d/3 lÇn vËn tiªu			
30398	Item	2	1	30854	1	M¶nh B¶n §å-Tr¸i	NhËn ®­îc %d/1 M¶nh B¶n §å-Tr¸i			
30399	Item	2	1	30855	1	M¶nh B¶n §å-Ph¶i	NhËn ®­îc %d/1 M¶nh B¶n §å-Ph¶i			
30400	Item	2	1	30856	1	Kim T©m Hån §¬n	NhËn ®­îc %d/1 Kim T©m Hån §¬n			
30401	Item	2	1	30857	1	Méc T©m Hån §¬n	NhËn ®­îc %d/1 Méc T©m Hån §¬n			
30402	Item	2	1	30858	1	Thñy T©m Hån §¬n	NhËn ®­îc %d/1 Thñy T©m Hån §¬n			
30403	Item	2	1	30859	1	Háa T©m Hån §¬n	NhËn ®­îc %d/1 Háa T©m Hån §¬n			
30404	Item	2	1	30860	1	Thæ T©m Hån §¬n	NhËn ®­îc %d/1 Thæ T©m Hån §¬n			
30405	Tv	3354	100	1			§¸nh b¹i %d/100 ng­êi ch¬i phe ®Þch			
30406	Item	2	1	30861	10	Thiªn ¢m LÖnh Bµi	Thu thËp %d/10 Thiªn ¢m LÖnh Bµi			
30407	Killer	Thiªn ¢m ThÇn BÝ Nh©n	10				§¸nh b¹i %d/10 Thiªn ¢m ThÇn BÝ Nh©n			
30408	Killer	L«i §­êng Chñ	1				§¸nh b¹i %d/1 L«i §­êng Chñ			
30409	Lv	90	5							
30410	Meridian	4	3							
30411	Tv	3286	0	2			Gia nhËp thÕ lùc			
30412	Tv	3271	0	6			Tham gia 1 lÇn ¢n O¸n §µi			
30413	Tv	3411	5	5			ThÕ Lùc Ba Phe-TOP 5 trong DiÔn Vâ ChiÕn giai ®o¹n 2			
30414	Item	2	1	31015	1	Ch©n Nguyªn Néi §¬n	NhËn ®­îc Ch©n Nguyªn Néi §¬n			
30415	Killer	Thiªn ¢m ¸c §å	1				§Õn Thiªn ¢m Th¸nh §Þa (229/212) tiªu diÖt Thiªn ¢m ¸c §å %d/1 lÇn			
30416	Killer	ThÇn §µn Hé Ph¸p	20				§Õn ThÊt L¹c Nhai (174/222) tiªu diÖt %d/20 ThÇn §µn Hé Ph¸p			
30417	Killer	Kh©m Ph¹m TriÒu §×nh	1				§Õn Thiªn ¢m Th¸nh §Þa (220/213), dïng Hµnh Tiªu triÖu håi "Kh©m Ph¹m TriÒu §×nh" ®Ó tiªu diÖt			
30418	Item	2	1	31047	1	Phong TÝn Tö në ré	§Õn ThÊt L¹c Nhai (175/195) thu thËp 1 "Phong TÝn Tö në ré"			
30419	Item	2	1	31048	10	BiÓn L«i	§Õn Thiªn ¢m Th¸nh §Þa thu thËp %d/10 "BiÖn L«i" (232/219), mang ®Õn ThÊt L¹c Nhai (166/195) giao cho Tr­ TiÓu B¹ch ¨n			
30420	Item	2	1	31049	1	D©y BÇu	§Õn BiÖn Kinh ®èi tho¹i víi hµng xãm Hµn TrÝ Nh­îng nhËn D©y BÇu			
30421	Item	2	1	31050	1	V¶i	§Õn TuyÒn Ch©u ®èi tho¹i víi §¹i ChÝ C­êng nhËn Qu¶ V¶i			
30422	Item	2	1	31051	1	ThÞt L¹p	§Õn Thµnh §« ®èi tho¹i víi Chu UÊt Ly nhËn ThÞt L¹p			
30423	Killer	L­u Vong ¸c §å	20				§Õn ThÊt L¹c Nhai (160/197) tiªu diÖt %d/20 L­u Vong ¸c §å			
30424	Tv	3413	1	1			§èi tho¹i víi BiÖn Kinh Tiªu S­			
30425	Tv	3414	1	1			Mang gãi hµng ®Õn Thiªn ¢m Th¸nh §Þa giao cho §ång M· Qu¸n (214/198)			
30426	Tv	3415	1	1			Mang gãi hµng ®Õn Thiªn ¢m Th¸nh §Þa giao cho Qu¸ch TÜnh An (230/200)			
30427	Tv	3416	1	1			Mang gãi hµng ®Õn Thiªn ¢m Th¸nh §Þa giao cho Viªn Th«ng §¹i S­ (205/219)			
30428	Tv	3417	1	1			Mang gãi hµng ®Õn Bé L¹c V­¬ng Kú giao cho Tiªu Thiªn Hùu (194/180)			
30429	Killer	Tinh §µn ThuËt SÜ	20				§Õn H­ng Kh¸nh (176/195) tiªu diÖt %d/20 Tinh §µn ThuËt SÜ			
30430	Killer	NguyÖt §µn ThuËt SÜ	20				§Õn Quúnh KÕt (206/203) tiªu diÖt %d/20 NguyÖt §µn ThuËt SÜ			
30431	Killer	B¹ch Linh Tù T¨ng Nh©n	20				§Õn Thiªn Long Tù (190/180) tiªu diÖt %d/20 B¹ch Linh Tù T¨ng Nh©n			
30432	Killer	KiÒu D­¬ng	1				Tiªu diÖt "KiÒu D­¬ng"			
30433	Killer	NhËt ®µn hé ph¸p	20				§Õn ThÊt L¹c Nhai (191/200) tiªu diÖt %d/20 NhËt §µn Hé Ph¸p			
30434	Lv	90	6				§¹t chuyÓn sinh 6 90 cÊp			
30435	TaskID	380	1							
30436	Tv	3423	1	1			V­ît bÊt cø phã b¶n bªn d­íi: V¹n KiÕm Chñng, Anh Hïng V¹n KiÕm Chñng, §Þa HuyÒn Cung, Anh Hïng §Þa HuyÒn Cung, L­¬ng S¬n, Anh Hïng L­¬ng S¬n, Th¸i NhÊt Th¸p,Anh Hïng Th¸i NhÊt Th¸p			
30437	Tv	3424	1	1			Tham gia bÊt cø ChiÕn Tr­êng nµo d­íi ®©y: Thiªn M«n TrËn, Ph¸o §µi ChiÕn, Th«n Trang ChiÕn, L­¬ng Th¶o ChiÕn, Nh¹n M«n Quan, ¢n O¸n §µi			
30438	Tv	3425	2	1			Hoµn thµnh %d/2 lÇn nhiÖm vô ThÕ Lùc §µo Kho B¸u			
30439	Tv	3426	1	1			Hoµn thµnh %d/1 lÇn nhiÖm vô Trém Kinh S¸ch			
30440	Tv	3427	1	1			Hoµn thµnh %d/1 lÇn nhiÖm vô Tiªu Côc			
30441	Killer	S¸t thñ Thiªn ¢m Gi¸o	5				Tiªu diÖt %d/5 Thiªn ¢m Gi¸o S¸t Thñ			
30442	Killer	Tiªn phong Thiªn D­¬ng Giao	3				Tiªu diÖt %d/3 Thiªn ¢m Gi¸o Tiªn Phong			
30443	Killer	Tinh hoa Thiªn D­¬ng Giao	1				Tiªu diÖt %d/1 Thiªn ¢m Gi¸o Tinh Anh			
30444	Killer	Mao TÆc lo¹n nhËp	10				Tiªu diÖt %d/10 TiÓu TÆc Lo¹n NhËp			
30445	Killer	Long Hæ §­êng C¬ Quan Thó	10				Tiªu diÖt %d/10 Long Hæ §­êng C¬ Quan Thó			
30446	Tv	3428	7	1			Hoµn thµnh %d/7 NhiÖm vô x©y dùng theo tuÇn DiÔn Vò ChiÕn			
30447	Killer	Hµnh Gi¶ Vâ Tßng	1				Tiªu diÖt %d/1 Hµnh Gi¶ Vâ Tßng			
30448	Item	2	95	924	12	Huy HiÖu Vâ L©m Minh	NhËn %d/12 Hu©n Ch­¬ng Vâ L©m Minh			
30449	Killer	Tiªu NhiÔm NguyÖt Thiªn ¢m Gi¸o	1				Tiªu diÖt %d/1 Thiªn ¢m Gi¸o Tiªu NhiÔm NguyÖt			
30450	Tv	3429	1	1			C­íp mét xe tiªu vËn Hoµng Gia			
30451	Tv	3430	1	1			Hoµn thµnh 1 lÇn nhiÖm vô Th©u Ngäc Ph¸ch			
30452	Item	2	95	933	1	Kho B¸u Di VËt	NhËn %d/1 Di VËt B¶o Tµng			
30453	Tv	3431	1	1			H¹ng 1 BXH ThÕ Lùc cña TrËn ChiÕn ThÊt L¹c Nhai			
30454	Tv	3432	1	1			TÝch ®iÓm x©y dùng c¸ nh©n ®¹t 300, vµ nhËn phÈn th­ëng n¨ng ®éng.			
30455	Tv	3433	1	1			Tiªu diÖt bÊt kú %d/1 boss ThÕ Giíi			
30456	Item	2	1	31060	4	MËt TÝn Tr­ëng M«n	Nép %d/4 bøc MËt TÝn Tr­ëng M«n			
30457	Item	2	0	780	1	Háa Chung	N¾m gi÷ Háa Chung			
30458	Item	2	0	786	1	R­îu M¹nh BÝ TruyÒn	N¾m gi÷ R­îu M¹nh BÝ TruyÒn			
30459	Item	2	0	785	1	Gµ Quay BÝ TruyÒn	N¾m gi÷ Gµ Quay BÝ TruyÒn			
30460	Item	2	0	781	1	Thanh TÞnh Háa Chñng	N¾m gi÷ Thanh TÞnh Háa Chñng			
30461	Item	2	0	782	1	Quang Minh Háa Chung	N¾m gi÷ Quang Minh Háa Chung			
30462	Item	2	0	783	1	§¹i Lùc Háa Chñng	N¾m gi÷ §¹i Lùc Háa Chñng			
30463	Item	2	0	784	1	TrÝ TuÖ Háa Chñng	N¾m gi÷ TrÝ TuÖ Háa Chñng			
30464	Killer	Giang Hå Tiªu TiÓu	10				§Õn ThÊt L¹c Nhai (177/192) tiªu diÖt %d/10 Giang Hå Tiªu TiÓu			
30465	Killer	Giang Hå Tiªu TiÓu §Çu Môc	1				§Õn ThÊt L¹c Nhai (182/189) ®¸nh b¹i Giang Hå Tiªu TiÓu §Çu Môc			
30466	Item	2	1	31091	1	Kim Tinh	NhËn ®­îc Kim Tinh %d/1			
30467	Item	2	1	31090	1	H¹t Gièng ThÇn Méc	NhËn ®­îc 1 H¹t Gièng ThÇn Méc %d/1			
30468	Item	2	1	31092	1	Méc Tinh	N¾m gi÷ Méc Tinh %d/1			
30469	Item	2	1	31093	1	Thñy Tinh	LÊy ®­îc Thñy Tinh %d/1			
30470	Item	2	1	31094	1	Háa Tinh	LÊy ®­îc Háa Tinh %d/1			
30471	Item	2	1	31095	1	Thæ Tinh	LÊy ®­îc Thæ Tinh %d/1			
30472	Item	2	1	31085	1	V¨n Søc MÊt Linh KhÝ-§Çu	N¾m gi÷ V¨n Søc MÊt Linh KhÝ-§Çu %d/1			
30473	Item	2	1	31086	1	V¨n Søc MÊt Linh KhÝ-¸o	N¾m gi÷ V¨n Søc MÊt Linh KhÝ-¸o %d/1			
30474	Item	2	1	31087	1	V¨n Søc MÊt Linh KhÝ-QuÇn	N¾m gi÷ V¨n Søc MÊt Linh KhÝ-QuÇn %d/1			
30475	Item	2	1	31088	1	V¨n Søc MÊt Linh KhÝ-Giíi ChØ	cã v¨n søc mÊt linh khÝ-giíi %d/1			
30476	Item	2	1	31089	1	V¨n Søc MÊt Linh KhÝ-Ngäc Béi	cã v¨n søc mÊt linh khÝ-béi %d/1			
30477	Lv	90	8							
30478	Item	2	1	31098	10	MËt th­ Thiªn ¢m gi¸o	§Õn Thiªn ¢m Th¸nh §Þa (221/212) tiªu diÖt Thiªn ¢m Gi¸o Tinh Anh mang vÒ %d/10 MËt th­ Thiªn ¢m gi¸o			
30479	Item	2	1	31099	1	Hµn ThiÕt Tr¨m N¨m	§Õn B¨ng T©m §éng 1 (223/182) chç Hµn thiÕt th¹ch kho¸ng thu thËp 1 B¸ch Niªn Hµn ThiÕt			
30480	Item	2	1	31100	1	Mét l« binh khÝ dµi	NhËn ®­îc %d/1 mét l« vò khÝ dµi			
30481	Item	2	1	31103	1	Mét l« binh khÝ ng¾n	NhËn ®­îc %d/1 mét l« vò khÝ ng¾n			
30482	Item	2	1	31104	1	Mét l« kú m«n binh khÝ	NhËn ®­îc %d/1 mét l« vò khÝ kú m«n			
30483	Item	2	1	31101	1	M¶nh s¾t m¹ vµng	N¾m gi÷ %d/1 M¶nh s¾t ®· m¹ vµng			
30484	Item	2	1	31102	1	Bóa cña M¹c NhÞ	LÊy ®­îc %d/1 Bóa rÌn cña M¹c NhÞ			
30485	Tv						§èi tho¹i víi V©n Du §¹o Nh©n, mua ®­îc KÝnh ChiÕu Yªu			
30486	Item	2	1	31106	1	Kh¨n Tay Cña Vua ¸c Quû	Cã %d/1 Kh¨n Tay Cña Vua ¸c Quû			
30487	Item	2	1	31107	-3	L­¬ng th¶o vËt t­	N¾m gi÷ %d/3 L­¬ng th¶o vËt t­			
30488	Item	2	1	31108	1	Th­ §Çu Hµng	NhËn %d/1 Th­ §Çu Hµng			
30489	Item	2	1	31109	1	C«ng v¨n ®iÒu l­¬ng thùc	N¾m gi÷ %d/1 Th­ ®iÒu ®éng l­¬ng thùc			
30490	Item	2	1	31125	3	Ly R­îu Rçng	Dïng %d/3 Ly R­îu			
30491	Item	2	1	31097	1	Th­ §iÒu §éng VËt T­	N¾m gi÷ %d/1 Th­ ®iÒu ®éng vËt t­			
30492	Item	2	1	31111	1	VËt t­ hoa v¨n	N¾m gi÷ %d/1 VËt t­ v¨n søc			
30493	Killer	Gian TÕ Minh gi¸o	50				§¸nh b¹i %d/50 Minh Gi¸o Gian TÕ			
30494	Killer	§Ö Tö Minh gi¸o	50				§¸nh b¹i %d/50 Minh Gi¸o Ph¶n §å			
30495	Tv						§èi tho¹i víi LÖ Thiªn NhuËn			
30496	Tv						§èi tho¹i víi HËu ThuÉn			
30497	Tv						§èi tho¹i víi T­ Hµnh Ph­¬ng			
30498	Tv						§èi tho¹i víi V­¬ng DÇn			
30499	Item	2	1	31112	1	U Háa Trôy	NhËn ®­îc U Háa Trôy %d/1			
30500	Item	2	1	31113	1	BÝch Thñy Ch©u	NhËn ®­îc BÝch Thñy Ch©u %d/1			
30501	Item	2	1	31114	1	Thiªn HuyÔn Thæ	NhËn ®­îc Thiªn HuyÔn Thæ %d/1			
30502	Item	2	1	31115	1	HuyÒn Träng Kim	NhËn ®­îc HuyÒn Träng Kim %d/1			
30503	Item	2	1	31116	1	HuyÕt Méc Ên	NhËn ®­îc HuyÕt Méc Än %d/1			
30504	Item	2	1	31105	1	KÝnh ChiÕu Yªu	Cã %d/1 KÝnh ChiÕu Yªu			
30505	Item	2	1	31126	1	Th­ Cña Tr­ëng L·o	Cã %d/1 Th­ Cña Tr­ëng L·o			
30506	Killer	Vua ¸c Quû	1				DiÖt %d/1 Vua ¸c Quû			
30507	Item	2	1	31060	3	MËt TÝn Tr­ëng M«n	Nép %d/3 Ch­ëng M«n MËt TÝn			
30508	Killer	Hoa Hßa Th­îng Lç TrÝ Th©m	1				DiÖt %d/1 Hoa hßa th­îng Lç TrÝ Th©m			
30509	Killer	Háa ThÇn Chóc Dung	1				DiÖt %d/1 Háa ThÇn Chóc Dung			
30510	Item	2	1	31143	1	B¶n VÏ C¬ Quan	DiÖt Thiªn ¢m Gi¸o Tiªu NhiÔm NguyÖt, ®o¹t l¹i %d/1 B¶n VÏ C¬ Quan			
30511	Item	2	1	31144	1	VËt T­ Cøu Trî	C­íp 1 Tiªu Xa Hoµng Gia, ®o¹t %d/1 VËt T­ Cøu Trî			
30512	Item	2	95	933	2	Kho B¸u Di VËt	Thu thËp %d/2 Kho B¸u Di VËt			
30513	Item	2	95	912	3	MÆc Tµ Ngäc Ph¸ch_NhÊt phÈm	Thu thËp %d/3 MÆc Tµ Ngäc Ph¸ch_NhÊt phÈm			
30514	Killer	Ngôy HÇu V­¬ng	1				DiÖt %d/1 Ngôy HÇu V­¬ng			
30515	Item	2	1	31145	50	Tµi S¶n BÞ C­íp	§o¹t l¹i %d/50 Tµi S¶n BÞ C­íp			
30516	Item	2	1	31146	1	Binh KhÝ ThÇn Vâ	DiÖt 1 boss thÕ giíi bÊt kú, ®o¹t %d/1 Binh KhÝ ThÇn Vâ			
30517	TaskID	389	1							
30518	TaskID	391	1							
30519	TaskID	393	1							
30520	TaskID	395	1							
30521	TaskID	398	1							
30522	TaskID	400	1							
30523	TaskID	402	1							
30524	TaskID	403	1							
30525	TaskID	405	1							
30526	TaskID	477	1							
30527	TaskID	478	1							
30528	TaskID	479	1							
30529	TaskID	480	1							
30530	TaskID	481	1							
30531	TaskID	482	1							
30532	TaskID	483	1							
30533	TaskID	484	1							
30534	TaskID	485	1							
30535	TaskID	486	1							
30536	Item	2	1	31190	10	TÝn VËt V­ît ¶i	Thu thËp %d/10 TÝn VËt V­ît ¶i (sinh ra khi tham gia c¸c phã b¶n sau (chØ nh©n vËt nhËn nhiÖm vô míi nhËn ®­îc): L­¬ng S¬n, §Þa HuyÒn Cung, V¹n KiÕm Chñng, Th¸i NhÊt Th¸p vµ PhÇn Thiªn L©m (Th­êng vµ Anh hïng), KiÕm §·ng YÕn V©n (Th­êng vµ Anh hïng))			
30537	Item	2	1	31188	1	LÖnh Bµi V­ît ¶i	HiÖn cã %d/1 LÖnh Bµi V­ît ¶i			
30538	Killer	B¸ §ao TuyÖt	1				H·y ®Õn KiÕm C¸c Thôc §¹o (182,184) diÖt B¸ §ao TuyÖt			
30539	Killer	Qu©n KiÕm Cuång	1				H·y ®Õn KiÕm C¸c Thôc §¹o (158,186) diÖt Qu©n KiÕm Cuång			
30540	Killer	HuyÔn §ao Tæng Qu¶n	1				H·y ®Õn Kim Quang §éng (213,217) diÖt HuyÔn §ao Tæng Qu¶n			
30541	Killer	HuyÔn KiÕm Tæng Qu¶n	1				H·y ®Õn Kim Quang §éng (217,200) diÖt HuyÔn KiÕm Tæng Qu¶n			
30542	Killer	Thñ LÜnh Miªu LÜnh TuÇn Tr¹i	1				H·y ®Õn Miªu LÜnh (181,174) diÖt Thñ LÜnh Miªu LÜnh TuÇn Tr¹i			
30543	Killer	D· Mao Ng­u C­êng Tr¸ng	1				H·y ®Õn Miªu LÜnh (187,188) diÖt D· Mao Ng­u C­êng Tr¸ng			
30544	Killer	Hé Ên §¹i Tæng Qu¶n	1				H·y ®Õn YÕn Tö §éng-TÇng 1 (190,226) diÖt Hé Ên §¹i Tæng Qu¶n			
30545	Killer	§¹i phu nh©n	1				H·y ®Õn YÕn Tö §éng-TÇng 1 (197,218) diÖt §¹i phu nh©n			
30546	Killer	S¸t Thñ §Çu LÜnh	1				H·y ®Õn Bé L¹c V­¬ng Kú (170,191) diÖt S¸t Thñ §Çu LÜnh			
30547	Killer	Cung Thñ §Çu LÜnh	1				H·y ®Õn Bé L¹c V­¬ng Kú (171,181) diÖt Cung Thñ §Çu LÜnh			
30548	Killer	Th¶o Nguyªn Kh¾c H·n	1				H·y ®Õn Bé L¹c V­¬ng Kú (192,181) diÖt Th¶o Nguyªn Kh¾c H·n			
30549	Killer	DÞ Téc §Çu Môc	1				H·y ®Õn §¹i Th¶o Nguyªn 1 (180,185) diÖt DÞ Téc §Çu Môc			
30550	Killer	Liªu Qu©n Thñ LÜnh	1				H·y ®Õn §¹i Th¶o Nguyªn 2 (187,186) diÖt Liªu Qu©n Thñ LÜnh			
30551	Killer	S¸t Thñ §Çu LÜnh	1				H·y ®Õn Bé L¹c V­¬ng Kú (170,191) diÖt S¸t Thñ §Çu LÜnh			
30552	Killer	Cung Thñ §Çu LÜnh	1				H·y ®Õn Bé L¹c V­¬ng Kú (171,181) diÖt Cung Thñ §Çu LÜnh			
30553	Killer	Th¶o Nguyªn Kh¾c H·n	1				H·y ®Õn Bé L¹c V­¬ng Kú (192,181) diÖt Th¶o Nguyªn Kh¾c H·n			
30554	Item	2	200	68	1	ThiÖp Chóc Mõng Xu©n Míi	Xu©n míi s¾p ®Õn råi, h·y gióp ta ®em ThiÖp Chóc Mõng ®Õn Thµnh §« (223,234) cho A ThÞnh			
30555	Item	2	200	68	1	ThiÖp Chóc Mõng Xu©n Míi	Xu©n míi s¾p ®Õn råi, h·y gióp ta ®em ThiÖp Chóc Mõng ®Õn Thµnh §« (245,221) cho Chu ThiÖn Nh©n			
