TaskIndex	TaskType	Title	TaskDes	IsGet	IsFinished	IsAwarded	NeedRoom	Award1	ExpireTime1	GlobalMsg1	Award2	ExpireTime2	GlobalMsg2	Award3	ExpireTime3	GlobalMsg3	Award4	ExpireTime4	GlobalMsg4	Award5	ExpireTime5	GlobalMsg5	Award6	ExpireTime6	GlobalMsg6	Award7	ExpireTime7	GlobalMsg7	Award8	ExpireTime8	GlobalMsg8
110	3	NhËn Th­ëng Tİch Lòy 900	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>900<color=White> sÏ ®­îc nhËn th­ëng	-1	424	462	2	2;1;31123;1;4		1																					
111	3	NhËn Th­ëng Tİch Lòy 1000	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1000<color=White> sÏ ®­îc nhËn th­ëng	-1	425	463	2	2;1;31386;50;4																							
112	3	NhËn Th­ëng Tİch Lòy 1100	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1100<color=White> sÏ ®­îc nhËn th­ëng	-1	426	464	2	2;1;31239;1;4		1																					
113	3	NhËn Th­ëng Tİch Lòy 1200	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1200<color=White> sÏ ®­îc nhËn th­ëng	-1	427	465	2	2;1;31507;1;4		1																					
114	3	NhËn Th­ëng Tİch Lòy 1300	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1300<color=White> sÏ ®­îc nhËn th­ëng	-1	428	466	2	2;1;31505;1;4		1																					
115	3	NhËn Th­ëng Tİch Lòy 1400	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1400<color=White> sÏ ®­îc nhËn th­ëng	-1	429	467	2	2;1;31508;1;4		1																					
116	3	NhËn Th­ëng Tİch Lòy 1500	<color=White>Hoµn thµnh <color=Green>nhiÖm vô hµng ngµy vµ hµng th¸ng<color=White>, nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1500<color=White> sÏ ®­îc nhËn th­ëng	-1	430	468	2	2;95;204;1;4		1																					
117	4	Kİch ho¹t th­ëng tiÕn cÊp	<color=White>Sö dông <color=Green>50 Thiªn Kiªu LÖnh ®Ó kİch ho¹t th­ëng tiÕn cÊp, <color=White>nhËn ngay <color=Green>300 §iÓm RÌn LuyÖn<color=White>. Khi §iÓm RÌn LuyÖn ®¹t møc nhÊt ®Şnh, ®­îc nhËn Th­ëng TiÕn CÊp.	-1	507	508	2	2;1;31506;300;4																							
118	4	NhËn Th­ëng TiÕn CÊp 50	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>50<color=White> sÏ ®­îc nhËn th­ëng	-1	507&433	471	2	2;1;31507;1;4																							
119	4	NhËn Th­ëng TiÕn CÊp 100	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>100<color=White> sÏ ®­îc nhËn th­ëng	-1	507&434	472	2	2;1;31509;1;4																							
120	4	NhËn Th­ëng TiÕn CÊp 200	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>200<color=White> sÏ ®­îc nhËn th­ëng	-1	507&435	473	2	2;1;31004;50;4																							
121	4	NhËn Th­ëng TiÕn CÊp 300	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>300<color=White> sÏ ®­îc nhËn th­ëng	-1	507&436	474	2	2;1;31386;50;4																							
122	4	NhËn Th­ëng TiÕn CÊp 400	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>400<color=White> sÏ ®­îc nhËn th­ëng	-1	507&437	475	2	2;1;9977;1;4	168	1																					
123	4	NhËn Th­ëng TiÕn CÊp 500	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>500<color=White> sÏ ®­îc nhËn th­ëng	-1	507&438	476	2	2;1;30914;5;4																							
124	4	NhËn Th­ëng TiÕn CÊp 600	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>600<color=White> sÏ ®­îc nhËn th­ëng	-1	507&439	477	2	2;1;31509;2;4																							
125	4	NhËn Th­ëng TiÕn CÊp 700	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>700<color=White> sÏ ®­îc nhËn th­ëng	-1	507&440	478	2	2;1;9977;2;4	168	1																					
126	4	NhËn Th­ëng TiÕn CÊp 800	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>800<color=White> sÏ ®­îc nhËn th­ëng	-1	507&441	479	2	2;1;31239;1;4		1																					
127	4	NhËn Th­ëng TiÕn CÊp 900	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>900<color=White> sÏ ®­îc nhËn th­ëng	-1	507&442	480	2	2;1;31123;2;4		1																					
128	4	NhËn Th­ëng TiÕn CÊp 1000	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1000<color=White> sÏ ®­îc nhËn th­ëng	-1	507&443	481	2	2;1;31510;1;4		1																					
129	4	NhËn Th­ëng TiÕn CÊp 1100	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1100<color=White> sÏ ®­îc nhËn th­ëng	-1	507&444	482	2	2;1;30914;5;4																							
130	4	NhËn Th­ëng TiÕn CÊp 1200	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1200<color=White> sÏ ®­îc nhËn th­ëng	-1	507&445	483	2	2;1;31505;1;4		1																					
131	4	NhËn Th­ëng TiÕn CÊp 1300	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1300<color=White> sÏ ®­îc nhËn th­ëng	-1	507&446	484	2	2;1;31239;2;4		1																					
132	4	NhËn Th­ëng TiÕn CÊp 1400	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1400<color=White> sÏ ®­îc nhËn th­ëng	-1	507&447	485	2	2;1;30370;1;4		1																					
133	4	NhËn Th­ëng TiÕn CÊp 1500	<color=Green>Kİch ho¹t th­ëng tiÕn cÊp sÏ <color=White> nhËn ®­îc §iÓm RÌn LuyÖn. Khi §iÓm RÌn LuyÖn ®¹t ®Õn <color=Green>1500<color=White> sÏ ®­îc nhËn th­ëng	-1	507&448	486	2	2;1;31508;1;4		1																					
