ID	Name	Type	LifeTime	Height	Speed	ZSpeed	ZAcceleration	CollidRangeW	CollidRangeH	DamageRangeW	DamageRangeH	Param1	Param2	AutoExplode	MoveKind	DamageNumLimit
30004	Boom trung tuyÕt cÇu	0	90	1	0			0	0	17	17			1	0	
30005	Boom ®¹i tuyÕt cÇu	0	90	1	0			0	0	17	17			1	0	
30006	VËt nu«i – C«ng th­êng 	0	5	1	0			1	1	1	1				0	
30007	VËt nu«i – Kim linh ph¸ gi¸p 	0	5	1	0			1	1	1	1				0	
30008	VËt nu«i – Méc linh ®éc 	0	2	10	0			1	1	1	1				0	
30009	VËt nu«i – Méc linh hót m¸u 	0	5	1	0			1	1	1	1				0	
30010	VËt nu«i – Méc linh phong Ên	0	5	1	0			1	1	1	1				0	
30011	VËt nu«i – Háa linh lo¹n 	0	5	1	0			1	1	1	1				0	
30012	VËt nu«i – Háa linh liÖt diÖm 	0	5	1	0			20	20	20	20				0	
30013	VËt nu«i – Thæ linh cho¸ng 	0	5	1	0			1	1	1	1				0	
30014	VËt nu«i – Thæ linh chÊn ®Þa 	0	5	1	0			20	20	20	20				0	
30015	VËt nu«i – håi m¸u tËp thÓ 	0	18	10	0			15	15	15	15			1	0	
30016	VËt nu«i – Xu©n Vò Miªn Miªn 	0	18	10	0			15	15	15	15				0	
30017	VËt nu«i – ThÊt Tinh H¶i §­êng 	0	18	10	0			15	15	15	15			1	0	
30018	VËt nu«i – Di Hoa TiÕp Méc 	0	5	1	0			1	1	1	1				0	
30019	VËt nu«i – LiÖt diÖm träng kÝch 	0	5	1	0			15	15	15	15			1	0	
30020	VËt nu«i – M·nh hæ h¹ s¬n 	0	5	60	200			5	11	5	11				1	
30021	VËt nu«i – Hæ gÇm s¬n l©m 	0	5	10	0			15	15	15	15			1	0	
30022	VËt nu«i – §¹i h¶i v« l­îng 	0	10	1	100			15	15	15	15			1	1	
30023	VËt nu«i – V¹n thó triÒu t«ng 	0	10	1	100			15	15	15	15			1	1	
30024	VËt nu«i – Long ®»ng tø h¶i	0	10	1	100			15	15	15	15			1	1	
30025	VËt nu«i – Phông vò cöu thiªn 	0	10	1	100			15	15	15	15			1	1	
30026	Long Ch©u Tù B¹o	0	2	1	0			13	13	13	13			1	0	
30027	ChÝ MÖnh Ho¶ Ph¸o	0	2	10	0			13	13	13	13			1	0	
30028	Kh¸ng Cù Chi L·ng	0	2	1	0			5	5	5	5				0	
30029	ThiÕt Gi¸p Träng KÝch	0	2	60	0			1	1	1	1				0	
30030	C«ng kÝch bãng n­íc	0	36	75	20			3	7	3	7	9			1	
30031	Thõa Phong Ph¸ L·ng	0	2	15	30			7	7	7	7				1	
30032	ThuyÒn chØ huy t¶n x¹	0	54	90	20			3	6	3	6				1	
30033	§«ng Ph­¬ng BÊt B¹i thÇn tr©m	0	8	90	40			3	3	3	3				1	
30034	§«ng Ph­¬ng BÊt B¹i bÞ lùc	0	36	90	0			3	6	3	6				1	
30035	§«ng Ph­¬ng BÊt B¹i quang trô	0	8	90	20			7	7	7	7				1	
434	Oanh L«i Phï	0	2	10	0			7	7	7	7				0	
437	Ngò L«i ChÝnh Ph¸p Phï	0	130	1	0			13	13	13	13				0	
487	Lam Quang CÇu	0	90	1	10			5	5	5	5				1	
505	·¶Î§¹¥»÷	0	6	15	0			7	7	7	7				0	
506	Nhu V©n ThiÓm Quang	0	180	6	10			5	5	13	13				1	
507	TuyÕt CÇu b¾n ra	0	90	1	0			7	7	7	7				0	
508	Ký hiÖu §¹i Kim §ao	0	54	10	0			23	23	23	23	9		1	0	
509	Th«n V©n Thó-SÊm toµn mµn h×nh	0	54	1	0			7	7	7	7				0	
510	Hoang Háa Chi CÇu-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
511	Th¸i NhÊt L­u Quang TuyÖt ¶nh	0	90	75	15			3	7	3	7				1	
512	Hoang Háa Chi CÇu 	0	36	1	0			13	13	13	13				0	
513	§¹i Kim §ao	0	15	1	0			7	7	7	7				0	
514	Phi ®ao	0	36	75	35			3	7	3	7				1	
515	L­u Quang TuyÖt ¶nh	0	27	60	100			3	7	3	7				1	
516	C¬ Giíi Thó Næ	0	30	60	0			15	15	15	15				0	
518	Hoang Háa LiÖt DiÖm-HiÖu øng ®¹n	0	18	10	0			13	13	13	13				0	
517	Duy tr× ch¸y lín	0	18	10	0			23	23	23	23	9		1	0	
519	Hoµnh T¶o Thiªn Qu©n	0	18	75	20			3	7	3	7				1	
520	Ký hiÖu §¹i Kim §ao	0	54	10	0			23	23	23	23	9		1	0	
521	Th«n V©n Thó-SÊm toµn mµn h×nh	0	54	1	0			7	7	7	7				0	
522	ÒþÐÎ×Óµ¯	0	15	10	0			7	7	7	7				0	
523	ºáÉ¨Ç§¾üÂý	0	15	75	20			3	7	3	7				1	
525	NhËm HiÖp CËn ChiÕn C«ng KÝch	0	6	10	0			11	11	11	11				0	
526	NhËm HiÖp Linh Tª §ao	0	126	15	16			3	3	3	3	9			3	
527	NhËm HiÖpPhi ®ao	0	54	15	30			3	3	3	3				1	
528	S¸t th­¬ng Yªn Vò Mª Li	0	5	1	0			17	17	17	17				0	
529	Tµn V©n	0	5	1	0			7	7	7	7				0	
530	KiÕm T«n tÊn c«ng th­êng	0	5	1	0			7	7	7	7				0	
531	§o¹n Thñy-Ngang	0	90	1	0			13	3	13	3				0	
532	§o¹n Thñy-Däc	0	90	1	0			3	13	3	13				0	
533	B¹o L«i-Nhá	0	5	1	0			9	9	9	9				0	
534	B¹o L«i-Lín	0	30	1	40			11	11	11	11				1	
535	Håi Phong	0	10	1	0			15	15	15	15				0	
536	Linh KiÕm Thñ Hé	0	18	1	0			15	15	15	15				0	
537	Thiªn Phong	4	108	1	0			15	15	15	15	18			0	
538	Thiªn Phong_§¹n	0	3	1	0			15	15	15	15				0	
539	Thiªn ¶nh TuyÖt S¸t	0	2	1	0			11	11	11	11				0	
540	V¹n KiÕm Hãa Vò-Nhá	0	9	10	0			9	9	9	9				0	
541	V¹n KiÕm Hãa Vò-Lín	0	9	10	0			17	17	17	17				0	
542	Ng« B¹ng Tö B¹o L«i	0	50	10	0			5	5	5	5				0	
543	Ng« B¹ng Tö L¹c Tinh	0	36	200	0	-60		13	13	13	13				0	
544	Ng« B¹ng Tö Tróc T­êng	4	180	1	0			3	3	3	3	18			0	
545	D­¬ng Viªm	0	18	75	20			3	7	3	7				1	
546	Háa QuyÒn	0	90	10	15			3	7	3	7	9			3	
547	BÊt Tri Háa	0	180	6	10			13	13	13	13				1	
548	L«i Hèng	0	36	75	15			3	7	3	7	9			3	
549	B¨ng Hoµn Tiªu KÝ	0	54	10	0			5	5	5	5				0	
550	Th­¬ng Háa	0	108	5	0			5	5	5	5				0	
551	S¸t th­¬ng B¨ng Ho¹i	0	15	1	0			5	5	5	5				0	
552	Tö Quang	0	18	75	18			3	7	3	7				1	
553	§éc V©n	0	270	6	0			11	11	11	11				0	
554	Kinh Th¸n cña KiÕm ThÇn	0	36	75	60			3	7	3	7				0	
555	S¸t th­¬ng Yªn Vò Mª Li	0	15	1	0			5	5	5	5				0	
556	§¹i Viªm Giíi	0	54	1	1			5	50	5	50				1	
557	Yªn Vò Mª Li Tiªu KÝ	0	36	10	0			5	5	5	5				0	
558	§éc DiÔm	0	18	10	0			11	11	11	11				0	
559	S¸t th­¬ng Yªn Vò Mª Li	0	30	10	0			9	9	9	9				0	
560	Lôc §¹o Lu©n Håi	0	54	6	100			3	3	3	3				0	
561	Lôc §¹o Lu©n Håi (Tö)	0	54	6	100			7	7	7	7				0	
562	HuyÕt Tr× §Þa Ngôc	0	18	75	0			11	11	11	11				0	
563	Thiªn Ma Hµng Phôc	0	54	50	50			3	7	3	7				1	
564	B¨ng Hoµn Tiªu KÝ	0	36	10	0			5	5	5	5				0	
565	Tuyªn C¸o Tö Vong	0	108	75	35			33	33	33	33				1	
566	Kim ¤ Tiªu KÝ	0	54	10	0			1	1	1	1				0	
567	Kim ¤ S¸t Th­¬ng	0	54	10	0			23	23	23	23				0	
571	Xö QuyÕt	0	36	75	100			33	33	33	33				1	
572	B¸ KhÝ	0	180	6	10			13	13	13	13				1	
573	Kim Bµi §Ö NhÊt Bang Háa B¹o b¾t ®Çu	0	54	1	0			3	3	3	3	3			0	
574	Yªn Háa Kim Bµi §Ö NhÊt Bang	0	54	1	0			3	3	3	3	3			0	
580	Xuyªn T©m Ch©m	0	12	60	120			4	4	4	4				1	
581	Phi Hoµng Ch©m	0	12	60	120			5	5	5	5				1	
582	SËu Vò	0	12	60	0			15	15	15	15				0	
583	HuyÔn S¸t TrËn	0	12	60	120			5	5	5	5				1	
584	DÉn §éc Sa	0	12	60	0			11	11	11	11				0	
585	DiÔm Phong 1	0	18	10	0			12	12	12	12				0	
586	DiÔm Phong 2	0	18	10	0			13	13	13	13				0	
587	DiÔm Phong 3	0	18	10	0			14	14	14	14				0	
588	DiÔm Phong 4	0	18	10	0			15	15	15	15				0	
589	DiÔm Phong 5	0	18	10	0			16	16	16	16				0	
590	DiÔm Phong 6	0	18	10	0			17	17	17	17				0	
591	PhÇn Th©n QuyÕt	0	16	10	0			15	15	15	15				0	
592	Ch©n D­¬ng KiÕm KhÝ	0	12	60	80			4	4	4	4				1	
593	HuyÒn ¢m KiÕm KhÝ	0	12	60	80			4	4	4	4				1	
594	T¶ ý Thiªn	0	18	60	40			5	8	5	8				1	
595	Ngù Long Ch­ëng ph¸p	0	2	10	0			5	5	5	5				0	
596	C«n T¶o Lôc Hîp	0	18	60	0			11	11	11	11				0	
597	L¹c L«i	0	27	10	0			11	11	11	11				0	
598	Toµn Phong	0	20	10	0			11	11	11	11				0	
599	Phong L«i Chó	0	20	10	0			15	15	15	15				0	
600	Áé½£ºáÉ¨	0	18	60	0			8	8	8	8				0	
601	L¨ng S­¬ng KiÕm KhÝ	0	18	10	0			13	13	13	13				0	
602	§·ng Ma C­¬ng KhÝ	0	18	10	0			15	15	15	15				0	
603	Minh KÝnh Phi §µi	0	15	10	0			3	3	5	5				0	
604	ÉÙÁÖÈ­´ò	0	18	40	0			8	8	8	8				0	
605	ÉÙÁÖ½ÅÌß	0	18	10	0			8	8	8	8				0	
606	Linh Lung Tø Ph¹m	0	54	10	60			5	5	5	5				1	
607	Trõng Giang Tù LuyÖn	0	12	40	60			5	5	5	5				1	
608	B¹c MÞ TrÝch BiÕn	0	12	40	60			5	5	5	5				2	
609	±ÈÇð½£Æø	0	18	60	50			10	10	10	10				1	
610	Bå §Ò Chøng Qu¶ KiÕm	0	18	60	50			10	10	10	10				1	
611	D­¬ng Gia TÊn Ph¸t ThØ	0	12	60	80			4	8	4	8				1	
612	D­¬ng Gia L¹c NhËt TiÔn	0	12	60	80			8	12	8	12				1	
613	B¸t Ph­¬ng Ph¸ DiÖt Th­¬ng	0														
614	D­¬ng Gia Cuång L«i Th­¬ng	0														
615	HuyÔn Vô S¸t Nh©n §ao	0	12	60	100			4	8	4	8				1	
616	Háa Xµ	0	12	40	60			3	8	3	8				1	
617	Th¸nh Háa Bót Ph¸p	0	18	40	40			8	8	8	8				0	
618	TrÇm Tóy Ng©m	0	16	10	0			15	15	15	15				0	
619	C«n T¶o Lôc Hîp EX	0	18	60	0			15	15	15	15				0	
620	ÉÙÁÖµ¶·ç	0	18	60	0			8	8	8	8				0	
621	¸m H­¬ng S¬ ¶nh	0	2	10	0			30	30	30	30				0	
622	NhÊt TiÔn Mai	0	12	10	120			5	5	5	5	1			1	
623	Nghªnh H­¬ng Khóc	0	16	10	0			12	12	12	12				0	
624	ThÞ HuyÕt	0	16	10	0			12	12	12	12				0	
625	DËt HuyÕt Tr¶o	0	16	40	0			5	5	5	5				0	
626	Îå¶¾AOE¹Æ	0	16	10	0			12	12	12	12				0	
627	S¬n B¨ng	0	16	40	0			5	10	5	10				0	
628	Thi §éc NhÉn	0	16	40	0			8	8	8	8				0	
629	Ng« C«ng tÊn c«ng	0	18	40	0			15	15	15	15				0	
630	§éc Xµ tÊn c«ng	0	18	40	0			5	15	5	15				0	
631	Îäµ±½£ÆøÐ§¹û×Óµ¯	0	18	40	0			8	8	8	8				0	
632	Ch©n D­¬ng KiÕm KhÝ quan th­ëng tö ®¹n	0	4	60	80			4	4	4	4				1	
633	HuyÒn ¢m KiÕm KhÝ quan th­ëng tö ®¹n	0	4	60	80			4	4	4	4				1	
634	Kim C­¬ng Né Môc	0	18	10	60			8	8	8	8				1	
635	NPC Dông DiÔm Phong	0	108	10	0			12	12	12	12				0	
636	NPC³å·æ»÷ÍË	0	9	40	0			8	8	8	8				0	
637	Liªn Hoa tö	0	18	30	0			12	12	12	12				0	
638	Ngo¹i quan Dung NhËt Thæ Tøc	0	27	60	20			4	4	4	4				1	
639	S¸t Th­¬ng Dung NhËt Thæ Tøc	0	12	60	60			5	5	5	5				1	
640	ÈÚÈÕ»Ø¸´	0	36	60	0			13	13	13	13				0	
641	ÔÉÊ¯¹¥»÷±ê¼Ç	0	27	60	0			11	11	11	11				0	
642	Viªn Th¹ch C«ng KÝch TiÒn TÊu	0	18	60	0			11	11	11	11				0	
643	ÔÉÊ¯¹¥»÷	0	6	60	0			11	11	11	11				0	
644	¶¨Ê±Õ¨µ¯±ê¼Ç	0	18	60	0			40	40	40	40				0	
645	¶¨Ê±Õ¨µ¯	0	18	60	0			15	15	15	15				0	
646	¸ú×ÙÐý·ç	0	90	60	12			9	9	9	9	9			3	
647	×·×Ù¹âÇò	0	90	60	12			3	3	3	3	9		1	3	
648	¹âÇò´óÕ¨µ¯	0	18	60	0			20	20	20	20				0	
649	ÌìÀ×ÕðÆÆ	0	27	60	22			6	6	6	6			1	1	
650	ÌìÀ×ÕðÆÆºä	0	18	60	0			6	6	6	6				0	
651	Sãng Xung KÝch	0	30	60	50			10	10	10	10				1	
652	µçÉÁ	0	90	60	0			8	8	8	8				0	
653	Ò°ÍâPK½üÕ½·¶Î§¹¥»÷	0	18	60	0			8	8	8	8				0	
654	·ÉÁú	0	18	60	60			3	6	3	6				1	
655	Gi¸ng Long	0	18	60	0			6	6	6	6			1	0	
656	ÈçÀ´Ç§Ò¶	0	25	60	0			10	10	10	10				0	
657	Ñã»Ø	0	6	60	0			3	3	3	3				0	
658	·ãÂä	0	6	60	0			8	8	8	8				0	
659	L­u Tinh	0	12	10	120			5	5	5	5	1			1	
660	´©ÐÄ´Ì±¬Õ¨	0	6	60	0			7	7	7	7				0	
661	Long QuyÓn LiÖt Kh«n	0	18	60	0			20	20	20	20				0	
662	T¶ Ph­¬ng §Þa	0	18	60	0			20	20	20	20				0	
663	HËu Ph­¬ng Thñy	0	12	40	60			3	8	3	8				1	
664	Thiªn La §ãng B¨ng	0	360	10	0			11	11	11	11				0	
665	ÐþÎäÐ¥½£	0	360	10	0			11	11	11	11				0	
666	ThÊu Minh Béc	0	12	60	0			11	11	11	11				0	
667	Phi Th¹ch	0	8	20	0			7	7	7	7				0	
668	ÕæÑ×Ö®¼ý															
669	Næ	0	18	10	150			6	6	6	6				0	
670	TiÔn Vò TiÔn	0	12	10	0			3	3	3	3				0	
671	Ph¹m vi TiÔn Vò	0	12	10	0			9	9	9	9				0	
672	Ná Xa TiÔn	0	12	10	60			5	5	5	5				0	
673	Phi Th¹ch X	0	8	20	0			7	7	7	7				0	
674	Truy KÝch TiÔn	0	9	80	120			3	3	1	1	9			3	
675	Ph¸o	0	18	90	10	-5		7	7	7	7				1	
676	Phong ph¸o	0	18	90	10	-5		7	7	7	7				1	
677	¹íÍõAOE	0	9	40	0			30	30	30	30				0	
678	±øÂíÙ¸³å·æ	0	2	60	200			5	11	5	11				1	
679	ËéÉ½ºÓ	0	16	10	0			30	30	30	30				0	
680	Kim Tö §¹n	0	36	75	35			3	7	3	7				1	
681	Méc Tö §¹n	0	36	75	35			3	7	3	7				1	
682	Thñy Tö §¹n	0	36	75	35			3	7	3	7				1	
683	Háa Tö §¹n	0	36	75	35			3	7	3	7				1	
684	Thæ Tö §¹n	0	36	75	35			3	7	3	7				1	
685	·ïÎèÄÚÈ¦	0	26	10	0			15	15	15	15				0	
686	NPC §¸nh ngo¹i c«ng (tÇm xa)	0	12	60	60			3	3	1	1				1	
687	»ºÂýÒÆ¶¯×Óµ¯	0	480	75	2			7	10	7	10				1	
688	À×ÏµÔ¶³ÌÆÕ¹¥×Óµ¯	0	180	60	8			3	3	1	1				1	
689	»ðÏµÔ¶³ÌÆÕ¹¥×Óµ¯	0	180	60	8			3	3	1	1				1	
690	±ùÏµÔ¶³ÌÆÕ¹¥×Óµ¯	0	180	60	8			3	3	1	1				1	
691	¹Ø¿¨¾º¼¼ÑÓÊ±ÉÁµç	0	9	10	0			5	5	5	5				0	
692	¹Ø¿¨¾º¼¼µØÃæÉÁµç	0	130	1	0			6	6	6	6				0	
693	¹Ø¿¨¾º¼¼ÖþÇ½×Óµ¯	4	180	1	0			3	3	3	3	18			0	
694	¹Ø¿¨¾º¼¼À×ÏµÑÓÊ±ÌáÊ¾	0	36	10	0			13	13	13	13				0	
695	¹Ø¿¨¾º¼¼»ðÏµ¸ú×Ù	0	270	10	6			3	3	3	3	9			3	
696	¹Ø¿¨¾º¼¼±ùÏµ¸ú×Ù	0	270	10	6			3	3	3	3	9			3	
697	¹Ø¿¨¾º¼¼ÕÙ»½×Óµ¯	0	1	1	0			1	1	1	1				0	
698	¹Ø¿¨¾º¼¼¶¾ÏµµØÃæ×Óµ¯	0	180	1	0			11	11	11	11				0	
699	Í¬ÐÄÕó-È«ÆÁ×Óµ¯	0	6	10	0			50	50	50	50				0	
700	Í¬ÐÄÕó-ÎåÀ×Õý·¨·û	0	180	1	0			13	13	13	13				0	
701	§ång T©m TrËn Thiªn Phong Trôy	4	270	1	0			15	15	15	15	18			0	
702	Í¬ÐÄÕó-ÌÒ»¨ÕÎ	0	1080	10	1			15	15	15	15				1	
703	Í¬ÐÄÕó-ÖËÑô½£Æø¸ú×Ù	0	15	75	100			3	7	3	7	9			3	
704	§ång T©m TrËn KiÕm TrËn	4	540	1	0			3	3	3	3	18			0	
705	Í¬ÐÄÕó-Ñô¹ØÈýµþ	0	6	10	0			50	50	50	50				0	
706	Í¬ÐÄÕó-¾²Ò¹Ë¼	0	6	10	0			50	50	50	50				0	
707	Í¬ÐÄÕó-¸m H­¬ng S¬ ¶nh	0	6	10	0			50	50	50	50				0	
708	Í¬ÐÄÕó-ËøÃüÕë±íÏÖ	0	36	10	0			11	11	11	11				0	
709	ÎåÐÐÕ½Ó¡-»¤¶ÜÀ©É¢×Óµ¯	3	6	10	0			25	25	25	25				0	
710	¶¾ÕÏ	0	48	10	0			13	13	13	13				1	
711	´ã¹ÇÊÉ»êÖä	0	3	60	150			3	3	3	3				1	
712	Vßng Long Ng©m	0	26	10	0			15	15	15	15				0	
