Level	Name	Category	G	D	P	Weight
3	TuyÕt-Hµn T«	19	0	122	513	2500
3	TuyÕt-Ng­ng Vò	19	0	122	514	2500
3	TuyÕt-To¸i Ngäc	19	0	122	515	1000
3	TuyÕt-Ngù K×nh	19	0	122	516	4000
4	TuyÕt-Hµn T«	19	0	122	517	2500
4	TuyÕt-Ng­ng Vò	19	0	122	518	2500
4	TuyÕt-To¸i Ngäc	19	0	122	519	1000
4	TuyÕt-Ngù K×nh	19	0	122	520	4000
5	TuyÕt-Hµn T«	19	0	122	521	2500
5	TuyÕt-Ng­ng Vò	19	0	122	522	2500
5	TuyÕt-To¸i Ngäc	19	0	122	523	1000
5	TuyÕt-Ngù K×nh	19	0	122	524	4000
6	TuyÕt-Hµn T«	19	0	122	525	2500
6	TuyÕt-Ng­ng Vò	19	0	122	526	2500
6	TuyÕt-To¸i Ngäc	19	0	122	527	1000
6	TuyÕt-Ngù K×nh	19	0	122	528	4000
7	TuyÕt-Hµn T«	19	0	122	529	2500
7	TuyÕt-Ng­ng Vò	19	0	122	530	2500
7	TuyÕt-To¸i Ngäc	19	0	122	531	1000
7	TuyÕt-Ngù K×nh	19	0	122	532	4000
1	S­¬ng-Thanh N÷	20	0	122	533	500
1	S­¬ng-Vi TiÕt	20	0	122	534	500
1	S­¬ng-S­¬ng Tù	20	0	122	535	4000
1	S­¬ng-Ngù K×nh	20	0	122	536	5000
2	S­¬ng-Thanh N÷	20	0	122	537	500
2	S­¬ng-Vi TiÕt	20	0	122	538	500
2	S­¬ng-S­¬ng Tù	20	0	122	539	4000
2	S­¬ng-Ngù K×nh	20	0	122	540	5000
3	S­¬ng-Thanh N÷	20	0	122	541	500
3	S­¬ng-Vi TiÕt	20	0	122	542	500
3	S­¬ng-S­¬ng Tù	20	0	122	543	4000
3	S­¬ng-Ngù K×nh	20	0	122	544	5000
4	S­¬ng-Thanh N÷	20	0	122	545	500
4	S­¬ng-Vi TiÕt	20	0	122	546	500
4	S­¬ng-S­¬ng Tù	20	0	122	547	4000
4	S­¬ng-Ngù K×nh	20	0	122	548	5000
5	S­¬ng-Thanh N÷	20	0	122	549	500
5	S­¬ng-Vi TiÕt	20	0	122	550	500
5	S­¬ng-S­¬ng Tù	20	0	122	551	4000
5	S­¬ng-Ngù K×nh	20	0	122	552	5000
6	S­¬ng-Thanh N÷	20	0	122	553	500
6	S­¬ng-Vi TiÕt	20	0	122	554	500
6	S­¬ng-S­¬ng Tù	20	0	122	555	4000
6	S­¬ng-Ngù K×nh	20	0	122	556	5000
7	S­¬ng-Thanh N÷	20	0	122	557	500
7	S­¬ng-Vi TiÕt	20	0	122	558	500
7	S­¬ng-S­¬ng Tù	20	0	122	559	4000
7	S­¬ng-Ngù K×nh	20	0	122	560	5000
6	V¹n T­îng-NhËt-U D­¬ng	1	0	122	561	1000
6	V¹n T­îng-NhËt-D­¬ng Cèc	1	0	122	562	1000
6	V¹n T­îng-NhËt-Ngu Uyªn	1	0	122	563	4000
6	V¹n T­îng-NhËt-Ngù K×nh	1	0	122	564	4000
7	V¹n T­îng-NhËt-U D­¬ng	1	0	122	565	1000
7	V¹n T­îng-NhËt-D­¬ng Cèc	1	0	122	566	1000
7	V¹n T­îng-NhËt-Ngu Uyªn	1	0	122	567	4000
7	V¹n T­îng-NhËt-Ngù K×nh	1	0	122	568	4000
6	V¹n T­îng-NguyÖt-Väng Th­	2	0	122	569	1100
6	V¹n T­îng-NguyÖt-H¶i KÝnh	2	0	122	570	1100
6	V¹n T­îng-NguyÖt-Hµn BÝch	2	0	122	571	1100
6	V¹n T­îng-NguyÖt-Ngäc Bµn	2	0	122	572	1100
6	V¹n T­îng-NguyÖt-Ng©n C©u	2	0	122	573	1100
6	V¹n T­îng-NguyÖt-Hån Uyªn	2	0	122	574	100
6	V¹n T­îng-NguyÖt-Ngù K×nh	2	0	122	575	4400
7	V¹n T­îng-NguyÖt-Väng Th­	2	0	122	576	1100
7	V¹n T­îng-NguyÖt-H¶i KÝnh	2	0	122	577	1100
7	V¹n T­îng-NguyÖt-Hµn BÝch	2	0	122	578	1100
7	V¹n T­îng-NguyÖt-Ngäc Bµn	2	0	122	579	1100
7	V¹n T­îng-NguyÖt-Ng©n C©u	2	0	122	580	1100
7	V¹n T­îng-NguyÖt-Hån Uyªn	2	0	122	581	100
7	V¹n T­îng-NguyÖt-Ngù K×nh	2	0	122	582	4400
6	V¹n T­îng-Tinh-Thiªn Du	3	0	122	583	2000
6	V¹n T­îng-Tinh-Quúnh TiÕt	3	0	122	584	2000
6	V¹n T­îng-Tinh-TuyÒn C¬	3	0	122	585	2000
6	V¹n T­îng-Tinh-Ngù K×nh	3	0	122	586	4000
7	V¹n T­îng-Tinh-Thiªn Du	3	0	122	587	2000
7	V¹n T­îng-Tinh-Quúnh TiÕt	3	0	122	588	2000
7	V¹n T­îng-Tinh-TuyÒn C¬	3	0	122	589	2000
7	V¹n T­îng-Tinh-Ngù K×nh	3	0	122	590	4000
6	V¹n T­îng-ThÇn-Khèn §«n	4	0	122	591	500
6	V¹n T­îng-ThÇn-§¬n KhuyÕt	4	0	122	592	1000
6	V¹n T­îng-ThÇn-ChÊp Tõ	4	0	122	593	500
6	V¹n T­îng-ThÇn-Ngù K×nh	4	0	122	594	8000
7	V¹n T­îng-ThÇn-Khèn §«n	4	0	122	595	500
7	V¹n T­îng-ThÇn-§¬n KhuyÕt	4	0	122	596	1000
7	V¹n T­îng-ThÇn-ChÊp Tõ	4	0	122	597	500
7	V¹n T­îng-ThÇn-Ngù K×nh	4	0	122	598	8000
6	V¹n T­îng-Thiªn-Hång Qu©n	5	0	122	599	2000
6	V¹n T­îng-Thiªn-H¹o Th­¬ng	5	0	122	600	1000
6	V¹n T­îng-Thiªn-Ngù K×nh	5	0	122	601	7000
7	V¹n T­îng-Thiªn-Hång Qu©n	5	0	122	602	2000
7	V¹n T­îng-Thiªn-H¹o Th­¬ng	5	0	122	603	1000
7	V¹n T­îng-Thiªn-Ngù K×nh	5	0	122	604	7000
6	V¹n T­îng-§Þa-Kh«n Linh	6	0	122	605	2000
6	V¹n T­îng-§Þa-Th¸i Ninh	6	0	122	606	1000
6	V¹n T­îng-§Þa-Ngù K×nh	6	0	122	607	7000
7	V¹n T­îng-§Þa-Kh«n Linh	6	0	122	608	2000
7	V¹n T­îng-§Þa-Th¸i Ninh	6	0	122	609	1000
7	V¹n T­îng-§Þa-Ngù K×nh	6	0	122	610	7000
6	V¹n T­îng-S¬n-Sïng A	7	0	122	611	3000
6	V¹n T­îng-S¬n-Ngäc Ch­íng	7	0	122	612	3000
6	V¹n T­îng-S¬n-Ngù K×nh	7	0	122	613	4000
7	V¹n T­îng-S¬n-Sïng A	7	0	122	614	3000
7	V¹n T­îng-S¬n-Ngäc Ch­íng	7	0	122	615	3000
7	V¹n T­îng-S¬n-Ngù K×nh	7	0	122	616	4000
6	V¹n T­îng-H¶i-Th­¬ng Minh	8	0	122	617	3000
6	V¹n T­îng-H¶i-Minh M«ng	8	0	122	618	3000
6	V¹n T­îng-H¶i-Ngù K×nh	8	0	122	619	4000
7	V¹n T­îng-H¶i-Th­¬ng Minh	8	0	122	620	3000
7	V¹n T­îng-H¶i-Minh M«ng	8	0	122	621	3000
7	V¹n T­îng-H¶i-Ngù K×nh	8	0	122	622	4000
6	V¹n T­îng-Phong-Tïng Xuy	9	0	122	623	2000
6	V¹n T­îng-Phong-Nam Hu©n	9	0	122	624	2000
6	V¹n T­îng-Phong-Long TiÒm	9	0	122	625	2000
6	V¹n T­îng-Phong-Ngù K×nh	9	0	122	626	4000
7	V¹n T­îng-Phong-Tïng Xuy	9	0	122	627	2000
7	V¹n T­îng-Phong-Nam Hu©n	9	0	122	628	2000
7	V¹n T­îng-Phong-Long TiÒm	9	0	122	629	2000
7	V¹n T­îng-Phong-Ngù K×nh	9	0	122	630	4000
6	V¹n T­îng-Vô-Thñy V©n	10	0	122	631	2000
6	V¹n T­îng-Vô-Tè TrÇn	10	0	122	632	500
6	V¹n T­îng-Vô-Thanh Huy	10	0	122	633	500
6	V¹n T­îng-Vô-Ngù K×nh	10	0	122	634	7000
7	V¹n T­îng-Vô-Thñy V©n	10	0	122	635	2000
7	V¹n T­îng-Vô-Tè TrÇn	10	0	122	636	500
7	V¹n T­îng-Vô-Thanh Huy	10	0	122	637	500
7	V¹n T­îng-Vô-Ngù K×nh	10	0	122	638	7000
6	V¹n T­îng-Xu©n-Thanh D­¬ng	11	0	122	639	3000
6	V¹n T­îng-Xu©n-D­¬ng Trung	11	0	122	640	3000
6	V¹n T­îng-Xu©n-Ngù K×nh	11	0	122	641	4000
7	V¹n T­îng-Xu©n-Thanh D­¬ng	11	0	122	642	3000
7	V¹n T­îng-Xu©n-D­¬ng Trung	11	0	122	643	3000
7	V¹n T­îng-Xu©n-Ngù K×nh	11	0	122	644	4000
6	V¹n T­îng-H¹-Chu Minh	12	0	122	645	3000
6	V¹n T­îng-H¹-Cöu Thö	12	0	122	646	3000
6	V¹n T­îng-H¹-Ngù K×nh	12	0	122	647	4000
7	V¹n T­îng-H¹-Chu Minh	12	0	122	648	3000
7	V¹n T­îng-H¹-Cöu Thö	12	0	122	649	3000
7	V¹n T­îng-H¹-Ngù K×nh	12	0	122	650	4000
6	V¹n T­îng-Thu-B¹ch Tµng	13	0	122	651	500
6	V¹n T­îng-Thu-Tè TiÕt	13	0	122	652	500
6	V¹n T­îng-Thu-Ngù K×nh	13	0	122	653	9000
7	V¹n T­îng-Thu-B¹ch Tµng	13	0	122	654	500
7	V¹n T­îng-Thu-Tè TiÕt	13	0	122	655	500
7	V¹n T­îng-Thu-Ngù K×nh	13	0	122	656	9000
6	V¹n T­îng-§«ng-Nguyªn Tù	14	0	122	657	1500
6	V¹n T­îng-§«ng-Hµn ThÇn	14	0	122	658	1500
6	V¹n T­îng-§«ng-TuÕ D­	14	0	122	659	3000
6	V¹n T­îng-§«ng-Ngù K×nh	14	0	122	660	4000
7	V¹n T­îng-§«ng-Nguyªn Tù	14	0	122	661	1500
7	V¹n T­îng-§«ng-Hµn ThÇn	14	0	122	662	1500
7	V¹n T­îng-§«ng-TuÕ D­	14	0	122	663	3000
7	V¹n T­îng-§«ng-Ngù K×nh	14	0	122	664	4000
6	V¹n T­îng-Thñy-Thanh Dao	15	0	122	665	1000
6	V¹n T­îng-Thñy-Nguyªn Töu	15	0	122	666	500
6	V¹n T­îng-Thñy-Kinh Hång	15	0	122	667	500
6	V¹n T­îng-Thñy-Ngù K×nh	15	0	122	668	8000
7	V¹n T­îng-Thñy-Thanh Dao	15	0	122	669	1000
7	V¹n T­îng-Thñy-Nguyªn Töu	15	0	122	670	500
7	V¹n T­îng-Thñy-Kinh Hång	15	0	122	671	500
7	V¹n T­îng-Thñy-Ngù K×nh	15	0	122	672	8000
6	V¹n T­îng-Th¹ch-S¬n Cèt	16	0	122	673	1400
6	V¹n T­îng-Th¹ch-V©n C¨n	16	0	122	674	1400
6	V¹n T­îng-Th¹ch-Tinh ChÊt	16	0	122	675	1400
6	V¹n T­îng-Th¹ch-Huúnh HoÆc	16	0	122	676	1400
6	V¹n T­îng-Th¹ch-LiÖt B¹ch	16	0	122	677	1400
6	V¹n T­îng-Th¹ch-Ngù K×nh	16	0	122	678	3000
7	V¹n T­îng-Th¹ch-S¬n Cèt	16	0	122	679	1400
7	V¹n T­îng-Th¹ch-V©n C¨n	16	0	122	680	1400
7	V¹n T­îng-Th¹ch-Tinh ChÊt	16	0	122	681	1400
7	V¹n T­îng-Th¹ch-Huúnh HoÆc	16	0	122	682	1400
7	V¹n T­îng-Th¹ch-LiÖt B¹ch	16	0	122	683	1400
7	V¹n T­îng-Th¹ch-Ngù K×nh	16	0	122	684	3000
6	V¹n T­îng-V©n-Thôy DiÖp	17	0	122	685	1400
6	V¹n T­îng-V©n-V©n Õ	17	0	122	686	1400
6	V¹n T­îng-V©n-Thanh TÕ	17	0	122	687	1400
6	V¹n T­îng-V©n-Khiªm Ng­ng	17	0	122	688	1400
6	V¹n T­îng-V©n-Ng©n Tróc	17	0	122	689	1400
6	V¹n T­îng-V©n-Ngù K×nh	17	0	122	690	3000
7	V¹n T­îng-V©n-Thôy DiÖp	17	0	122	691	1400
7	V¹n T­îng-V©n-V©n Õ	17	0	122	692	1400
7	V¹n T­îng-V©n-Thanh TÕ	17	0	122	693	1400
7	V¹n T­îng-V©n-Khiªm Ng­ng	17	0	122	694	1400
7	V¹n T­îng-V©n-Ng©n Tróc	17	0	122	695	1400
7	V¹n T­îng-V©n-Ngù K×nh	17	0	122	696	3000
6	V¹n T­îng-Vò-Long NhuËn	18	0	122	697	1000
6	V¹n T­îng-Vò-Linh Tr¹ch	18	0	122	698	1000
6	V¹n T­îng-Vò-M¹ch L©m	18	0	122	699	3000
6	V¹n T­îng-Vò-Ngù K×nh	18	0	122	700	5000
7	V¹n T­îng-Vò-Long NhuËn	18	0	122	701	1000
7	V¹n T­îng-Vò-Linh Tr¹ch	18	0	122	702	1000
7	V¹n T­îng-Vò-M¹ch L©m	18	0	122	703	3000
7	V¹n T­îng-Vò-Ngù K×nh	18	0	122	704	5000
6	V¹n T­îng-TuyÕt-Tµn T«	19	0	122	705	2500
6	V¹n T­îng-TuyÕt-Ng­ng Vò	19	0	122	706	2500
6	V¹n T­îng-TuyÕt-To¸i Ngäc	19	0	122	707	1000
6	V¹n T­îng-TuyÕt-Ngù K×nh	19	0	122	708	4000
7	V¹n T­îng-TuyÕt-Tµn T«	19	0	122	709	2500
7	V¹n T­îng-TuyÕt-Ng­ng Vò	19	0	122	710	2500
7	V¹n T­îng-TuyÕt-To¸i Ngäc	19	0	122	711	1000
7	V¹n T­îng-TuyÕt-Ngù K×nh	19	0	122	712	4000
6	V¹n T­îng-S­¬ng-Thanh N÷	20	0	122	713	500
6	V¹n T­îng-S­¬ng-Vi TiÕt	20	0	122	714	500
6	V¹n T­îng-S­¬ng-S­¬ng Tù	20	0	122	715	4000
6	V¹n T­îng-S­¬ng-Ngù K×nh	20	0	122	716	5000
7	V¹n T­îng-S­¬ng-Thanh N÷	20	0	122	717	500
7	V¹n T­îng-S­¬ng-Vi TiÕt	20	0	122	718	500
7	V¹n T­îng-S­¬ng-S­¬ng Tù	20	0	122	719	4000
7	V¹n T­îng-S­¬ng-Ngù K×nh	20	0	122	720	5000
