Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 2	L­u 3
VLTK2 Kû niÖm World cup ë §øc	2	0	443	1	0	10												\image\item\other\½£Íø2µÂ¹úÊÀ½ç±­¼ÍÄî¿¨a1.spr	\image\item\other\½£Íø2µÂ¹úÊÀ½ç±­¼ÍÄî¿¨a0.spr	TÊm thÎ VLTK2 kû niÖm World cup ë §øc, thÓ hiÖn chñ tr­¬ng ph¸t huy b×nh ®¼ng, tİnh ®ång ®éi vµ tinh thÇn thÓ thao ch©n chİnh		§· khãa	\script\online\afterworldcup06\item\wc06_keepsake_item.lua		2	1		
PhËt ch©u	2	0	444	1	0	999												\image\item\other\skius_004a1.spr	\image\item\other\skius_004a0.spr	VËt phÈm s¬ cÊp rít trong Méc nh©n h¹ng, cã thÓ t×m S­ phô ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
Kim phËt ch©u	2	0	445	1	0	999												\image\item\other\½ğ·ğÖéa1.spr	\image\item\other\½ğ·ğÖéa0_80.spr	Cã thÓ t×m S­ phô ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
Tù T¹i X¸ Lîi	2	0	446	1	0	999												\image\item\other\secr_002a1.spr	\image\item\other\secr_002a0.spr	Cã thÓ t×m S­ phô ®æi phÇn th­ëng Trung cÊp		§· khãa			2	1		
V¨n Thï X¸ Lîi	2	0	447	1	0	999												\image\item\other\ÎÄÊâÉáÀûa1.spr	\image\item\other\ÎÄÊâÉáÀûa0_80.spr	Trong ThiÕu L©m Méc nh©n h¹ng rít ra vËt phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Phæ HiÒn X¸ Lîi	2	0	448	1	0	999												\image\item\other\ÆÕÏÍÉáÀûa1.spr	\image\item\other\ÆÕÏÍÉáÀûa0_80.spr	Trong ThiÕu L©m Méc nh©n h¹ng rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
§¹i Minh V­¬ng X¸ Lîi	2	0	449	1	0	999												\image\item\other\´óÃ÷ÍõÉáÀûa1.spr	\image\item\other\´óÃ÷ÍõÉáÀûa0_80.spr	Trong ThiÕu L©m Méc nh©n h¹ng rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
LÖnh tiªm	2	0	450	1	0	999												\image\item\other\skius_002a1.spr	\image\item\other\skius_002a0.spr	Cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
Kim LÖnh tiªm	2	0	451	1	0	999												\image\item\other\½ğÁîÇ©a1.spr	\image\item\other\½ğÁîÇ©a0_80.spr	Cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
H¾c Háa th¹ch	2	0	452	1	0	999												\image\item\other\secr_029a1.spr	\image\item\other\secr_029a0.spr	Cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng Trung cÊp		§· khãa			2	1		
B¹ch Háa th¹ch	2	0	453	1	0	999												\image\item\other\°×»ğÊ¯a1.spr	\image\item\other\°×»ğÊ¯a0_80.spr	Trong §­êng M«n Tróc H¶i Quan rít ra vËt phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Bİ §éc ph­¬ng	2	0	454	1	0	999												\image\item\other\ÃØ¶¾·½a1.spr	\image\item\other\ÃØ¶¾·½a0_80.spr	Trong §­êng M«n Tróc H¶i Quan rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
C¬ quan bİ lôc	2	0	455	1	0	999												\image\item\other\»ú¹ØÃØÂ¼a1.spr	\image\item\other\»ú¹ØÃØÂ¼a0_80.spr	Trong §­êng M«n Tróc H¶i Quan rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Hoa sen	2	0	456	1	0	999												\image\item\other\Á«»¨a1.spr	\image\item\other\Á«»¨a0_80.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Kim Liªn Hoa	2	0	457	1	0	999												\image\item\other\½ğÁ«»¨a1.spr	\image\item\other\½ğÁ«»¨a0_80.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thanh Lé Cóc	2	0	458	1	0	999												\image\item\other\secr_010a1.spr	\image\item\other\secr_010a0.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm trung cÊp, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng trung cÊp. 		§· khãa			2	1		
Ngäc NgÉu TiÕt	2	0	459	1	0	999												\image\item\other\ÓñÅº½Úa1.spr	\image\item\other\ÓñÅº½Úa0_80.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm cao cÊp, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp. 		§· khãa			2	1		
Tiªn Tróc Nha	2	0	460	1	0	999												\image\item\other\ÏÉÖñÑ¿a1.spr	\image\item\other\ÏÉÖñÑ¿a0_80.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm th­îng h¹ng, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng th­îng h¹ng. 		§· khãa			2	1		
TŞnh B×nh Tiªn LiÔu	2	0	461	1	0	999												\image\item\other\¾»Æ¿ÏÉÁøa1.spr	\image\item\other\¾»Æ¿ÏÉÁøa0_80.spr	Trong Nga My V« T­íng Gian rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Tói tiÕp tÕ	2	0	462	1	0	999												\image\item\other\quest_011a1.spr	\image\item\other\quest_011a0.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm cÊp thÊp, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Long §Çu §¹i	2	0	463	1	0	999												\image\item\other\ÁúÍ·´üa1.spr	\image\item\other\ÁúÍ·´üa0_80.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Hµnh V©n §¹i	2	0	464	1	0	999												\image\item\other\quest_034a1.spr	\image\item\other\quest_034a0.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm trung cÊp, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng trung cÊp. 		§· khãa			2	1		
KhÊt Thiªn UyÓn	2	0	465	1	0	999												\image\item\other\ÆòÌìÍëa1.spr	\image\item\other\ÆòÌìÍëa0_80.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm cÊp cao, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp. 		§· khãa			2	1		
Tö Kim B¸t	2	0	466	1	0	999												\image\item\other\×Ï½ğ²§a1.spr	\image\item\other\×Ï½ğ²§a0_80.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Lôc Ngäc Tr­îng	2	0	467	1	0	999												\image\item\other\ÂÌÓñÕÈa1.spr	\image\item\other\ÂÌÓñÕÈa0_80.spr	Trong C¸i Bang Hµo Tung Cèc rít ra vËt  phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thiªn Toµn Méc	2	0	468	1	0	999												\image\item\other\Ììè¯ÅÆa1.spr	\image\item\other\Ììè¯ÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thiªn C¬ Méc	2	0	469	1	0	999												\image\item\other\ÌìçáÅÆa1.spr	\image\item\other\ÌìçáÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thiªn Khu Méc	2	0	470	1	0	999												\image\item\other\ÌìÊàÅÆa1.spr	\image\item\other\ÌìÊàÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thiªn QuyÒn Méc	2	0	471	1	0	999												\image\item\other\ÌìÈ¨ÅÆa1.spr	\image\item\other\ÌìÈ¨ÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm cao cÊp, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp. 		§· khãa			2	1		
Ngäc Hoµnh Méc	2	0	472	1	0	999												\image\item\other\ÓñºâÅÆa1.spr	\image\item\other\ÓñºâÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm th­îng h¹ng, cã thÓ t×m s­ phô ®Ó ®æi th­ëng th­îng h¹ng. 		§· khãa			2	1		
Khai D­¬ng Méc	2	0	473	1	0	999												\image\item\other\¿ªÑôÅÆa1.spr	\image\item\other\¿ªÑôÅÆa0_80.spr	Trong Vâ §ang HuyÒn Vò Phong rít ra vËt phÈm thÇn bİ, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ. 		§· khãa			2	1		
Qu©n LÖnh Th­	2	0	474	1	0	999												\image\item\other\¾üÁîÊéa1.spr	\image\item\other\¾üÁîÊéa0_80.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm s¬ cÊp, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
T­íng LÖnh Th­	2	0	475	1	0	999												\image\item\other\½«ÁîÊéa1.spr	\image\item\other\½«ÁîÊéa0_80.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm cÊp thÊp, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
M· §¸ng	2	0	476	1	0	999												\image\item\other\Âíïëa1.spr	\image\item\other\Âíïëa0_80.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Tinh B× TiÔn §¹i	2	0	477	1	0	999												\image\item\other\¾«Æ¤¼ı´üa1.spr	\image\item\other\¾«Æ¤¼ı´üa0_80.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Kim Cang ThuÉn	2	0	478	1	0	999												\image\item\other\½ğ¸Õ¶Üa1.spr	\image\item\other\½ğ¸Õ¶Üa0_80.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Cæ §İnh §ao	2	0	479	1	0	999												\image\item\other\quest_016a1.spr	\image\item\other\quest_016a0.spr	Trong D­¬ng M«n Trung Vâ HiÖu Tr­êng rít ra vËt phÈm thÇn bİ, cã thÓ t×m s­ phô ®Ó ®æi th­ëng thÇn bİ. 		§· khãa			2	1		
§éc DŞch B×nh	2	0	480	1	0	999												\image\item\other\secr_020a1.spr	\image\item\other\secr_020a0.spr	Trong Ngò §éc U Nan QuËt rít ra vËt phÈm s¬ cÊp, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
§éc DŞch B×nh-§¹i	2	0	481	1	0	999												\image\item\other\´ó¶¾ÒºÆ¿a1.spr	\image\item\other\´ó¶¾ÒºÆ¿a0_80.spr	Trong Ngò §éc U Nan QuËt rít ra vËt phÈm cÊp thÊp, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Xµ §éc	2	0	482	1	0	999												\image\item\other\quest_024a1.spr	\image\item\other\quest_024a0.spr	Trong Ngò §éc U Nan QuËt rít ra vËt phÈm trung cÊp, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng trung cÊp. 		§· khãa			2	1		
NhÖn §éc	2	0	483	1	0	999												\image\item\other\Ö©Öë¶¾a1.spr	\image\item\other\Ö©Öë¶¾a0_80.spr	Trong Ngò §éc U Nan QuËt rít ra vËt  phÈm cÊp 1, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
RÕt ®éc	2	0	484	1	0	999												\image\item\other\òÚò¼¶¾a1.spr	\image\item\other\òÚò¼¶¾a0_80.spr	Trong Ngò §éc U Nan QuËt rít ra vËt phÈm cÊp 2, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Thi ®éc	2	0	485	1	0	999												\image\item\other\Ê¬¶¾a1.spr	\image\item\other\Ê¬¶¾a0_80.spr	Trong Ngò §éc U Nan QuËt rít ra vËt phÈm cÊp 3, cã thÓ t×m s­ phô ®æi th­ëng. 		§· khãa			2	1		
Th¸i S¾c Hoa BiÖn	2	0	486	1	0	999														VËt phÈm s¬ cÊp rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
Cöu Th¸i Hoa BiÖn	2	0	487	1	0	999														VËt phÈm thÇn bİ rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ		§· khãa			2	1		
§µo Hoa Lé	2	0	488	1	0	999														VËt phÈm Trung cÊp rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng Trung cÊp		§· khãa			2	1		
§ç Quyªn Lé	2	0	489	1	0	999														VËt phÈm cao cÊp rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp		§· khãa			2	1		
MÉu §¬n Lé	2	0	490	1	0	999														VËt phÈm cao cÊp rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp		§· khãa			2	1		
Mai QuÕ Lé	2	0	491	1	0	999														VËt phÈm th­îng h¹ng rít trong B¸ch Hoa L©m cña Thóy Yªn, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng th­îng h¹ng		§· khãa			2	1		
Linh phï	2	0	492	1	0	999														VËt phÈm s¬ cÊp rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng s¬ cÊp		§· khãa			2	1		
Thiªn C­¬ng Phï	2	0	493	1	0	999														VËt phÈm cao cÊp rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp		§· khãa			2	1		
§µo Méc KiÕm	2	0	494	1	0	999														VËt phÈm Trung cÊp rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng Trung cÊp		§· khãa			2	1		
Khu Ma H­¬ng	2	0	495	1	0	999														VËt phÈm th­îng h¹ng rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng th­îng h¹ng		§· khãa			2	1		
TrÊn Yªu Linh	2	0	496	1	0	999														VËt phÈm thÇn bİ rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ		§· khãa			2	1		
Khæn Tiªn Th»ng	2	0	497	1	0	999														VËt phÈm thÇn bİ rít trong Táa Yªu Th¸p cña C«n L«n, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ		§· khãa			2	1		
Xİch Háa LÖnh	2	0	498	1	0	999														VËt phÈm cao cÊp rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp		§· khãa			2	1		
Th¸nh Háa LÖnh	2	0	499	1	0	999														VËt phÈm th­îng h¹ng rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng th­îng h¹ng		§· khãa			2	1		
Ngò hµnh Kú	2	0	500	1	0	999														VËt phÈm thÇn bİ rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ		§· khãa			2	1		
T¶n Nh©n Hoµn	2	0	501	1	0	999														VËt phÈm cao cÊp rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng cao cÊp		§· khãa			2	1		
Hé Ph¸p §¸i	2	0	502	1	0	999														VËt phÈm th­îng h¹ng rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng th­îng h¹ng		§· khãa			2	1		
Tiªu Dao Béi	2	0	503	1	0	999														VËt phÈm thÇn bİ rít trong Th¸nh ®Şa cña Minh gi¸o, cã thÓ t×m s­ phô ®Ó ®æi phÇn th­ëng thÇn bİ		§· khãa			2	1		
C©y B¸t Nh· nhá	2	0	504	1	0	1												\image\item\other\°ãÈôÊ÷ÖÖ(x).spr	\image\item\other\°ãÈôÊ÷ÖÖ(d).spr	H¹t gièng c©y B¸t Nh· nhá.<enter><color=Gold>(Cã thÓ trång ë BiÖn Kinh, Thµnh §«, TuyÒn Ch©u)		NhiÖm vô	\script\online\plant\seed_item_xiao.lua		0	1		
Giang hå chØ nam	2	0	505	2	0	1												\image\item\other\coll_024a1.spr	\image\item\other\coll_024a0.spr	Ghi l¹i nh÷ng kinh nghiÖm giang hå cña c¸c bËc tiÒn bèi, rÊt h÷u İch ®èi víi T©n Thñ		NhiÖm vô	\script\task\teach\ĞÂÊÖÖ¸Òıbook.lua	1	2	0		
D­¬ng Häa PhiÕn	2	0	506	1	0	1												\image\item\other\coll_057a1.spr	\image\item\other\coll_057a0.spr	Phİa trªn cã vÏ hoa v¨n rÊt ®Ñp, bøc tranh kh«ng ph¶i lµ tranh ë Trung Nguyªn		§· khãa			2	1		
D­¬ng Häa C¬	2	0	507	1	0	1												\image\item\usable\rich_004a1.spr	\image\item\usable\rich_004a0.spr	Cã thÓ ph¸t s¸ng.		§· khãa			2	1		
Háa ChiÕt Tö	2	0	508	1	0	1												\image\item\other\coll_125a1.spr	\image\item\other\coll_125a0.spr	VËt ®¸nh löa cña hiÖp kh¸ch giang hå		§· khãa			2	1		
Yªn §¹i	2	0	509	1	0	1												\image\item\other\quest_012a1.spr	\image\item\other\quest_012a0.spr	Bªn trong chøa nhiÒu yªn th¶o.		§· khãa			2	1		
Méc hµi	2	0	510	1	0	1												\image\item\other\coll_043a1.spr	\image\item\other\coll_043a0.spr	Cao thñ giang hå th­êng mang		§· khãa			2	1		
Tróc M·	2	0	511	1	0	1												\image\item\other\coll_118a1.spr	\image\item\other\coll_118a0.spr	§å ch¬i trÎ con		§· khãa			2	1		
Loan Phông Ngäc Béi	2	0	512	1	0	1												\image\item\other\quest_013a1.spr	\image\item\other\quest_013a0.spr	Trªn ngäc béi cã kh¾c h×nh Long Phông.		§· khãa			2	1		
ThuËt Cöu Ch­¬ng	2	0	513	1	0	1												\image\item\other\coll_107a1.spr	\image\item\other\coll_107a0.spr	ghi l¹i c¸ch tİnh to¸n sè häc.		§· khãa			2	1		
Thiªn Th¹ch Chïy	2	0	514	1	0	1												\image\item\cloth\tool_003a1.spr	\image\item\cloth\´¸×Ó.spr	Do thî rÌn L­u dïng Thiªn th¹ch chÕ t¹o thµnh.		§· khãa			2	1		
Kh¸nh §iÓn diÖm háa	2	0	515	1	0	1												\image\item\other\quest_022a1.spr	\image\item\other\quest_022a0.spr	H¹n sö dông 28/09/2006 ®Õn 08/10/2006		NhiÖm vô	\script\online\3festival\item\fireworks_item.lua		0	1		
H­íng dÉn ho¹t ®éng Trung Thu	2	0	516	1	0	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	H­íng dÉn ho¹t ®éng Trung thu		NhiÖm vô	\script\online\3festival\item\festival_book_item.lua		0	1		
Lß n­íng b¸nh Trung Thu	2	0	517	1	0	1												\image\item\cloth\tool_008a1.spr	\image\item\cloth\Â¯×Ó.spr	Lß n­íng b¸nh trung thu		NhiÖm vô	\script\online\3festival\item\mooncake_tool_item.lua		0	1		
Ng.liÖu chİnh 1	2	0	518	1	0	999												\image\item\other\item_114a1.spr	\image\item\other\item_114a0.spr	ThŞt lµ nguyªn liÖu quan träng ®Ó lµm nh©n b¸nh trung thu.		§· khãa			2	1		
Ng.liÖu chİnh 2	2	0	519	1	0	999												\image\item\other\item_099a1.spr	\image\item\other\item_099a0.spr	Møt lµ nguyªn liÖu quan träng ®Ó lµm nh©n b¸nh trung thu		NhiÖm vô			0	1		
Ng.liÖu chİnh 3	2	0	520	1	0	999												\image\item\other\item_124a1.spr	\image\item\other\item_124a0.spr	Tr¸i c©y lµ nguyªn liÖu quan träng lµm nh©n b¸nh trung thu		NhiÖm vô			0	1		
Ng.liÖu phô 1	2	0	521	1	0	999												\image\item\other\item_111a1.spr	\image\item\other\item_111a0.spr	Ng.liÖu phô ®Ó lµm b¸nh trung thu		NhiÖm vô			0	1		
Ng.liÖu phô 2	2	0	522	1	0	999												\image\item\other\item_096a1.spr	\image\item\other\item_096a0.spr	Ng.liÖu phô ®Ó lµm b¸nh trung thu		NhiÖm vô			0	1		
Ng.liÖu phô 3	2	0	523	1	0	999												\image\item\other\item_121a1.spr	\image\item\other\item_121a0.spr	Ng.liÖu phô ®Ó lµm b¸nh trung thu		NhiÖm vô			0	1		
Than nhiÖt ®é cao	2	0	524	1	0	999												\image\item\other\wood_001a1.spr	\image\item\other\wood_001a0.spr	Nhiªn liÖu dïng ®Ó t¨ng nhiÖt ®é lß, cã thÓ cung cÊp 600 ®é C		NhiÖm vô			0	1		
Cñi nhiÖt ®é thÊp	2	0	525	1	0	999												\image\item\other\coll_025a1.spr	\image\item\other\coll_025a0.spr	Nhiªn liÖu dïng ®Ó t¨ng nhiÖt ®é lß, cã thÓ cung cÊp 300 ®é C		NhiÖm vô			0	1		
B¸nh Trung thu th­êng	2	0	526	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sö dông nhËn ®­îc 10.000 ®iÓm kinh nghiÖm		NhiÖm vô	\script\online\3festival\item\ptyb_item.lua		0	1		
B¸nh Trung Thu Mü VŞ	2	0	527	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 200.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\mwyb_item.lua		2	1		
B¸nh Trung Thu Jambon	2	0	528	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 500.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\htyb_item.lua		2	1		
B¸nh Trung Thu thŞt mÆn	2	0	529	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông néi trong 2 giê nh©n ®«i ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\xryb_item.lua		2	1		
B¸nh Trung Thu Kim Hoa	2	0	530	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 400.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\jhyb_item.lua		2	1		
B¸nh Trung Thu Xoµi	2	0	531	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông néi trong 30 gi©y tèc ®é ®¸nh t¨ng 30%		NhiÖm vô	\script\online\3festival\item\mgyb_item.lua		0	1		
B¸nh Trung Thu SÇu Riªng	2	0	532	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông néi trong 30 gi©y tèc ®é di chuyÓn t¨ng 30%		NhiÖm vô	\script\online\3festival\item\llyb_item.lua		0	1		
B¸nh Trung Thu ¤ Mai	2	0	533	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông néi trong 15 gi©y t¨ng s¸t xuÊt gi¶m th­¬ng 50%		NhiÖm vô	\script\online\3festival\item\cmyb_item.lua		0	1		
B¹ch Ngäc Song Hoµng NguyÖt	2	0	534	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 1.000.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\byyb_item.lua		2	1		
B¸ch Hoa ThËp CÈm NguyÖt	2	0	535	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông néi trong 10 phót tÊt c¶ n¨ng lùc t¨ng 50%		NhiÖm vô	\script\online\3festival\item\bhyb_item.lua		0	1		
ThÊt Tinh B¹n Qu©n NguyÖt	2	0	536	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 1.500.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\qxyb_item.lua		2	1		
H»ng Nga Thñy Tinh NguyÖt	2	0	537	1	0	10												\image\item\other\holi_023a1.spr	\image\item\other\holi_023a0.spr	Sö dông nhËn ®­îc 3.000.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\ceyb_item.lua		2	1		
B¸nh trung thu bŞ háng	2	0	538	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sö dông nhËn ®­îc 100.000 ®iÓm kinh nghiÖm		§· khãa	\script\online\3festival\item\hhdyb_item.lua		2	1		
B¸nh trung thu khĞt	2	0	539	1	0	10												\image\item\other\coll_035a1.spr	\image\item\other\coll_035a0.spr	Sö dông ch¼ng cã t¸c dông g×.		NhiÖm vô	\script\online\3festival\item\sjdyb_item.lua		0	1		
Sinh ThÇn Cang	2	0	545	1	0	10												\image\item\other\secr_028a1.spr	\image\item\other\secr_028a0.spr	Dïng ®Ó chiªu dô Bé Phi Yªn vµ thñ h¹ hiÖn th©n		§· khãa	\script\item\conftaskbosscreate.lua		2	1		
Hoµng Cóc	2	0	546	1	0	99												\image\item\other\secr_010a1.spr	\image\item\other\secr_010a0.spr	Mét ®ãa hoa cóc vµng, nÕu thu thËp ®­îc 9 ®ãa cã thÓ ñ thµnh r­îu hoa cóc (sö dông tr­íc 12 th¸ng 11).		§· khãa	\script\online\zgc_goods_use.lua		2	1		
