Tªn UÈn Linh	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	Kh¶m n¹m tiªu hao (Vµng)	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)
C-Ng­ng ThÇn Lv1	0	149	10	0	8000	0	1											\image\item\wenshi\emb_cloth4a1.spr	\image\item\wenshi\emb_cloth4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-V« Gian-Lv1	0	149	11	0	8000	0	1											\image\item\wenshi\emb_cloth10a1.spr	\image\item\wenshi\emb_cloth10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-V« Cùc-Lv1	0	149	12	0	8000	0	1											\image\item\wenshi\emb_cloth13a1.spr	\image\item\wenshi\emb_cloth13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Cuång NhËn-Lv1	0	149	13	0	8000	0	1											\image\item\wenshi\emb_cloth1a1.spr	\image\item\wenshi\emb_cloth1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-L¨ng NhuÖ-Lv1	0	149	14	0	8000	0	1											\image\item\wenshi\emb_cloth1a1.spr	\image\item\wenshi\emb_cloth1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-Linh Viªn-Lv1	0	149	15	0	8000	0	1											\image\item\wenshi\emb_cloth10a1.spr	\image\item\wenshi\emb_cloth10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-H¶i VËn-Lv1	0	149	16	0	8000	0	1											\image\item\wenshi\emb_cloth4a1.spr	\image\item\wenshi\emb_cloth4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-H¶i T©m-Lv1	0	149	17	0	8000	0	1											\image\item\wenshi\emb_cloth4a1.spr	\image\item\wenshi\emb_cloth4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
C-LiÖt Nham-Lv2	0	149	18	0	10000	0	9											\image\item\wenshi\emb_cloth2a1.spr	\image\item\wenshi\emb_cloth2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Ph¸ Kh«ng-Lv2	0	149	19	0	10000	0	9											\image\item\wenshi\emb_cloth5a1.spr	\image\item\wenshi\emb_cloth5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Tóy KiÕm-Lv2	0	149	20	0	10000	0	9											\image\item\wenshi\emb_cloth8a1.spr	\image\item\wenshi\emb_cloth8a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-TËt Phong-Lv2	0	149	21	0	10000	0	9											\image\item\wenshi\emb_cloth11a1.spr	\image\item\wenshi\emb_cloth11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-TÊn Vò-Lv2	0	149	22	0	10000	0	9											\image\item\wenshi\emb_cloth14a1.spr	\image\item\wenshi\emb_cloth14a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Né Ng©m-Lv2	0	149	23	0	10000	0	9											\image\item\wenshi\emb_ring2a1.spr	\image\item\wenshi\emb_ring2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Xuyªn V©n-Lv2	0	149	24	0	10000	0	9											\image\item\wenshi\emb_ring5a1.spr	\image\item\wenshi\emb_ring5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-L¹c NhËt-Lv2	0	149	25	0	10000	0	9											\image\item\wenshi\emb_ring8a1.spr	\image\item\wenshi\emb_ring8a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-ThÇn Lùc-Lv2	0	149	26	0	10000	0	9											\image\item\wenshi\emb_cloth2a1.spr	\image\item\wenshi\emb_cloth2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Ng­ng ThÇn-Lv2	0	149	27	0	10000	0	9											\image\item\wenshi\emb_cloth5a1.spr	\image\item\wenshi\emb_cloth5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-V« Gian-Lv2	0	149	28	0	10000	0	9											\image\item\wenshi\emb_cloth11a1.spr	\image\item\wenshi\emb_cloth11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-V« Cùc-Lv2	0	149	29	0	10000	0	9											\image\item\wenshi\emb_cloth14a1.spr	\image\item\wenshi\emb_cloth14a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Cuång NhËn-Lv2	0	149	30	0	10000	0	9											\image\item\wenshi\emb_cloth2a1.spr	\image\item\wenshi\emb_cloth2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-L¨ng NhuÖ-Lv2	0	149	31	0	10000	0	9											\image\item\wenshi\emb_cloth2a1.spr	\image\item\wenshi\emb_cloth2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-Linh Viªn-Lv2	0	149	32	0	10000	0	9											\image\item\wenshi\emb_cloth11a1.spr	\image\item\wenshi\emb_cloth11a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-H¶i VËn-Lv2	0	149	33	0	10000	0	9											\image\item\wenshi\emb_cloth5a1.spr	\image\item\wenshi\emb_cloth5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-H¶i T©m-LV2	0	149	34	0	10000	0	9											\image\item\wenshi\emb_cloth5a1.spr	\image\item\wenshi\emb_cloth5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
C-LiÖt Nham-Lv3	0	149	35	0	12000	0	99											\image\item\wenshi\emb_cloth3a1.spr	\image\item\wenshi\emb_cloth3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Ph¸ Kh«ng-Lv3	0	149	36	0	12000	0	99											\image\item\wenshi\emb_cloth6a1.spr	\image\item\wenshi\emb_cloth6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Tóy KiÕm-Lv3	0	149	37	0	12000	0	99											\image\item\wenshi\emb_cloth9a1.spr	\image\item\wenshi\emb_cloth9a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-TËt Phong-Lv3	0	149	38	0	12000	0	99											\image\item\wenshi\emb_cloth12a1.spr	\image\item\wenshi\emb_cloth12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-TÊn Vò-Lv3	0	149	39	0	12000	0	99											\image\item\wenshi\emb_cloth15a1.spr	\image\item\wenshi\emb_cloth15a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Né Ng©m-Lv3	0	149	40	0	12000	0	99											\image\item\wenshi\emb_ring3a1.spr	\image\item\wenshi\emb_ring3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Xuyªn V©n-Lv3	0	149	41	0	12000	0	99											\image\item\wenshi\emb_ring6a1.spr	\image\item\wenshi\emb_ring6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-L¹c NhËt-Lv3	0	149	42	0	12000	0	99											\image\item\wenshi\emb_ring9a1.spr	\image\item\wenshi\emb_ring9a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-ThÇn Lùc-Lv3	0	149	43	0	12000	0	99											\image\item\wenshi\emb_cloth3a1.spr	\image\item\wenshi\emb_cloth3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Ng­ng ThÇn-Lv3	0	149	44	0	12000	0	99											\image\item\wenshi\emb_cloth6a1.spr	\image\item\wenshi\emb_cloth6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-V« Gian-Lv3	0	149	45	0	12000	0	99											\image\item\wenshi\emb_cloth12a1.spr	\image\item\wenshi\emb_cloth12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-V« Cùc-Lv3	0	149	46	0	12000	0	99											\image\item\wenshi\emb_cloth15a1.spr	\image\item\wenshi\emb_cloth15a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Cuång NhËn-Lv3	0	149	47	0	12000	0	99											\image\item\wenshi\emb_cloth3a1.spr	\image\item\wenshi\emb_cloth3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-L¨ng NhuÖ-Lv3	0	149	48	0	12000	0	99											\image\item\wenshi\emb_cloth3a1.spr	\image\item\wenshi\emb_cloth3a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-Linh Viªn-Lv3	0	149	49	0	12000	0	99											\image\item\wenshi\emb_cloth12a1.spr	\image\item\wenshi\emb_cloth12a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-H¶i VËn-Lv3	0	149	50	0	12000	0	99											\image\item\wenshi\emb_cloth6a1.spr	\image\item\wenshi\emb_cloth6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-H¶i T©m-Lv3	0	149	51	0	12000	0	99											\image\item\wenshi\emb_cloth6a1.spr	\image\item\wenshi\emb_cloth6a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	3	2	1		1
C-UÈn Linh ®· chØnh söa xong	0	149	52	0	0	0	1											\image\item\wenshi\emb_cloth1a1.spr	\image\item\wenshi\emb_cloth1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang ¸o, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1

T-LiÖt Nham-Lv1	0	150	1	0	8000	0	1											\image\item\wenshi\emb_shoe1a1.spr	\image\item\wenshi\emb_shoe1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Ph¸ Kh«ng-Lv1	0	150	2	0	8000	0	1											\image\item\wenshi\emb_shoe4a1.spr	\image\item\wenshi\emb_shoe4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Tóy KiÕm-Lv1	0	150	3	0	8000	0	1											\image\item\wenshi\emb_shoe7a1.spr	\image\item\wenshi\emb_shoe7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-TËt Phong-Lv1	0	150	4	0	8000	0	1											\image\item\wenshi\emb_shoe10a1.spr	\image\item\wenshi\emb_shoe10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-TÊn Vò-Lv1	0	150	5	0	8000	0	1											\image\item\wenshi\emb_shoe13a1.spr	\image\item\wenshi\emb_shoe13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-V« L­îng-Lv1	0	150	6	0	8000	0	1											\image\item\wenshi\emb_ring1a1.spr	\image\item\wenshi\emb_ring1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Môc Minh-Lv1	0	150	7	0	8000	0	1											\image\item\wenshi\emb_ring4a1.spr	\image\item\wenshi\emb_ring4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Ng­ng ChiÕn-Lv1	0	150	8	0	8000	0	1											\image\item\wenshi\emb_ring7a1.spr	\image\item\wenshi\emb_ring7a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-ThÇn Lùc-Lv1	0	150	9	0	8000	0	1											\image\item\wenshi\emb_shoe1a1.spr	\image\item\wenshi\emb_shoe1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Ng­ng ThÇn-Lv1	0	150	10	0	8000	0	1											\image\item\wenshi\emb_shoe4a1.spr	\image\item\wenshi\emb_shoe4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-V« Gian-Lv1	0	150	11	0	8000	0	1											\image\item\wenshi\emb_shoe10a1.spr	\image\item\wenshi\emb_shoe10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-V« Cùc-Lv1	0	150	12	0	8000	0	1											\image\item\wenshi\emb_shoe13a1.spr	\image\item\wenshi\emb_shoe13a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Cuång NhËn-Lv1	0	150	13	0	8000	0	1											\image\item\wenshi\emb_shoe1a1.spr	\image\item\wenshi\emb_shoe1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-L¨ng NhuÖ-Lv1	0	150	14	0	8000	0	1											\image\item\wenshi\emb_shoe1a1.spr	\image\item\wenshi\emb_shoe1a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-Linh Viªn-Lv1	0	150	15	0	8000	0	1											\image\item\wenshi\emb_shoe10a1.spr	\image\item\wenshi\emb_shoe10a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-H¶i VËn-Lv1	0	150	16	0	8000	0	1											\image\item\wenshi\emb_shoe4a1.spr	\image\item\wenshi\emb_shoe4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-H¶i T©m-Lv1	0	150	17	0	8000	0	1											\image\item\wenshi\emb_shoe4a1.spr	\image\item\wenshi\emb_shoe4a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	1	2	1		1
T-LiÖt Nham-Lv2	0	150	18	0	10000	0	9											\image\item\wenshi\emb_shoe2a1.spr	\image\item\wenshi\emb_shoe2a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
T-Ph¸ Kh«ng-Lv2	0	150	19	0	10000	0	9											\image\item\wenshi\emb_shoe5a1.spr	\image\item\wenshi\emb_shoe5a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
T-Tóy KiÕm-Lv2	0	150	20	0	10000	0	9											\image\item\wenshi\emb_shoe8a1.spr	\image\item\wenshi\emb_shoe8a0.spr	ThÕ nµo lµ uÈn linh thuéc tİnh ngo¹i trang h¹ trang, cã thÓ uÈn linh trùc tiÕp hoÆc mang thuéc tİnh uÈn linh nµy l­u tr÷ trong Tñ ¸o		UÈn Linh	\script\item\cixiuwenshi.lua	2	2	1		1
