Tên	Loại hình chính	Loại hình phụ	Phân loại chi tiết	Nặng	Giá	Sếp chồng nhiều nhất	Hồi phục thuộc tính1	Trị số phục hồi thuộc tính mỗi nữa giây (1)	Hồi phục thuộc tính2	Trị số phục hồi thuộc tính mỗi nữa giây (2)	Hồi phục thuộc tính3	Trị số phục hồi thuộc tính mỗi nữa giây (3)	Hồi phục thuộc tính4	Trị số phục hồi thuộc tính mỗi nữa giây (4)	Thời gian duy trì hiệu lực (Số chẵn)	Lưu ( Chữ số)	Lưu ( Chữ số)	Hiện hình nhỏ trên giao diện	Hiện hình lớn trên giao diện	Thuyết minh	Lưu (chuỗi ký tự)	Khi vứt ra ngoài sẽ hiển thị tên	File gốc	Cấp	"Có thể giao dịch hay không ( 0 có thể giao dịch, có thể bán; 1 không thể giao dịch không thể bán; 2 có thể bán, không thể giao dịch; 3 không thể bán, có thể giao dịch; 4 có thể bán, sau khi mang vào sẽ bị khóa)"	Có/không thể vứt (0 được; 1 không được)	Bảo lưu 1	Bảo lưu 2	Bảo lưu 3	Tiêu chí phát triển	Biên hiệu phát triển	Biên hiệu mở khóa	Biên hiệu kinh nghiệm
Tàng Kinh Các Lệnh 1	2	1	399	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Khổ Hành Tăng. Đệ tử Thiếu Lâm chuyên sử dụng.		Thần bí	\script\online\shimenrenwu\item\kuxingseng.lua	1	2	1							
Tàng Kinh Các Lệnh 2	2	1	400	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thiền Tu Tăng. Đệ tử Thiếu Lâm chuyên sử dụng.		Thần bí	\script\online\shimenrenwu\item\chanxiuseng.lua	1	2	1							
Thiên Cơ Lệnh 1	2	1	401	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Trang Khách. Đệ tử Đường Môn chuyên sử dụng.		Thần bí	\script\online\shimenrenwu\item\zhuangke.lua	1	2	1							
Thiên Cơ Lệnh 2	2	1	402	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Hộ Vệ. Chỉ dùng cho đệ tử Đường Môn.		Thần bí	\script\online\shimenrenwu\item\huwei.lua	1	2	1							
Bạch Liên Hoa Lệnh 1	2	1	403	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thanh Tâm Sứ. Dùng cho đệ tử Nga My Phật Gia  .		Thần bí	\script\online\shimenrenwu\item\qingxinshi.lua	1	2	1							
Bạch Liên Hoa Lệnh 2	2	1	404	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Vũ Y Sứ. Dùng cho đệ tử Nga My Phật Gia  .		Thần bí	\script\online\shimenrenwu\item\yuyishi.lua	1	2	1							
Ngọc Vận Lệnh 1	2	1	405	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Tư Khúc Sứ. Dùng cho đệ tử Nga My Tục Gia  .		Thần bí	\script\online\shimenrenwu\item\siqushi.lua	1	2	1							
Ngọc Vận Lệnh 2	2	1	406	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Phạn Âm Sứ. Dùng cho đệ tử Nga My Tục Gia  .		Thần bí	\script\online\shimenrenwu\item\fanyinshi.lua	1	2	1							
Chấp Pháp trưởng lão lệnh 1	2	1	407	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Chấp Bát đệ tử. Dùng cho đệ tử Cái Bang Tĩnh y  .		Thần bí	\script\online\shimenrenwu\item\zhibodizi.lua	1	2	1							
Chấp Pháp trưởng lão lệnh 2	2	1	408	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Trừ Gian đệ tử. Dùng cho đệ tử Cái Bang Tĩnh y  .		Thần bí	\script\online\shimenrenwu\item\chujiandizi.lua	1	2	1							
Chưởng Bổng trưởng lão lệnh 1	2	1	409	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Chấp Bổng đệ tử. Dùng cho đệ tử Cái Bang Ô Y  .		Thần bí	\script\online\shimenrenwu\item\zhibangdizi.lua	1	2	1							
Chưởng Bổng trưởng lão lệnh 2	2	1	410	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Trừng ác đệ tử. Dùng cho đệ tử Cái Bang Ô Y  .		Thần bí	\script\online\shimenrenwu\item\chengedizi.lua	1	2	1							
Chưởng Kinh Lệnh 1	2	1	411	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thanh Tu đạo nhân. Dùng cho đệ tử Võ Đang đạo gia.		Thần bí	\script\online\shimenrenwu\item\qingxiudaoren.lua	1	2	1							
Chưởng Kinh Lệnh 2	2	1	412	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Nhập Quan đạo nhân. Dùng cho đệ tử Võ Đang đạo gia.		Thần bí	\script\online\shimenrenwu\item\ruguandaoren.lua	1	2	1							
Thái ất Lệnh 1	2	1	413	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thanh Phong đạo nhân. Dùng cho đệ tử Võ Đang tục gia.		Thần bí	\script\online\shimenrenwu\item\qingfengdaoren.lua	1	2	1							
Thái ất Lệnh 2	2	1	414	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Sơn Dương đạo nhân. Dùng cho đệ tử Võ Đang tục gia.		Thần bí	\script\online\shimenrenwu\item\shanyangdaoren.lua	1	2	1							
Long Tương tướng lệnh 1	2	1	415	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Khinh Kỵ Binh. Dùng cho đệ tử Dương Môn thương kỵ  .		Thần bí	\script\online\shimenrenwu\item\qingqibing.lua	1	2	1							
Long Tương tướng lệnh 2	2	1	416	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Hiệu úy. Dùng cho đệ tử Dương Môn thương kỵ  .		Thần bí	\script\online\shimenrenwu\item\xiaowei.lua	1	2	1							
Hổ Dực tướng lệnh 1	2	1	417	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Xuyên Dương Thủ. Dùng cho đệ tử Dương Môn cung kỵ  .		Thần bí	\script\online\shimenrenwu\item\chuanyangshou.lua	1	2	1							
Hổ Dực tướng lệnh 2	2	1	418	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Đô úy. Dùng cho đệ tử Dương Môn cung kỵ  .		Thần bí	\script\online\shimenrenwu\item\duwei.lua	1	2	1							
Diêm La Lệnh 1	2	1	419	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Đoạt Phách Tản Nhân. Dùng cho đệ tử Hiệp Độc		Thần bí	\script\online\shimenrenwu\item\duoposanren.lua	1	2	1							
Diêm La Lệnh 2	2	1	420	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thôi Mệnh Tản Nhân. Dùng cho đệ tử Hiệp Độc		Thần bí	\script\online\shimenrenwu\item\cuimingsanren.lua	1	2	1							
Cổ Tôn Lệnh 1	2	1	421	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Độc Tàm Tản Nhân. Dùng cho đệ tử Ngũ Độc Cổ Sư		Thần bí	\script\online\shimenrenwu\item\ducansanren.lua	1	2	1							
Cổ Tôn Lệnh 2	2	1	422	1	1	1												\image\item\other\quest_026a1.spr	\image\item\other\quest_026a0.spr	Phần thưởng khi được phong Thực Tâm Tản Nhân. Dùng cho đệ tử Ngũ Độc Cổ Sư		Thần bí	\script\online\shimenrenwu\item\shixinsanren.lua	1	2	1							
Sư Môn Thí Luyện Quả nhỏ	2	1	423	1	1	1												\image\item\other\secr_002a1.spr	\image\item\other\secr_002a0.spr	"Đến chưởng môn nhận quả tiên dùng nâng cao phần nào công lực bản thân, mỗi ngày chỉ được ăn 1 quả."		Đã khóa	\script\online\shimenrenwu\item\xiaoshilianguo.lua	1	2	1							
Sư Môn Thí Luyện Quả	2	1	424	1	1	1												\image\item\other\secr_002a1.spr	\image\item\other\secr_002a0.spr	"Tiên quả, mỗi ngày sử dụng 1 quả sẽ nâng cao công lực."		Đã khóa	\script\online\shimenrenwu\item\shimenshilianguo.lua	1	2	1							
Hành Giả phục phổ	2	1	425	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Hành Giả.		Thần bí	\script\item\lifeskill\xingzhe.lua	1	0	1							
Hỗn Nguyên phục phổ	2	1	426	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Hỗn Nguyên.		Thần bí	\script\item\lifeskill\hunyuan.lua	1	0	1							
Chiến ý khải giáp phổ	2	1	427	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Kim Cang Phục Ma.		Thần bí	\script\item\lifeskill\fumojingang.lua	1	0	1							
Khổ Hành bào phổ	2	1	428	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Khổ Hành .		Thần bí	\script\item\lifeskill\kuxing.lua	1	0	1							
Thiền Tu bào phổ	2	1	429	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Thiền Tu.		Thần bí	\script\item\lifeskill\chanxiu.lua	1	0	1							
Thiền Tịnh bào phổ	2	1	430	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Truyền Kinh Pháp Sư.		Thần bí	\script\item\lifeskill\chuanjingfashi.lua	1	0	1							
Sa Di Phục phổ	2	1	431	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Sa Di.		Thần bí	\script\item\lifeskill\shami.lua	1	0	1							
Đấu Tăng phục phổ	2	1	432	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Đấu Tăng.		Thần bí	\script\item\lifeskill\douseng.lua	1	0	1							
Đẩu Khí Chiến y phổ	2	1	433	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Thiếu Lâm Hộ Pháp La Hán.		Thần bí	\script\item\lifeskill\hufaluohan.lua	1	0	1							
Trang Khách phục phổ	2	1	434	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Đường Môn Trang Khách.		Thần bí	\script\item\lifeskill\zhuangke.lua	1	0	1							
Hộ Vệ phục phổ	2	1	435	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Đường Môn Hộ Vệ.		Thần bí	\script\item\lifeskill\huwei.lua	1	0	1							
Bí Độc y phổ	2	1	436	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Đường Môn Bí Độc Thích Khách		Thần bí	\script\item\lifeskill\miducike.lua	1	0	1							
Thanh Tâm tố y phổ	2	1	437	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Thanh Tâm.		Thần bí	\script\item\lifeskill\qingxin.lua	1	0	1							
Thái Vũ tố y phổ	2	1	438	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Thái Vũ.		Thần bí	\script\item\lifeskill\caiyu.lua	1	0	1							
Pháp Vân y phổ	2	1	439	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Tử Trúc Sứ.		Thần bí	\script\item\lifeskill\zizhushi.lua	1	0	1							
Tư Khúc tố y phổ	2	1	440	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Tư Khúc.		Thần bí	\script\item\lifeskill\siqu.lua	1	0	1							
Phạn Âm tố y phổ	2	1	441	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Phạn Âm.		Thần bí	\script\item\lifeskill\fanyin.lua	1	0	1							
Pháp Âm y phổ	2	1	442	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Nga My Hải Nguyệt Sứ.		Thần bí	\script\item\lifeskill\haiyushi.lua	1	0	1							
Chấp Bát Thường phổ	2	1	443	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái Bang Chấp Bát.		Thần bí	\script\item\lifeskill\chibo.lua	1	0	1							
Trừ Gian Thường phổ	2	1	444	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái Bang Trừ Gian.		Thần bí	\script\item\lifeskill\chujian.lua	1	0	1							
Tứ Hải y phục phổ	2	1	445	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái Bang Tứ Hải Hiệp.		Thần bí	\script\item\lifeskill\sihaixia.lua	1	0	1							
Khiếu Hoa y phổ	2	1	446	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái bang Khiếu Hoa.		Thần bí	\script\item\lifeskill\jiaohua.lua	1	0	1							
Trừng ác Thường phổ	2	1	447	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái Bang Trừng ác.		Thần bí	\script\item\lifeskill\chenge.lua	1	0	1							
Tụ Nghĩa y phổ	2	1	448	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Cái Bang Bát Đại Đệ Tử.		Thần bí	\script\item\lifeskill\badaidizi.lua	1	0	1							
Thanh Tu bào phổ	2	1	449	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Thanh Tu.		Thần bí	\script\item\lifeskill\qingxiu.lua	1	0	1							
Nhập Quan pháp bào phổ	2	1	450	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Nhập Quan.		Thần bí	\script\item\lifeskill\ruguan.lua	1	0	1							
Tứ Tượng pháp bào phổ	2	1	451	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Vô Ngã đạo nhân.		Thần bí	\script\item\lifeskill\wuwodaoren.lua	1	0	1							
Thanh Phong bào phổ	2	1	452	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Thanh Phong.		Thần bí	\script\item\lifeskill\qingfeng.lua	1	0	1							
Thiểu Dương Thường phổ	2	1	453	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Thiểu Dương.		Thần bí	\script\item\lifeskill\shaoyang.lua	1	0	1							
Linh Phong phục phổ	2	1	454	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Võ Đang Nhàn Vân Hiệp.		Thần bí	\script\item\lifeskill\xianyunxiadao.lua	1	0	1							
Khinh Kỵ giáp phổ	2	1	455	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Khinh Kỵ.		Thần bí	\script\item\lifeskill\qingqi.lua	1	0	1							
Hiệu úy thiết giáp phổ	2	1	456	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Hiệu úy.		Thần bí	\script\item\lifeskill\xiaowei.lua	1	0	1							
Tinh Khải giáp phổ	2	1	457	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Phấn Võ tướng quân.		Thần bí	\script\item\lifeskill\fenwujiangjun.lua	1	0	1							
Nõ thủ giáp phổ	2	1	458	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Nõ Thủ.		Thần bí	\script\item\lifeskill\nushou.lua	1	0	1							
Đô úy thiết giáp phổ	2	1	459	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Đô úy.		Thần bí	\script\item\lifeskill\duwei.lua	1	0	1							
Phấn Uy Tướng Quân khải giáp phổ	2	1	460	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Dương Môn Phấn Uy tướng quân.		Thần bí	\script\item\lifeskill\fenweijiangjun.lua	1	0	1							
Đoạt Phách y phổ	2	1	461	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Đoạt Phách.		Thần bí	\script\item\lifeskill\duopo.lua	1	0	1							
Thôi Mệnh y phổ	2	1	462	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Thôi Mệnh.		Thần bí	\script\item\lifeskill\cuiming.lua	1	0	1							
Hắc Vô Thường Mãnh Độc y phổ	2	1	463	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Hắc Vô Thường.		Thần bí	\script\item\lifeskill\heiwuchang.lua	1	0	1							
Độc Tàm Y phổ	2	1	464	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Độc Tàm.		Thần bí	\script\item\lifeskill\duchan.lua	1	0	1							
Thực Tâm Y phổ	2	1	465	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Thực Tâm.		Thần bí	\script\item\lifeskill\shixin.lua	1	0	1							
Bạch Vô Thường Ngụy Độc Y phổ	2	1	466	1	1	1												\image\item\other\coll_067a1.spr	\image\item\other\coll_067a0.spr	Cách chế tạo y phục Ngũ Độc Bạch Vô Thường.		Thần bí	\script\item\lifeskill\baiwuchang.lua	1	0	1							
Tơ Tinh Chế	2	2	467	1	1	999												\image\item\other\orsilk_011a1.spr	\image\item\other\orsilk_011a0.spr	Loại tơ dùng để dệt các loại y phục thượng hạng hoặc cống phẩm của triều đình.		Sinh hoạt		8	0	0							
Hắc Kim tinh luyện	2	2	468	1	1	999												\image\item\other\smeta_001a1.spr	\image\item\other\smeta_001a0.spr	Kim loại thần kỳ do người Tây Vực mang đến Trung Nguyên từ thời Hán Vũ Đế dùng đúc tạo vũ khí đặc biệt.		Sinh hoạt		8	0	0							
Vòng Thái Hư Bát Quái - Càn	2	1	469	1	1	99												\image\item\other\quest_007a1.spr	\image\item\other\quest_007a0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Càn."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Khôn	2	1	470	1	1	99												\image\item\other\ẮÔa1.spr	\image\item\other\ẮÔa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Khôn."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Khảm	2	1	471	1	1	99												\image\item\other\Ẵ̃a1.spr	\image\item\other\Ẵ̃a0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Khảm."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Đoài	2	1	472	1	1	99												\image\item\other\ảềa1.spr	\image\item\other\ảềa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Đoài."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Ly	2	1	473	1	1	99												\image\item\other\Ắởa1.spr	\image\item\other\Ắởa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Ly."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Chấn	2	1	474	1	1	10												\image\item\other\ếỖa1.spr	\image\item\other\ếỖa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Chấn."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Cấn	2	1	475	1	1	99												\image\item\other\ụịa1.spr	\image\item\other\ụịa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Cấn."		Thần bí		1	0	1							
Vòng Thái Hư Bát Quái - Tốn	2	1	476	1	1	10												\image\item\other\Ễóa1.spr	\image\item\other\Ễóa0.spr	"Pháp bảo của Cửu Thiên Huyền Nữ dùng trừ yêu diệt ma, chính giữa có chữ Tốn."		Thần bí		1	0	1							
Túi dược phẩm (nhỏ)	2	1	477	1	1	1												\image\item\other\ềâặã̀ỹáÔ(éĂ)a1.spr	\image\item\other\ềâặã̀ỹáÔ(éĂ)a0.spr	Túi nhỏ để đựng một ít dược phẩm.<enter><color=Gold>(Mỗi loại dược phẩm chỉ đựng được 100 bình)		Thần bí	\script\item\item_billing\yaopinbaofu_xiao.lua		0	0							
Túi dược phẩm (lớn)	2	1	478	1	1	1												\image\item\other\ềâặã̀ỹáÔ(̣ú)a1.spr	\image\item\other\ềâặã̀ỹáÔ(̣ú)a0.spr	Túi lớn có thể đựng nhiều dược phẩm.<enter><color=Gold>(Mỗi loại dược phẩm chỉ đựng được 250 bình)		Thần bí	\script\item\item_billing\yaopinbaofu_da.lua		0	0							
Ngọc Linh Tán (tiểu)	2	1	479	100	1	1												\image\item\other\éẰỹểủẦộẫÂa1.spr	\image\item\other\éẰỹểủẦộẫÂa0.spr	Bên trong chứa 100 bình Ngọc Linh Tán 		Dược phẩm	\script\item\item_billing\xiaobaoyulingsan.lua		0	0							
Ngọc Linh Tán (đại)	2	1	480	200	1	1												\image\item\other\̣ú̀ỹểủẦộẫÂa1.spr	\image\item\other\̣ú̀ỹểủẦộẫÂa0.spr	Bên trong chứa 250 bình Ngọc Linh Tán 		Dược phẩm	\script\item\item_billing\dabaoyulingsan.lua		0	0							
Ngũ Hoa Ngọc Lộ Hoàn (tiểu)	2	1	481	100	1	1												\image\item\other\éẰỹẻồằăểủẨảỂốa1.spr	\image\item\other\éẰỹẻồằăểủẨảỂốa0.spr	Ngũ Hoa Ngọc Lộ Hoàn_túi nhỏ.<enter><color=Gold>(chứa 100 bình Ngũ Hoa Ngọc Lộ Hoàn)		Dược phẩm	\script\item\item_billing\xiaobaowuhuayuluwan.lua		0	0							
Ngũ Hoa Ngọc Lộ Hoàn (đại)	2	1	482	200	1	1												\image\item\other\̣ú̀ỹẻồằăểủẨảỂốa1.spr	\image\item\other\̣ú̀ỹẻồằăểủẨảỂốa0.spr	Bên trong chứa 250 bình Ngũ Hoa Ngọc Lộ Hoàn 		Dược phẩm	\script\item\item_billing\dabaowuhuayuluwan.lua		0	0							
Sinh Sinh Hóa Tán (tiểu)	2	1	483	100	1	1												\image\item\other\éẰỹẫỳẫỳễỡằẰẫÂa1.spr	\image\item\other\éẰỹẫỳẫỳễỡằẰẫÂa0.spr	Sinh Sinh Hóa Tán_túi nhỏ.<enter><color=Gold>(chứa 100 bình Sinh Sinh Hóa Tán)		Dược phẩm	\script\item\item_billing\xiaobaoshengshengzaohuasan.lua		0	0							
Sinh Sinh Hóa Tán (đại)	2	1	484	200	1	1												\image\item\other\̣ú̀ỹẫỳẫỳễỡằẰẫÂa1.spr	\image\item\other\̣ú̀ỹẫỳẫỳễỡằẰẫÂa0.spr	Bên trong chứa 250 bình Sinh Sinh Hóa Tán 		Dược phẩm	\script\item\item_billing\dabaoshengshengzaohuasan.lua		0	0							
Bạch Vân Tán (tiểu)	2	1	485	100	1	1												\image\item\other\éẰỹ̀ìễặẫÂa1.spr	\image\item\other\éẰỹ̀ìễặẫÂa0.spr	Bên trong chứa 100 bình Bạch Vân Tán 		Dược phẩm	\script\item\item_billing\xiaobaobaiyunsan.lua		0	0							
Bạch Vân Tán (đại)	2	1	486	200	1	1												\image\item\other\̣ú̀ỹ̀ìễặẫÂa1.spr	\image\item\other\̣ú̀ỹ̀ìễặẫÂa0.spr	Bên trong chứa 250 bình Bạch Vân Tán 		Dược phẩm	\script\item\item_billing\dabaobaiyunsan.lua		0	0							
Thiên Hương Cẩm Tục (tiểu)	2	1	487	100	1	1												\image\item\other\éẰỹèỡẽóễặẵừéứa1.spr	\image\item\other\éẰỹèỡẽóễặẵừéứa0.spr	Thiên Hương Cẩm Tục_túi nhỏ.<enter><color=Gold>(chứa 100 bình Thiên Hương Cẩm Tục)		Dược phẩm	\script\item\item_billing\xiaobaotianxiangyunjinxu.lua		0	0							
Thiên Hương Cẩm Tục (đại)	2	1	488	200	1	1												\image\item\other\̣ú̀ỹèỡẽóễặẵừéứa1.spr	\image\item\other\̣ú̀ỹèỡẽóễặẵừéứa0.spr	Bên trong chứa 250 bình Thiên Hương Cẩm Tục 		Dược phẩm	\script\item\item_billing\dabaotianxiangyunjinxu.lua		0	0							
Hắc Ngọc Đoạn Tục Cao (tiểu)	2	1	489	100	1	1												\image\item\other\éẰỹẲẾểủảẽéứáỔa1.spr	\image\item\other\éẰỹẲẾểủảẽéứáỔa0.spr	Hắc Ngọc Đoạn Tục Cao_túi nhỏ.<enter><color=Gold>(chứa 100 bình Hắc Ngọc Đoạn Tục Cao)		Dược phẩm	\script\item\item_billing\xiaobaoheiyuduanxugao.lua		0	0							
Hắc Ngọc Đoạn Tục Cao (đại)	2	1	490	200	1	1												\image\item\other\̣ú̀ỹẲẾểủảẽéứáỔa1.spr	\image\item\other\̣ú̀ỹẲẾểủảẽéứáỔa0.spr	Bên trong chứa 250 bình Hắc Ngọc Đoạn Tục Cao 		Dược phẩm	\script\item\item_billing\dabaoheiyuduanxugao.lua		0	0							
Đại Hoàn Đơn (tiểu)	2	1	491	100	1	1												\image\item\other\éẰỵ̃úằạàÔa1.spr	\image\item\other\éẰỵ̃úằạàÔa0.spr	Bên trong chứa 100 bình Đại Hoàn Đơn 		Dược phẩm	\script\item\item_billing\xiaobaodahuandan.lua		0	0							
Đại Hoàn Đơn (đại)	2	1	492	200	1	1												\image\item\other\̣ú̀ỵ̃úằạàÔa1.spr	\image\item\other\̣ú̀ỵ̃úằạàÔa0.spr	Bên trong chứa 250 bình Đại Hoàn Đơn 		Dược phẩm	\script\item\item_billing\dabaodahuandan.lua		0	0							
