Task_ID	dialog_diff	dialog_1	dialog_2	dialog_3	dialog_4	dialog_5	dialog_6	dialog_7	dialog_8	dialog_9	dialog_10	dialog_11	dialog_12	dialog_13	dialog_14	dialog_15	dialog_16	dialog_17	dialog_18	dialog_19	dialog_20	Description	Task_Tip	Unfinish_Talk
16	get_talk	PlayerName: t¹i h¹ h©n h¹nh ®­îc tham dù kú ®¹i héi vâ l©m lÇn nµy lµ mét niÒm vinh h¹nh, xin ®­îc mäi ng­êi chØ gi¸o. 	§Ö tö Vâ §ang: hoan nghªn <sex> ®Õn tham dù ®¹i héi. Hõ, l¹i lµ bän NhËt NguyÖt ThÇn Gi¸o gieo r¾c tai häa,bän chóng qu¶ thËt qu¸ ®¸ng.	§Ö tö Nga Mi: ®óng thÕ, chóng ta ng­êi ®«ng thÕ m¹nh chi b»ng ®¸nh th¼ng lªn H¾c Méc Nhai, lÊy ®Çu §«ng Ph­¬ng BÊt B¹i ®i.	§Ö tö Ngò §éc: vâ c«ng Quú Hoa B¶o §iÓn tuy lîi h¹i, nh­ng ®éc d­îc cña Ngò §éc Gi¸o ta kh«ng lîi h¹i sao, chóng ta cã thÓ dïng kŞch ®éc ®Çu ®éc chóng.	§Ö tö §­êng M«n: c¸c ng­¬i suy nghÜ thËt ®¬n gi¶n, nÕu dÔ dµng h¹ ®­îc §«ng Ph­¬ng BÊt B¹i nh­ thÕ th× chóng ta ®©u cã hi sinh biÕt bao huynh ®Ö.	§Ö tö C¸i Bang: §¸ng ghĞt, bän NhËt NguyÖt ThÇn Gi¸o sÏ cã 1 ngµy ta nhÊt ®Şnh sÏ ph¶i phay thay chóng ®Ó b¸o thï cho huynh ®Ö chóng ta… …	V« Danh T¨ng: mäi ng­êi kh«ng nªn hµnh ®éng lç m·ng, nÕu kh«ng sÏ cã nhiÒu hi sinh v« téi h¬n. Thùc ra chóng ta kh«ng hÒ biÕt ®­îc lîi thÕ vµ yÕu ®iÓm cña §«ng Ph­¬ng BÊt B¹i, n¾m ®­îc ®iÓm yÕu cña h¾n th× c¬ héi chiÕn th¾ng cña ta míi cao h¬n	§Ö tö D­¬ng M«n: Ph­¬ng tr­îng cã lı, kh«ng biÕt ph­¬ng tr­îng cã diÖu kÕ g×?	§Ö tö C¸i Bang: ®óng thÕ, hi väng Ph­¬ng Tr­îng cã thÓ chØ dÉn thªm cho mäi ng­êi……	V« Danh T¨ng: Ta nghe ®ån §«ng Ph­¬ng BÊt B¹i cã mét th©n tİn tªn gäi lµ D­¬ng Liªn §Ønh, mäi viÖc to nhá trong NhËt NguyÖt ThÇn Gi¸o ®Òu do h¾n qu¶n lı, nÕu chóng ta b¾t ®­îc h¾n nhÊt ®Şnh sÏ khai th¸c ®­îc nhiÒu th«ng tin vÒ §«ng Ph­¬ng BÊt B¹i, khi ®ã ta sÏ t×m c¸ch kh¾c phôc h¾n, mäi ng­êi thÊy thÕ nµo?	§Ö tö Ngò §éc: ph­¬ng tr­îng anh m×nh, qu¶ lµ ı hay.	§Ö tö Nga Mi: T×m ra nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i ®Ó tiªu diÖt h¾n, ı kiÕn rÊt hay…	V« Danh T¨ng: ®óng thÕ, mäi ng­êi cïng ®oµn kÕt mét lßng nhÊt ®Şnh cã thÓ tiªu diÖt §«ng Ph­¬ng BÊt B¹i. kh«ng biÕt <sex> cã cao kiÕn g× kh«ng?	PlayerName# t¹i h¹ chØ mong ®­îc ph¸ NhËt NguyÖt ThÇn Gi¸o, tiªu diÖt §«ng Ph­¬ng BÊt B¹i. h«m nay nghe ®­îc cao kiÕn cña ph­¬ng tr­îng. T¹i h¹ cã thÓ hiÕn tµi män, tù tay b¾t D­¬ng Liªn §Ønh, kh«ng biÕt mäi ng­êi cã ®ång ı kh«ng?	V« Danh T¨ng#®óng thÕ, l·o n¹p c¶m thÊy ®«ng ng­êi ®i b¾t D­¬ng Liªn §Ønh sÏ kinh ®éng ®Õn NhËt NguyÖt ThÇn Gi¸o. <sex> vâ c«ng cao c­êng, tİnh t×nh tr­îng nghÜa, rÊt thİch hîp ®Ó ®¶m träng tr¸ch nµy	§Ö tö Vâ §ang: ®­îc, thÕ th× nhê <sex> ®i b¾t D­¬ng Liªn §Ønh.	§Ö tö Nga Mi: <sex> vâ c«ng cao c­êng, t¹i h¹ kh©m phôc, vËy viÖc truy b¾t D­¬ng Liªn §Ønh ®Òu nhê cËy vµo <sex>.	V« Danh T¨ng: <sex> h·y nghe râ ®©y, bªn trong NhËt NguyÖt ThÇn Gi¸o cã 1 ng­êi tªn lµ Nh¹n Kha chİnh lµ néi øng cña chóng ta, anh ta n¾m râ hµnh tung cña D­¬ng Liªn §Ønh, ta sÏ göi th­ ®Õn th«ng b¸o anh ta ®Õn Linh B¶o S¬n gÆp mÆt.	PlayerName#®a t¹ ph­¬ng tr­îng chØ dÉn, c¸c vŞ ®¹i hiÖp c¸o tõ...		§Õn Linh B¶o S¬n t×m Nh¹n Kha		
16	finish_talk	PlayerName: xin hái, vŞ nµy cã ph¶i lµ Nh¹n Kha?																						
17	get_talk	NpcName#c¸c h¹ chİnh lµ vŞ <sex> mµ ph­¬ng tr­îng V« Danh T¨ng ®· nãi sao?	PlayerName#®óng thÕ, nghe ph­¬ng tr­îng nãi Nh¹n ®¹i ca chİnh lµ néi øng trong NhËt NguyÖt ThÇn Gi¸o nhiÒu n¨m nay, kh«ng biÕt Nh¹n ®¹i ca cã thÓ cho biÕt hµnh tung cña D­¬ng Liªn §Ønh kh«ng?	NpcName: ®©y lµ viÖc ph¶i lµm. D­¬ng Liªn §Ønh yªu thİch s¨n b¾t, bªn c¹nh h¾n lu«n theo phß t¸ 4 tªn gi¸o ®å vâ c«ng cao c­êng. Ngµy mai h¾n sÏ ®Õn T©y TuyÒn Ch©u Phñ s¨n thá rõng, c¸c h¹ cã thÓ nh©n c¬ héi nµy ®i b¾t h¾n.	PlayerName: ®a t¹ Nh¹n huynh, t¹i h¹ lËp tøc ®Õn T©y TuyÒn Ch©u Phñ chuÈn bŞ, Nh¹n huynh l­u l¹i t¹i H¾c Méc Nhai lu«n ph¶i cÇn thËn.	NpcName: yªn t©m, ta Èn m×nh trong H¾c Méc Nhai nhiÒu n¨m råi, ®· biÕt øng phã khi gÆp t×nh huèng xÊu råi, ng­îc l¹i c¸c h¹ nhÊt ®Şnh ph¶i cÈn thËn tr­íc tø ®¹i gi¸o ®å cña D­¬ng Liªn §Ønh.	PlayerName: v©ng, t¹i h¹i nhÊt ®Şnh cÈn thËn hµnh sù. Xin c¸o tõ.															§Õn B¾c TuyÒn Ch©u Phñ t×m D­¬ng Liªn §Ønh		
17	finish_talk	PlayerName: D­¬ng Liªn §Ønh, tªn §«ng Ph­¬ng BÊt B¹i hiÖn ®ang ë ®©u?																						
18	get_talk	NpcName: hõ, tªn tiÓu tö to gan, c¶ gan gäi th¼ng tªn cña §«ng Ph­¬ng Gi¸o Chñ, ng­êi ®©u ph¶i kÎ nh­ ng­¬i muèn gÆp lµ gÆp.	PlayerName: hõ, §«ng Ph­¬ng BÊt B¹i chİnh lµ tªn ®¹i ma ®Çu giÕt ng­êi kh«ng gím tay, ta ®Õn ®©y chİnh lµ ®Ó tiªu diÖt h¾n.	NpcName: hõ, tªn o¾t con nµy tõ ®©u ra mµ khÈu khİ lín thÕ. Ngµy nµy n¨m sau sÏ lµ ngµy giç cña ng­¬i. Ng­êi ®©u, mang <person> ®Õn cho ta.																		§¸nh b¹i tø ®¹i gi¸o ®å		
18	finish_talk	PlayerName: D­¬ng Liªn §Ønh, chÕt ®Õn n¬i mµ kh«ng biÕt sao, kh«n hån th× khai ra §«ng Ph­¬ng BÊt B¹i ®ang ë ®©u?																						
19	get_talk	NpcName: haha, ®õng mong uy hiÕp ta, ta kh«ng ph¶i lµ kÎ tham sèng sî chÕt ®©u. Trªn ®êi nµy kÎ biÕt ®­îc nh­îc ®iÓm §«ng Ph­¬ng gi¸o chñ chØ cã NhËm Ng· Hµnh, nh­ng h¾n ®· chÕt d­íi tay §«ng Ph­¬ng gi¸o chñ tõ l©u råi, hahaha! h·y giÕt ta ®i, ng­¬i còng sÏ kh«ng sèng ®­îc l©u ®©u.	PlayerName#NhËm Ng· Hµnh ®· chÕt, thÕ ph¶i lµm sao ®©y? §µnh quay vÒ b¸o víi ph­¬ng tr­îng hái b­íc tiÕp theo thÕ nµo. Cßn tªn D­¬ng Liªn §Ønh nµy nÕu giÕt h¾n ta nhÊt ®Şnh sÏ kinh ®éng ®Õn NhËt NguyÖt ThÇn Gi¸o, lóc ®ã vâ l©m nhÊt ®Şnh sÏ ®¹i lo¹n, th«i th× th¶ h¾n ®i vËy.	PlayerName: hõ, nhÊt ®Şnh cã mét ngµy ta sÏ lËt ®æ NhËt NguyÖt ThÇn Gi¸o cña c¸c ng­¬i, h«m nay xem nh­ ng­¬i may m¾n, ng­¬i h·y ®i ®i.																		Quay l¹i ThiÕu L©m t×m V« Danh T¨ng		
19	finish_talk	NpcName: <sex> ®· quay l¹i råi sao, t×m ®­îc th«ng tin g× chø?																						
20	get_talk	PlayerName# thËt tiÕc th­a ph­¬ng tr­îng. V·n bèi chØ cã th¸m thİnh ®­îc trªn gian hå chØ cã duy nhÊt NhËm Ng· Hµnh lµ n¾m ®­îc nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i, nh­ng NhËm Ng· Hµnh ®· bŞ §«ng Ph­¬ng BÊt B¹i tiªu diÖt tõ l©u råi.	NpcName: <sex> kh«ng nªn tù tr¸ch, nh÷ng g× c¸c h¹ ®· lµm chóng ta ®Òu hiÓu râ, chØ lµ ngoµi dù ®o¸n cña chóng ta th«i, tiÕc r»ng Nh¹c tr­ëng m«n cña Hoa S¬n ph¸i kh«ng ®Õn tham dù ®¹i héi, «ng ta tóc trİ ®a m­u, nhÊt ®Şnh sÏ gãp ı ®­îc cho chóng ta.	PlayerName# th«i ®­îc, t¹i h¹ sÏ quay l¹i Hoa S¬n bÈm b¸o Nh¹c tr­ëng m«n.																		§Õn Hoa S¬n t×m Nh¹c BÊt QuÇn		
20	finish_talk	NpcName: <sex> ®· quay vÒ råi sao, mäi ng­êi ®· t×m ra ph­¬ng ph¸p g× ch­a?																						
21	get_talk	PlayerName: Nh¹c tr­ëng m«n, chóng ta th¸m thİnh ®­îc trªn gian hå ng­êi duy nhÊt biÕt ®­îc nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i chØ cã NhËm Ng· Hµnh, nh­ng NhËm Ng· Hµnh ®· bŞ h¾n tiªu diÖt tõ sím, kh«ng biÕt Nh¹c tr­ëng m«n cã cao kiÕn g× kh«ng?	NpcName: th× ra vµi n¨m tr­íc cã tin ®ån vÒ NhËm Ng· Hµnh chÕt d­íi tay §«ng Ph­¬ng BÊt B¹i lµ thËt... nh­ng mµ th©n tİn NhËm Ng· Hµnh ch­a chÕt. N¨m x­a khi NhËm Ng· Hµnh cßn lµi gi¸o chñ cña NhËt NguyÖt ThÇn Gi¸o cã mét t¶ hé ph¸p tªn lµ H­íng VÊn Thiªn, hä cã mét mèi giao t×nh th©m hËu. Sau nµy bŞ §«ng Ph­¬ng BÊt B¹i lËt ®æ, H­íng VÊn Thiªn bÌn rêi khái NhËt NguyÖt ThÇn Gi¸o sèng Èn c­. Ta nghÜ NhËm Ng· Hµnh cã thÓ sÏ ®Ó l¹i mét c¸i g× ®ã cho H­íng VÊn Thiªn.	PlayerName: å, th× ra vÉn cßn mét H­íng VÊn Thiªn, thÕ th× hay qu¸, t¹i h¹ lËp tøc lªn ®­êng t×m H­íng VÊn Thiªn#	NpcName: ta nghe nãi H­íng VÊn Thiªn rêi khái NhËt NguyÖt ThÇn Gi¸o quy Èn ®iÒn viªn t¹i §¶o §µo Hoa. Ta nghÜ <sex> cã thÓ t×m thÊy «ng ta trªn §¶o §µo Hoa.	PlayerName: ®­îc, ®a t¹ Nh¹c tr­ëng m«n, v·n bèi c¸o tõ.	NpcName: <sex> kh«ng cÇn ®a lÔ. C¸c h¹ lªn ®­êng cÈn thËn.															§Õn §µo Hoa §¶o t×m H­íng VÊn Thiªn		
21	finish_talk	PlayerName: b¸i kiÕn H­íng ®¹i hiÖp.																						
22	get_talk	NpcName: kh«ng biÕt vŞ <sex> ®©y t×m ta cã viÖc chi.?	PlayerName: v·n bèi ®Õn t×m H­íng ®¹i hiÖp hái vÒ viÖc liªn quan ®Õn NhËm gi¸o chñ NhËm Ng· Hµnh	NpcName: th× ra ng­¬i lµ gi¸o ®å cña tªn ma ®Çu §«ng Ph­¬ng BÊt B¹i ph¸i ®Õn sao? H­íng VÊn Thiªn ta thÒ chÕt kh«ng quay vÒ H¾c Méc Nhai, tiÓu tö chŞu chÕt ®i!	PlayerName: kh«ng kh«ng, H­íng ®¹i hiÖp chí hiÓu lÇm, v·n bèi ®Õn ®©y còng chİnh lµ v× t×m hiÓu vÒ nh­îc ®iÓm cña §«ng Ph­¬ng BÊt B¹i ®Ó tiªu diÖt h¾n mµ th«i, v·n bèi biÕt r»ng trªn gian hå ng­êi n¾m ®­îc ®iÓm yÕu cña §«ng Ph­¬ng BÊt B¹i chØ cã NhËm gi¸o chñ, mµ hiÖn t¹i NhËm gi¸o chñ hiÖn ®· kh«ng cßn n÷a, kh«ng biÕt tiÒn bèi cã ®­îc th«ng tin g× vÒ tö huyÖt cña §«ng Ph­¬ng BÊt B¹i kh«ng?	NpcName: hõ, thÕ t¹i sao ng­¬i l¹i muèn tiªu diÖt §«ng Ph­¬ng BÊt B¹i? vµ t¹i sao ta l¹i ph¶i tin ng­¬i?	PlayerName: chuyÖn lµ nh­ thÕ nµy... råi sau ®ã thÕ nµy……	NpcName: th× ra lµ thÕ, <sex> cã lßng hiÖp nghÜa nh­ thÕ nµy khiÕn ta thËt kh©m phôc. Haha, h«m nay gÆp ®­îc ng­êi cïng chİ h­íng, qu¶ thËt may m¾n. Ta nhÊt ®Şnh ph¶i cïng <sex> uèng c¹n mét ly r­îu nµy...  A, chÕt mÊt, trong nhµ ®· hÕt r­îu råi. VËy thÕ nµy ®i, <sex> cã thÓ gióp ta t×m mét bÇu r­îu ngon vÒ kh«ng? Ta nghe nãi r­îu cña Miªu téc lµ ngon nhÊt.	PlayerName: ®­îc th«i, h«m nay gÆp ®­îc H­íng ®¹i hiÖp t¹i h¹ còng v« cïng h©n h¹nh, t¹i h¹ lËp tøc lªn ®­êng t×m mét bÇu r­îu ngon vÒ.													§Õn Miªu LÜnh t×m téc tr­ëng Miªu LÜnh		
22	finish_talk	PlayerName: b¸i kiÕn téc tr­ëng, v·n bèi nghe thiªn h¹ kh¸o nhau r»ng Miªu téc cã mét lo¹i Linh TuyÒn Ngäc Lé Töu v« cïng ®Æc biÕt, kh«ng biÕt téc tr­ëng cã thÓ nh­îng l¹i mét bÇu mü töu?																						
23	get_talk	NpcName#Haha, r­îu cña Miªu téc ta v« cïng quı hiÕm, chØ vµo nh÷ng dŞp lÔ léc hoÆc tiÕp ®·i kh¸ch quı cña téc ta th«i. Ta thÊy <sex> tõ xa ®Õn t×m r­îu ch¾c còng lµ ng­êi cã lßng yªu thİch r­îu ngon, thÕ nµy nhĞ nÕu nh­ <sex> cã thÓ hoµn thµnh gióp ta mét viÖc, ta sÏ tÆng c¸c h¹ r­îu quı.	PlayerName: téc tr­ëng qu¶ lµ ng­êi kh¼ng kh¸i, v·n bèi nguyÖn hiÕn søc hÌn.	NpcName#<sex> qu¶ cã lßng nhiÖt huyÕt cña tuæi trÎ. ChuyÖn lµ thÕ nµy, gÇn ®©y cã mét YÕn Tö §éng, bªn trong ®éng cã mét ®¸m H¾c D· Tr­ th­êng ®Õn ph¸ ho¹i ruéng v­ên lµng ta, c¸c h¹ h·y gióp ta tiªu diÖt 10 con H¾c D· Tr­ nhĞ.	PlayerName: ChuyÖn nµy kh«ng thµnh vÊn ®Ò, t¹i h¹ lËp tøc thi hµnh.	NpcName: ta sÏ chê tin vui cña <sex>.																§Õn YÕn Tö §éng tiªu diÖt 10 H¾c D· Tr­		
23	finish_talk	NpcName: <sex> trë vÒ nhanh thÕ, viÖc ®­îc giao phã thÕ nµo råi?																						
24	get_talk	PlayerName: haha, H¾c D· Tr­ ®· ®­îc tiªu diÖt, tõ nµy vÒ sau Téc Tr­ëng kh«ng cÇn lo l¾ng chó sÏ quay l¹i ph¸ ruéng v­ên n÷a.	NpcName: thÕ th× tèt qu¸, nhê cã <sex> thay lµng chóng t«i trõ mèi häa g©y phiÒn nµy, <sex> qu¶ lµ vŞ kh¸ch quı cña téc ta. Nh­ ®· høa, ta sÏ tÆng <sex> Linh TuyÒn Ngäc Lé Töu.	PlayerName: §a t¹ téc tr­ëng tÆng r­îu.	NpcName: <sex> kh«ng cÇn ®a lÔ.	PlayerName: v·n bèi hiÖn cã viÖc gÊp trong ng­êi, kh«ng tiÖn g¸c l©u. Sau nµy cã dŞp nhÊt ®Şnh quay l¹i vÊn an téc tr­ëng. Xin c¸o tõ.																Mang r­îu vÒ §¶o §µo Hoa cïng H­íng VÊn Thiªn th­ëng thøc.		
24	finish_talk	PlayerName: H­íng ®¹i hiÖp, v·n bèi ®· quay vÒ råi ®©y. Linh TuyÒn Ngäc Lé Töu nµy ®¹i hiÖp nhÊt ®Şnh hµi lßng.																						
25	get_talk	NpcName: A Ha, <sex> qu¶ lµ thÇn tèc. Tõ xa ta ®· ngöi ®­îc mïi vŞ hÊp dÉn cña r­îu råi... Nµo nµo ta kİnh <sex> mét ly, c¹n chĞn v× môc tiªu ®¸nh b¹i §«ng Ph­¬ng BÊt B¹i.	PlayerName: r­îu nµy qu¶ thËt rÊt ngon, v·n bèi kİnh ®¹i hiÖp mét ly.	NpcName: <sex> tİnh t×nh kh¼ng kh¸i tr­îng nghÜa, nay ta cã duyªn t­¬ng phïng, <sex> kh«ng cÇn gäi ta la ®¹i hiÖp kh¸ch khİ thÕ n÷a, tõ nay vÒ sau h·y gäi ta lµ H­íng ®¹i ca, kh«ng biÕt <sex> thÊy thÕ nµo.	PlayerName: ®­îc th«i, H­íng ®¹i ca ®· tin t­ëng ta nh­ thÕ. thø lçi ta hái 1 c©u ch¼ng lÏ H­íng ®¹i ca cßn muèn t¸i xuÊt giang hå, b¸o thï cho NhËm Gi¸o Chñ?	NpcName: <sex> nghe cho râ ®©y, thùc ra NhËm gi¸o chñ vÉn ch­a chÕt.	PlayerName: Hë? Kh«ng ph¶i giang hå ®Òu ®ån r»ng NhËm gi¸o chñ ®· bŞ §«ng Ph­¬ng BÊt B¹i tiªu diÖt sao, thÕ chuyÖn nµy lµ nh­ thÕ nµo?	NpcName: N¨m x­a NhËm Ng· Hµnh cßn lµ gi¸o chñ NhËt NguyÖt ThÇn Gi¸o, tªn §«ng Ph­¬ng BÊt B¹i ë phİa sau ngÊm ngÇm t¹o ph¶n, lËp ra quûkÕ ®¸nh b¹i NhËm gi¸o chñ vµ giam cÇm «ng ta t¹i ®¹i lao trªn Mai Trang, ®ång thêi h¾n cßn ph¸i ng­êi ®i kh¾p n¬i r»ng NhËm gi¸o chñ ®· ®¹i b¹i d­íi tay §«ng Ph­¬ng BÊt B¹i. Tõ ®ã h¾n b¾t ®Çu ®¶m nhiÖm chøc vŞ gi¸o chñ NguyÖt ThÇn Gi¸o.	PlayerName: Th× ra lµ thÕ, tªn §«ng Ph­¬ng BÊt B¹i qu¶ thËt nham hiÓm, quû kÕ ®a ®oan. ThÕ chóng ta cã thÓ gi¶i tho¸t cho NhËm gi¸o chñ ë ®¹i lao kh«ng?	NpcName#HiÖn t¹i ®¹i lao giam gi÷ NhËm gi¸o chñ lµ mét n¬i trªn Mai Trang mµ chØ cã Mai Trang Tø H÷u míi biÕt th«ng ®¹o, ®ång thêi còng do chóng canh gi÷ ®¹i lao.	PlayerName: thÕ Mai Trang Tø H÷u cã dÔ dµng ®èi phã kh«ng	NpcName:nãi khã còng kh«ng ph¶i lµ ®Æc biÖt khã, cã thÓ dïng kü x¶o ®Ó giµnh chiÕn th¾ng. Tø h÷u Mai Trang ®Æc biÖt thİch thó víi CÇm Kú Thi Häa, nÕu nh­ chóng ta cã thÓ tháa m·n së thİch cña hä, giµnh lÊy tİn nhiÖm, tiÕn vµo ®Şa lao kh«ng ph¶i lµ chuyÖn khã kh¨ng. ChØ ®¸ng tiÕc tr­íc ®©y ta rêi khái NhËt NguyÖt ThÇn Gi¸o tróng ®éc thñ tiÓu nh©n, hiÖn kh«ng thÓ vËn c«ng gi¶i cøu. V× thÕ ta muèn nhê <sex> ®©y ®Õn th¨m hái Mai Trang Tø H÷u, nghÜ c¸ch gi¶i cøu NhËm Gi¸o Chñ.	PlayerName: th× ra lµ thÕ, xem ra sù viÖc qu¶ thùc kh«ng hÒ ®¬n gi¶n. §­îc H­íng ®¹i ca tin t­ëng, tiÓu ®Ö/muéi sÏ cè g¾ng gi¶i cøu NhËm gi¸o chñ.	NpcName: ®a ta <sex> t­¬ng trî, ®©y lµ thanh Trñy Thñ mµ NhËm gi¸o chñ ®· tÆng ta, thanh Trñy Thñ nµy uy lùc kinh ng­êi, chĞm s¾t nh­ bïn, ngµi mang theo trªn ng­êi khi cÇn thiÕt còng cã thÓ gióp ®­îc viÖc	PlayerName: v©ng, tiÓu ®Ö/muéi nhÊt ®Şnh sÏ b¶o qu¶ tèt vËt nµy.	NpcName: <sex>, lÇn ®Õn Mai Trang nµy cã thÓ lµnh İt d÷ nhiÒu, c¸c h¹ hµnh sù nªn thËt cÈn thËn kh«ng ®­îc lç m·ng.	PlayerName: ta sÏ ghi nhì râ. VËy t¹m c¸o tõ ®¹i ca, kú väng vµo lÇn gÆp mÆt sau chóng ta sÏ lµ 3 ng­êi cïng uèng r­îu.	NpcName: chóc tiÓu ®Ö/muéi thuËn buån xu«i giã!						
25	finish_talk	PlayerName: b¸i kiÕn tiÒn bèi, t¹i h¹ võa lì b­íc ghĞ ngang, gÆp ®­îc tiÒn bèi ®©y còng cã thÓ lµ mèi duyªn cña t¹i h¹. Mai Trang nµy qu¶ thËt phong c¶nh h÷u t×nh, nÕu nh­ cã thÓ vÉy bót t¸c häa ®­îc th× qu¶ thËt hay biÕt bao.																						
26	get_talk	NpcName: Haha, <sex> còng cã nh· høng nµy sao, kh«ng biÕt <sex> t×m ®Õn Mai Trang ta cã viÖc chi?	PlayerName: v·n bèi nghe r»ng Mai Trang Tø H÷u tµi hoa lçi l¹c, tinh th«ng cÇm kú thi häa, v·n bèi ng­ìng mé ®· l©u ch­a cã dŞp ®Õn b¸i kiÕn, thËt hi väng c¸c vŞ tiÒn bèi cã thÓ thu nhËn t¹i h¹ lµm ®å ®Ö.	NpcName: Haha, thËt kh«ng ngê Tø H÷u ta Èn c­ Mai Trang bÊy l©u nay gÇn nh­ c¸ch biÖt víi giang hå, thÕ mµ vÉn cßn hËu thÕ ng­ìng mé chóng ta. <sex> xem ra còng cã tİ am hiÓu vÒ héi häa, thÕ t¸c phÈm Bé LiÔn §å lµ do ai s¸ng t¸c?	PlayerName: Bé LiÔn §å ®­îc häa gia thêi §­êng, Diªm LËp Bæn s¸ng t¸c. Trang miªu t¶ h×nh ¶nh vÒ §­êng Th¸i T«ng cho diÖn kiÕn sø thÇn Thæ Phån Lôc §«ng T¸n ®Õn hái c­íi c«ng chóa V¨n Thµnh	NpcName: Tèt, <sex> tr¶ lêi rÊt chİnh x¸c, thÕ cßn L¹c ThÇn Phó §å l¹i lµ t¸c phÈm cña ai?	PlayerName: L¹c ThÇn Phó §å lµ t¸c phÈm cña häa gia Cè Kh¶i Chi, «ng ta ph¸c häa chuyªn tinh vÒ t­îng ng­êi, t­îng phËt, thó vËt, s¬n thñy... ng­êi ®êi «ng «ng lµ häa gia tam tuyÖt: häa tuyÖt, v¨n tuyÖt vµ tri tuyÖt	NpcName: haha, cã vÎ nh­ <sex> rÊt am hiÓu vÒ c¸c vŞ danh häa nµy.	PlayerName: V·n bèi tõ nhá ®· v« cïng yªu thİch héi häa, chuyªn s©u t×m hiÓu c¸c vŞ danh häa qua c¸c triÒu ®¹i nh»m n©ng cao kh¶ n¨ng thi häa cña m×nh	NpcName: qu¶ thËt lµ hËu sinh kh¶ óy. Tèt l¾m, ta chİnh lµ §¬n Thanh Sinh, xÕp thø 4 trong Mai Trang Tø H÷u, ta cã mét niÒm ®am mª s©u s¾c vÒ héi häa. Ngoµi ra tam vŞ huynh tr­ëng cña ta gåm tam ca Tó Bót ¤ng,cuång si vÒ th­ ph¸p; nhŞ ca H¾c B¹ch Tö cù kú yªu thİch ®¸nh cê, ®¹i ca Hoµng Chung C«ng mét cÇm s­ kú tµi. RÊt ®óng lóc ta ®ang muèn t×m mét ®å ®Ò ®Ó truyÒn thô bao n¨m kinh nghiÖm vÒ héi häa cña ta, nh­ng ta cÇn ph¶i th¶o luËn l¹i víi c¸c vŞ huynh tr­ëng ®·, c¸c h¹ h·y chê trong İt phót.	PlayerName: å hay qu¸, ®a t¹ §¬n tiÒn bèi ®· cho t¹i h¹ c¬ héi.													
26	finish_talk	NpcName#<sex> ®· ®îi l©u råi, ta vµ 3 vŞ ca ca ®· th­¬ng th¶o qua, mäi ng­êi ®Òu nhÊt trİ r»ng sÏ thu nhËn <sex> lµm ®å ®Ö nÕu nh­ v­ît qua ®­îc kh¶o nghiÖm cña tø huynh ®Ö ta. ThÕ <sex> cã ®ång ı tiÕp nhËn kh¶o nghiÖm kh«ng??																						
27	get_talk	PlayerName: ®­¬ng nhiÖn nguyÖn ı, ®­îc Tø H÷u tin t­ëng vµ ban c¬ héi thö søc qu¶ lµ niÒm vinh h¹nh cña t¹i h¹.	NpcName: Mån mĞp dÎo l¾m. ThÕ th× nghe ®©y, t¹i Ph­îng T­ëng Phñ cã vŞ ¢u D­¬ng Häa, t¸c phÈm cña «ng ta v« cïng sinh ®éng mü miÒu, l©u nay ta lu«n mong ®­îc së h÷u ®­îc t¸c phÈm cña «ng ta, hi väng <sex> cã thÓ gióp ta t×m vÒ.	PlayerName: ®­îc, t¹i h¹ lËp tøc ®i t×m häa gia ¢u D­¬ng Häa.	NpcName: ta chê tin tèt cña <sex>.																			
27	finish_talk	PlayerName: v·n bèi b¸i kiÕn ¢u D­¬ng Häa ®¹i s­.																						
28	get_talk	NpcName: <sex> t×m ta cã viÖc chi?	PlayerName: danh häa cña ®¹i s­ uy trÊn tø ph­¬ng, tõ l©u v·n bèi ®· muèn ®­îc s­ tÇm danh häa cña ®¹i s­ lµm kû niÖm.	NpcName: th× ra <sex> còng lµ ng­êi yªu häa,s½n ®©y ta ®ang cÇn thu thËp 10 Ngäc Béi trªn ng­êi Oa Quèc L·ng Nh©n t¹i §«ng H¶i H¶i T©n 2, cïng víi 10 L«ng Vò cña B¹ch §Çu §iªu t¹i Phông Nh·n §éng.NÕu nh­ c¸c h¹ cã thÓ t×m vÒ gióp ta, ta sÏ tÆng cho ngµi mét bøc häa.	PlayerName: §¹i s­ qu¶ lµ ng­êi kh¼ng kh¸i, t¹i h¹ lËp tøc lªn ®­êng thu thËp vËt liÖu ®¹i s­ cÇn																			
28	finish_talk	NpcName: <sex> qu¶ nhiªn th©n thñ bÊt phµm, cã thÓ thu thËp nh÷ng vËt liÖu nµy mét c¸ch nhanh chãng.	PlayerName: ®¹i s­ qu¸ khen, ngµi xem xem ®©y cã thÓ lµ nh÷ng thø ngµi cÇn kh«ng?																					
